model,preset,_source_basename,f1,precision,recall,coverage
sentence-transformers/paraphrase-albert-small-v2,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.5161290322580646,0.5,0.5333333333333333,0.1860465116279069
sentence-transformers/paraphrase-albert-small-v2,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4651162790697675,0.3448275862068966,0.7142857142857143,0.3372093023255814
sentence-transformers/all-mpnet-base-v2,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4516129032258064,0.4117647058823529,0.5,0.1976744186046511
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4470588235294118,0.296875,0.9047619047619048,0.7441860465116279
sentence-transformers/all-distilroberta-v1,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4444444444444445,0.3018867924528302,0.8421052631578947,0.6162790697674418
sentence-transformers/paraphrase-MiniLM-L3-v2,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.44,0.3548387096774194,0.5789473684210527,0.3604651162790697
sentence-transformers/all-distilroberta-v1,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4358974358974359,0.293103448275862,0.85,0.6744186046511628
sentence-transformers/distiluse-base-multilingual-cased-v2,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4285714285714286,0.28125,0.9,0.7441860465116279
sentence-transformers/distiluse-base-multilingual-cased-v2,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4269662921348314,0.2714285714285714,1.0,0.813953488372093
sentence-transformers/distiluse-base-multilingual-cased-v2,H_zfilter,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4175824175824176,0.2638888888888889,1.0,0.8372093023255814
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4150943396226415,0.2619047619047619,1.0,0.9767441860465116
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4146341463414634,0.2786885245901639,0.8095238095238095,0.7093023255813954
sentence-transformers/paraphrase-albert-small-v2,D_char_jaccard,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4102564102564102,0.2711864406779661,0.8421052631578947,0.686046511627907
sentence-transformers/distiluse-base-multilingual-cased-v2,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4057971014492754,0.28,0.7368421052631579,0.5813953488372093
sentence-transformers/all-distilroberta-v1,B_hybrid_light,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4057971014492754,0.2745098039215686,0.7777777777777778,0.5930232558139535
sentence-transformers/distiluse-base-multilingual-cased-v2,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4042553191489362,0.2533333333333333,1.0,0.872093023255814
sentence-transformers/all-MiniLM-L6-v2,E_diversity,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4,0.2615384615384615,0.85,0.7558139534883721
sentence-transformers/distiluse-base-multilingual-cased-v2,G_mnn_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.4,0.25,1.0,0.8837209302325582
sentence-transformers/all-MiniLM-L6-v2,F_recall_first,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3999999999999999,0.3636363636363636,0.4444444444444444,0.2558139534883721
sentence-transformers/distiluse-base-multilingual-cased-v2,J_char_heavy,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.396039603960396,0.2469135802469135,1.0,0.9418604651162792
sentence-transformers/paraphrase-MiniLM-L3-v2,A_semantic_only,threshold_sweep_coursera_dwa_cb25d773_skill_1edbbb05.csv,0.3939393939393939,0.2549019607843137,0.8666666666666667,0.5930232558139535
