model,preset,PRIMARY_METRIC,MRR,_source_basename,_source_container,_source_mtime,_primary_metric_name
sentence-transformers/paraphrase-MiniLM-L3-v2,E_diversity,0.2596944970332046,0.2889673311184939,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0.2558139534883721,0.3134505352528608,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
sentence-transformers/sentence-t5-base,E_diversity,0.2535249614034928,0.2583333333333333,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
sentence-transformers/all-MiniLM-L6-v2,E_diversity,0.2496287333961973,0.2942921742340347,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_sup/sentence-transformers/all-MiniLM-L6-v2,A_semantic_only,0.2484121107042858,0.2630444813584348,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_sup/sentence-transformers/all-MiniLM-L6-v2,E_diversity,0.2472781719111697,0.3036637135474345,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0.2441860465116279,0.2971668512366187,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0.2441860465116279,0.2858157991878922,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_sup/sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,0.2441860465116279,0.2925064599483204,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
/home/jovyan/Joel_Pardo/AI4LABOUR/Mejoras/results_coursera/models/simcse_coursera_sup/sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,0.2441860465116279,0.2936692506459948,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,results_coursera2,2025-09-17 15:36:22,nDCG@k
