model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries,_source_container,_source_pipeline,_source_artifact,_source_basename,_source_relpath,_source_mtime
embedding_data_deberta_sentence_transformer,A_semantic_only,1,0.1538461538461538,0.0769230769230769,0.1025641025641025,0.1538461538461538,0.1538461538461538,0.2094729344729344,0.1538461538461538,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,A_semantic_only,3,0.0683760683760683,0.1025641025641025,0.082051282051282,0.1679653985312729,0.0918803418803418,0.2094729344729344,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,A_semantic_only,5,0.0615384615384615,0.1538461538461538,0.0879120879120879,0.2049289853341389,0.1027777777777777,0.2094729344729344,0.282051282051282,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,A_semantic_only,10,0.0512820512820512,0.2564102564102564,0.0854700854700854,0.2613293830426612,0.1186965811965811,0.2094729344729344,0.4358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,B_hybrid_light,1,0.1794871794871795,0.0897435897435897,0.1196581196581196,0.1794871794871795,0.1794871794871795,0.2536630036630036,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,B_hybrid_light,3,0.1111111111111111,0.1666666666666666,0.1333333333333333,0.2349691727047462,0.1175213675213675,0.2536630036630036,0.3333333333333333,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,B_hybrid_light,5,0.0769230769230769,0.1923076923076923,0.1098901098901099,0.2520941540084049,0.1258547008547008,0.2536630036630036,0.358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,B_hybrid_light,10,0.0538461538461538,0.2692307692307692,0.0897435897435897,0.2935602107151611,0.1412189662189662,0.2536630036630036,0.4358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,1,0.2051282051282051,0.1025641025641025,0.1367521367521367,0.2051282051282051,0.2051282051282051,0.3194342694342694,0.2051282051282051,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,3,0.1196581196581196,0.1794871794871795,0.1435897435897436,0.2664817759157531,0.1388888888888888,0.3194342694342694,0.358974358974359,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,5,0.1076923076923077,0.2692307692307692,0.1538461538461538,0.3199209851097095,0.1677350427350427,0.3194342694342694,0.4615384615384615,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,C_lex_sem_strong,10,0.0743589743589743,0.3717948717948718,0.1239316239316239,0.3775190470460826,0.1877798127798127,0.3194342694342694,0.5897435897435898,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,D_zfilter,1,0.1794871794871795,0.0897435897435897,0.1196581196581196,0.1794871794871795,0.1794871794871795,0.269047619047619,0.1794871794871795,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,D_zfilter,3,0.1282051282051282,0.1923076923076923,0.1538461538461538,0.2639673715142708,0.1282051282051282,0.269047619047619,0.3846153846153846,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,D_zfilter,5,0.0871794871794871,0.2179487179487179,0.1245421245421245,0.2810923528179295,0.1365384615384615,0.269047619047619,0.4102564102564102,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
embedding_data_deberta_sentence_transformer,D_zfilter,10,0.0564102564102564,0.282051282051282,0.094017094017094,0.3128516963480613,0.1507936507936508,0.269047619047619,0.4615384615384615,1.0,39,results_dwa2,dwa,ranking_summary,ranking_summary_n221.csv,ranking_summary_n221.csv,2025-09-17 14:33:02
