model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries,_source_container,_source_pipeline,_source_artifact,_source_basename,_source_relpath,_source_mtime
embedding-data/deberta-sentence-transformer,A_semantic_only,1,0.0,0.0,0.0,0.0,0.0,0.0047619047619047,0.0,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,A_semantic_only,3,0.0,0.0,0.0,0.0,0.0,0.0047619047619047,0.0,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,A_semantic_only,5,0.0,0.0,0.0,0.0,0.0,0.0047619047619047,0.0,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,A_semantic_only,10,0.0034883720930232,0.0174418604651162,0.005813953488372,0.006977082804543,0.0023809523809523,0.0047619047619047,0.0348837209302325,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,B_hybrid_light,1,0.1162790697674418,0.0581395348837209,0.0775193798449612,0.1162790697674418,0.1162790697674418,0.1937153931339978,0.1162790697674418,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,B_hybrid_light,3,0.0891472868217054,0.1395348837209302,0.1081395348837209,0.1288781223794568,0.0998062015503875,0.1937153931339978,0.2441860465116279,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,B_hybrid_light,5,0.0651162790697674,0.1686046511627907,0.0935769656699889,0.1432935803265856,0.1062015503875968,0.1937153931339978,0.3023255813953488,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,B_hybrid_light,10,0.041860465116279,0.2151162790697674,0.0699436222692036,0.1620973385321535,0.1159468438538206,0.1937153931339978,0.3488372093023256,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,1,0.1627906976744186,0.0813953488372093,0.1085271317829457,0.1627906976744186,0.1627906976744186,0.2312338501291989,0.1627906976744186,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,3,0.1007751937984496,0.1569767441860465,0.1220930232558139,0.1528983080053556,0.1172480620155038,0.2312338501291989,0.2906976744186046,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,5,0.0697674418604651,0.1802325581395348,0.1002214839424141,0.1642432063876867,0.1233527131782945,0.2312338501291989,0.3255813953488372,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,10,0.0430232558139534,0.2209302325581395,0.0718816067653277,0.1804044280391167,0.1328788298265042,0.2312338501291989,0.3488372093023256,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
embedding-data/deberta-sentence-transformer,D_char_jaccard,1,0.1511627906976744,0.0755813953488372,0.1007751937984496,0.1511627906976744,0.1511627906976744,0.2197628276116648,0.1511627906976744,1.0,86,results_coursera1,coursera,ranking_summary,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,ranking_summary_coursera_dwa_cb25d773_skill_1edbbb05.csv,2025-09-17 15:11:16
