pipeline,plot_type,file_name,ext,size_kb,mtime,src_dir,src_path,dst_path
coursera,H1,H1_ndcg10_barh.svg,svg,677.7,2025-09-17 15:36:26,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H1_ndcg10_barh.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H1_ndcg10_barh_5c441837.svg
coursera,unknown,winner_sweep_thr_coverage.png,png,56.6,2025-09-17 15:36:32,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/winner_sweep_thr_coverage.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/winner_sweep_thr_coverage_e754a4af.png
coursera,H4,H4_margin_hist_tp_fp.svg,svg,41.6,2025-09-17 15:36:34,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H4_margin_hist_tp_fp.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H4_margin_hist_tp_fp_975be610.svg
coursera,unknown,winner_pr_curve.png,png,47.9,2025-09-17 15:36:32,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/winner_pr_curve.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/winner_pr_curve_3d72892d.png
coursera,H6,H6_nearthr_score_vs_bm25.svg,svg,31.3,2025-09-17 15:36:42,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H6_nearthr_score_vs_bm25.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H6_nearthr_score_vs_bm25_dc44b22c.svg
coursera,unknown,winner_near_threshold_scatter.png,png,52.3,2025-09-17 15:36:42,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/winner_near_threshold_scatter.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/winner_near_threshold_scatter_f785cc44.png
coursera,H5,H5_coverage_rel_at1.svg,svg,679.3,2025-09-17 15:36:34,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H5_coverage_rel_at1.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H5_coverage_rel_at1_aa785461.svg
coursera,H5,H5_coverage_rel_at3.svg,svg,680.0,2025-09-17 15:36:36,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H5_coverage_rel_at3.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H5_coverage_rel_at3_da661863.svg
coursera,H5,H5_coverage_rel_at5.svg,svg,680.9,2025-09-17 15:36:38,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H5_coverage_rel_at5.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H5_coverage_rel_at5_6f36a0d7.svg
coursera,unknown,curvas_prf_por_k.png,png,343.7,2025-09-17 15:36:30,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/curvas_prf_por_k.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/curvas_prf_por_k_64358f0c.png
coursera,H6,H6_nearthr_score_vs_jacc.svg,svg,33.6,2025-09-17 15:36:42,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H6_nearthr_score_vs_jacc.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H6_nearthr_score_vs_jacc_b7c62659.svg
coursera,H2,H2_threshold_curves_winner.svg,svg,100.6,2025-09-17 15:36:30,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H2_threshold_curves_winner.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H2_threshold_curves_winner_a45f4ba2.svg
coursera,H5,H5_coverage_rel_at10.svg,svg,679.1,2025-09-17 15:36:40,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H5_coverage_rel_at10.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H5_coverage_rel_at10_d1c11e7f.svg
coursera,H3,H3_score_hist_tp_fp.svg,svg,32.0,2025-09-17 15:36:32,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H3_score_hist_tp_fp.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H3_score_hist_tp_fp_b25d1ba6.svg
coursera,H1,H1_map10_barh.svg,svg,679.9,2025-09-17 15:36:28,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/H1_map10_barh.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/H1_map10_barh_e93d49aa.svg
coursera,unknown,curvas_ndcg_map_por_k.png,png,279.9,2025-09-17 15:36:28,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/curvas_ndcg_map_por_k.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/curvas_ndcg_map_por_k_b3c53d26.png
coursera,unknown,winner_sweep_thr_prf.png,png,50.7,2025-09-17 15:36:32,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/winner_sweep_thr_prf.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/winner_sweep_thr_prf_e1f22e8e.png
coursera,unknown,winner_cobertura_por_k.png,png,60.5,2025-09-17 15:36:32,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera2/winner_cobertura_por_k.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/coursera/winner_cobertura_por_k_bf156e2d.png
