pipeline,plot_type,file_name,ext,size_kb,mtime,src_dir,src_path,dst_path
dwa,H1,H1_ndcg10_barh.svg,svg,646.1,2025-09-17 14:33:04,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H1_ndcg10_barh.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H1_ndcg10_barh_5c441837.svg
dwa,H4,H4_winner_top1_z_hist_dwa.png,png,49.8,2025-09-17 14:33:10,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H4_winner_top1_z_hist_dwa.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H4_winner_top1_z_hist_dwa_52a26d8d.png
dwa,H4,H4_winner_top1_margin_hist_dwa.png,png,56.8,2025-09-17 14:33:10,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H4_winner_top1_margin_hist_dwa.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H4_winner_top1_margin_hist_dwa_0dabcacd.png
dwa,H4,H4_margin_hist_tp_fp.svg,svg,37.3,2025-09-17 14:33:10,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H4_margin_hist_tp_fp.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H4_margin_hist_tp_fp_975be610.svg
dwa,H1,H1_curvas_prf_por_k_dwa.png,png,350.5,2025-09-17 14:33:08,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H1_curvas_prf_por_k_dwa.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H1_curvas_prf_por_k_dwa_2d37603c.png
dwa,H6,H6_nearthr_score_vs_bm25.svg,svg,29.3,2025-09-17 14:33:20,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H6_nearthr_score_vs_bm25.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H6_nearthr_score_vs_bm25_dc44b22c.svg
dwa,H5,H5_coverage_rel_at1.svg,svg,648.9,2025-09-17 14:33:12,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H5_coverage_rel_at1.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H5_coverage_rel_at1_aa785461.svg
dwa,H5,H5_coverage_rel_at3.svg,svg,649.6,2025-09-17 14:33:14,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H5_coverage_rel_at3.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H5_coverage_rel_at3_da661863.svg
dwa,H2,H2_winner_sweep_thr_prf_dwa.png,png,74.1,2025-09-17 14:33:08,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H2_winner_sweep_thr_prf_dwa.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H2_winner_sweep_thr_prf_dwa_6d739094.png
dwa,H5,H5_coverage_rel_at5.svg,svg,649.8,2025-09-17 14:33:16,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H5_coverage_rel_at5.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H5_coverage_rel_at5_6f36a0d7.svg
dwa,H1,H1_curvas_ndcg_map_por_k_dwa.png,png,267.1,2025-09-17 14:33:06,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H1_curvas_ndcg_map_por_k_dwa.png,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H1_curvas_ndcg_map_por_k_dwa_f6b0de79.png
dwa,H6,H6_nearthr_score_vs_jacc.svg,svg,27.5,2025-09-17 14:33:20,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_dwa3/H6_nearthr_score_vs_jacc.svg,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/analisis/plots_inspection/dwa/H6_nearthr_score_vs_jacc_b7c62659.svg
