url,name,topics,skills_title,description,language,outcomes
https://www.coursera.org/learn/ibm-cyber-threat-intelligence?specialization=security-analyst-fundamentals,Cyber Threat Intelligence | Coursera,"['Information Technology', 'Security']",application security,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. You will understand network defensive tactics, define network access control and use network monitoring tools. You will understand data protection risks and explore mobile endpoint protection. Finally you will recognize various scanning technologies, application security vulnerabilities and threat intelligence platforms.

This course also gives you hands on access to cybersecurity tools important to a system analyst.

This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the sixth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.

The completion of this course also makes you eligible to earn the Cyber Threat Intelligence IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/cyber-threat-intelligence.

In this course, you will learn to:

â¢	Describe examples of network defensive tactics.
â¢	Discuss data loss prevention and endpoint protection concepts and tools. 
â¢	Explore a data loss prevention tool and learn how to classify data in your database environment. 
â¢	Describe security vulnerability scanning technologies and tools.
â¢	Recognize application security threats and common vulnerabilities.
â¢	Identify the key concepts around threat intelligence.
â¢	Explore a SIEM product and review suspicious alerts and how to take action.",English,[]
https://www.coursera.org/learn/ibm-cyber-threat-intelligence?specialization=security-analyst-fundamentals,Cyber Threat Intelligence | Coursera,"['Information Technology', 'Security']",threat intelligence,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. You will understand network defensive tactics, define network access control and use network monitoring tools. You will understand data protection risks and explore mobile endpoint protection. Finally you will recognize various scanning technologies, application security vulnerabilities and threat intelligence platforms.

This course also gives you hands on access to cybersecurity tools important to a system analyst.

This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the sixth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.

The completion of this course also makes you eligible to earn the Cyber Threat Intelligence IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/cyber-threat-intelligence.

In this course, you will learn to:

â¢	Describe examples of network defensive tactics.
â¢	Discuss data loss prevention and endpoint protection concepts and tools. 
â¢	Explore a data loss prevention tool and learn how to classify data in your database environment. 
â¢	Describe security vulnerability scanning technologies and tools.
â¢	Recognize application security threats and common vulnerabilities.
â¢	Identify the key concepts around threat intelligence.
â¢	Explore a SIEM product and review suspicious alerts and how to take action.",English,[]
https://www.coursera.org/learn/ibm-cyber-threat-intelligence?specialization=security-analyst-fundamentals,Cyber Threat Intelligence | Coursera,"['Information Technology', 'Security']",network defensive tactics,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. You will understand network defensive tactics, define network access control and use network monitoring tools. You will understand data protection risks and explore mobile endpoint protection. Finally you will recognize various scanning technologies, application security vulnerabilities and threat intelligence platforms.

This course also gives you hands on access to cybersecurity tools important to a system analyst.

This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the sixth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.

The completion of this course also makes you eligible to earn the Cyber Threat Intelligence IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/cyber-threat-intelligence.

In this course, you will learn to:

â¢	Describe examples of network defensive tactics.
â¢	Discuss data loss prevention and endpoint protection concepts and tools. 
â¢	Explore a data loss prevention tool and learn how to classify data in your database environment. 
â¢	Describe security vulnerability scanning technologies and tools.
â¢	Recognize application security threats and common vulnerabilities.
â¢	Identify the key concepts around threat intelligence.
â¢	Explore a SIEM product and review suspicious alerts and how to take action.",English,[]
https://www.coursera.org/learn/ibm-cyber-threat-intelligence?specialization=security-analyst-fundamentals,Cyber Threat Intelligence | Coursera,"['Information Technology', 'Security']",security analyst,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. You will understand network defensive tactics, define network access control and use network monitoring tools. You will understand data protection risks and explore mobile endpoint protection. Finally you will recognize various scanning technologies, application security vulnerabilities and threat intelligence platforms.

This course also gives you hands on access to cybersecurity tools important to a system analyst.

This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the sixth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.

The completion of this course also makes you eligible to earn the Cyber Threat Intelligence IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/cyber-threat-intelligence.

In this course, you will learn to:

â¢	Describe examples of network defensive tactics.
â¢	Discuss data loss prevention and endpoint protection concepts and tools. 
â¢	Explore a data loss prevention tool and learn how to classify data in your database environment. 
â¢	Describe security vulnerability scanning technologies and tools.
â¢	Recognize application security threats and common vulnerabilities.
â¢	Identify the key concepts around threat intelligence.
â¢	Explore a SIEM product and review suspicious alerts and how to take action.",English,[]
https://www.coursera.org/learn/ibm-cyber-threat-intelligence?specialization=security-analyst-fundamentals,Cyber Threat Intelligence | Coursera,"['Information Technology', 'Security']",cybersecurity,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. You will understand network defensive tactics, define network access control and use network monitoring tools. You will understand data protection risks and explore mobile endpoint protection. Finally you will recognize various scanning technologies, application security vulnerabilities and threat intelligence platforms.

This course also gives you hands on access to cybersecurity tools important to a system analyst.

This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the sixth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.

The completion of this course also makes you eligible to earn the Cyber Threat Intelligence IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/cyber-threat-intelligence.

In this course, you will learn to:

â¢	Describe examples of network defensive tactics.
â¢	Discuss data loss prevention and endpoint protection concepts and tools. 
â¢	Explore a data loss prevention tool and learn how to classify data in your database environment. 
â¢	Describe security vulnerability scanning technologies and tools.
â¢	Recognize application security threats and common vulnerabilities.
â¢	Identify the key concepts around threat intelligence.
â¢	Explore a SIEM product and review suspicious alerts and how to take action.",English,[]
https://www.coursera.org/learn/-network-security,Network Security | Coursera,"['Information Technology', 'Security']",cyberattacks,"Welcome to course 4 of 5 of this Specialization, Network Security.In this course, we will look at computer networking and securing the network. In todayâs world, the internet connects nearly everyone and everything, and this is accomplished through networking. While most see computer networking as a positive, criminals routinely use the internet, and the networking protocols themselves, as weapons and tools to exploit vulnerabilities and for this reason we must do our best to secure the network. We will review the basic components of a network, threats and attacks to the network, and learn how to protect them from attackers. Network security itself can be a specialty career within cybersecurity; however, all information security professionals need to understand how networks operate and are exploited to better secure them. 

After completing this chapter, the participant will be able to:â¯

Explain the concepts of network security. 

- Recognize common networking terms and models. 
- Identify common protocols and ports and their secure counterparts. 
- Identify types of network (cyber) threats and attacks. 
- Discuss common tools used to identify and prevent threats. 
- Identify common data center terminology. 
- Recognize common cloud service terminology. 
- Identify secure network design terminology. 
- Practice the terminology of and review network security concepts. 

Agenda

Course Introduction
Module 1: Network Concepts and Models 
Module 2: Common Network Threats and Attacks
Module 3: Network Security Infrastructure
Module 4: Network Security Review

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
https://www.coursera.org/learn/-network-security,Network Security | Coursera,"['Information Technology', 'Security']",network security,"Welcome to course 4 of 5 of this Specialization, Network Security.In this course, we will look at computer networking and securing the network. In todayâs world, the internet connects nearly everyone and everything, and this is accomplished through networking. While most see computer networking as a positive, criminals routinely use the internet, and the networking protocols themselves, as weapons and tools to exploit vulnerabilities and for this reason we must do our best to secure the network. We will review the basic components of a network, threats and attacks to the network, and learn how to protect them from attackers. Network security itself can be a specialty career within cybersecurity; however, all information security professionals need to understand how networks operate and are exploited to better secure them. 

After completing this chapter, the participant will be able to:â¯

Explain the concepts of network security. 

- Recognize common networking terms and models. 
- Identify common protocols and ports and their secure counterparts. 
- Identify types of network (cyber) threats and attacks. 
- Discuss common tools used to identify and prevent threats. 
- Identify common data center terminology. 
- Recognize common cloud service terminology. 
- Identify secure network design terminology. 
- Practice the terminology of and review network security concepts. 

Agenda

Course Introduction
Module 1: Network Concepts and Models 
Module 2: Common Network Threats and Attacks
Module 3: Network Security Infrastructure
Module 4: Network Security Review

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
https://www.coursera.org/learn/-network-security,Network Security | Coursera,"['Information Technology', 'Security']",threat,"Welcome to course 4 of 5 of this Specialization, Network Security.In this course, we will look at computer networking and securing the network. In todayâs world, the internet connects nearly everyone and everything, and this is accomplished through networking. While most see computer networking as a positive, criminals routinely use the internet, and the networking protocols themselves, as weapons and tools to exploit vulnerabilities and for this reason we must do our best to secure the network. We will review the basic components of a network, threats and attacks to the network, and learn how to protect them from attackers. Network security itself can be a specialty career within cybersecurity; however, all information security professionals need to understand how networks operate and are exploited to better secure them. 

After completing this chapter, the participant will be able to:â¯

Explain the concepts of network security. 

- Recognize common networking terms and models. 
- Identify common protocols and ports and their secure counterparts. 
- Identify types of network (cyber) threats and attacks. 
- Discuss common tools used to identify and prevent threats. 
- Identify common data center terminology. 
- Recognize common cloud service terminology. 
- Identify secure network design terminology. 
- Practice the terminology of and review network security concepts. 

Agenda

Course Introduction
Module 1: Network Concepts and Models 
Module 2: Common Network Threats and Attacks
Module 3: Network Security Infrastructure
Module 4: Network Security Review

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
https://www.coursera.org/learn/-security-principles,Security Principles | Coursera,"['Information Technology', 'Security']",risk,"Welcome to course 1 of 5 of this Specialization, Security Principles.After completing this course, the participant will be able to:â¯

Discuss the foundational concepts of cybersecurity principles.

- Recognize foundational security concepts of information assurance.
- Define risk management terminology and summarize the process.
- Relate risk management to personal or professional practices.
- Classify types of security controls.
- Distinguish between policies, procedures, standards, regulations and laws.
- Demonstrate the relationship among governance elements.
- Analyze appropriate outcomes according to the canons of the (ISC)2 Code of Ethics when given examples.
- Practice the terminology and review security principles.

Agenda

Course Introduction
Module 1: Information Assurance 
Module 2: Risk Management Process 
Module 3: Security Controls
Module 4: Governance
Module 5: (ISC)2 Code of Ethics
Module 6: Course Summary

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
https://www.coursera.org/learn/-security-principles,Security Principles | Coursera,"['Information Technology', 'Security']",information assurance,"Welcome to course 1 of 5 of this Specialization, Security Principles.After completing this course, the participant will be able to:â¯

Discuss the foundational concepts of cybersecurity principles.

- Recognize foundational security concepts of information assurance.
- Define risk management terminology and summarize the process.
- Relate risk management to personal or professional practices.
- Classify types of security controls.
- Distinguish between policies, procedures, standards, regulations and laws.
- Demonstrate the relationship among governance elements.
- Analyze appropriate outcomes according to the canons of the (ISC)2 Code of Ethics when given examples.
- Practice the terminology and review security principles.

Agenda

Course Introduction
Module 1: Information Assurance 
Module 2: Risk Management Process 
Module 3: Security Controls
Module 4: Governance
Module 5: (ISC)2 Code of Ethics
Module 6: Course Summary

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required.",English,[]
