dwa_title,degree_of_automation
administer compensation or benefits programs,2.08
administer standardized physical or psychological tests,2.08
advise customers on technical or procedural issues,2.25
advise customers on the use of products or services,2.29
advise others on career or personal development,2.08
advise others on legal or regulatory compliance matters,2.08
advise others on logistics topics,2.45
advise others regarding green practices or environmental concerns,2.2
analyze biological samples,2.5300000000000002
analyze chemical compounds or substances,2.225
analyze costs and benefits of proposed designs or projects,2.3000000000000003
analyze data to assess operational or project effectiveness,2.375
analyze data to inform operational decisions or activities,2.2125
analyze data to inform personnel decisions,2.08
analyze design or requirements information for mechanical equipment or systems,2.015
analyze environmental regulations to ensure organizational compliance,2.45
analyze green technology design requirements,2.15
"analyze jobs using observation, survey, or interview techniques",2.45
analyze logistics processes,2.45
"analyze operational data to evaluate operations, processes or products",2.265
analyze test or validation data,2.02
apply mathematical models of financial or business conditions,2.45
approve expenditures,2.02
assemble equipment or components,2.7649999999999997
assemble mechanical components or machine parts,2.15
assess product or process usefulness,2.375
"assess the cost effectiveness of products, projects, or services",2.45
assist engineers or scientists with research,2.15
calibrate scientific or technical equipment,2.468
classify organisms based on their characteristics or behavior,2.43
collaborate on research activities with scientists or technical specialists,2.02
collaborate with others to develop or refine designs,2.15
collect samples of raw materials or finished products,1.89
communicate organizational information to customers or other stakeholders,2.25
communicate organizational policies and procedures,2.165
"communicate technical information to suppliers, contractors, or regulatory agencies",1.93
compile operational data,2.08
conduct employee training programs,2.1166666666666667
conduct environmental audits,2.02
conduct quantitative failure analyses of operational data,2.1950000000000003
conduct validation tests of equipment or processes,2.355
confer with organizational members to accomplish work activities,2.2566666666666664
confer with other personnel to resolve design or operational problems,2.2
confer with technical personnel to prepare designs or operational plans,2.2433333333333336
"coordinate activities with suppliers, contractors, clients, or other departments",2.24
coordinate safety or regulatory compliance activities,2.2
coordinate special events or programs,2.08
coordinate with external parties to exchange information,2.5
create graphical representations of industrial production systems,2.57
create graphical representations of mechanical equipment,1.99
create models of engineering designs or methods,2.1366666666666667
create physical models or prototypes,2.01
"cultivate micro-organisms for study, testing, or medical preparations",2.43
design control systems for mechanical or other equipment,2.296666666666667
design electromechanical equipment or systems,2.5375
design electronic or computer equipment or instrumentation,2.045
design energy-efficient vehicles or vehicle components,2.24
design environmental control systems,1.83
design industrial equipment,2.3600000000000003
design industrial processing systems,2.3314285714285714
design medical devices or appliances,1.97
design research studies to obtain scientific information,2.63
design structures or facilities,2.19
determine causes of operational problems or failures,2.92
determine design criteria or specifications,2.24
determine operational criteria or specifications,2.24
determine operational methods,2.4425
develop biological research methods,2.63
develop business or financial information systems,2.45
develop business or market strategies,2.45
develop new or advanced products or production methods,2.36
"develop operating strategies, plans, or procedures",2.2566666666666664
develop operational methods or processes that use green materials or emphasize sustainability,2.41
develop organizational goals or objectives,2.5
develop organizational methods or procedures,2.2566666666666664
develop procedures to evaluate organizational activities,2.5
develop software or computer applications,2.1666666666666665
develop specifications for new products or processes,2.135
develop sustainable business strategies or practices,2.45
develop sustainable organizational policies or practices,2.5
develop technical methods or processes,2.268333333333333
develop technical specifications for systems or equipment,2.45
devise research or testing protocols,2.165
direct design or development activities,2.24
direct equipment maintenance or repair activities,2.2
direct facility maintenance or repair activities,2.02
direct industrial production activities,2.4033333333333333
direct installation activities,2.2
direct operational or production activities,2.135
"direct organizational operations, projects, or services",2.135
direct quality control activities,2.04
"direct sales, marketing, or customer service activities",2.02
document design or operational test results,2.453333333333333
document organizational or operational procedures,2.375
document technical design details,2.2350000000000003
establish organizational guidelines or policies,2.45
"establish standards for products, processes, or procedures",2.02
estimate cost or material requirements,2.5
estimate costs of goods or services,2.45
estimate labor requirements,2.29
estimate operational costs,2.245
estimate technical or resource requirements for development or production projects,2.18
estimate time requirements for development or production projects,2.265
evaluate characteristics of equipment or systems,2.5516666666666667
evaluate designs or specifications to ensure quality,2.47
evaluate employee performance,2.02
evaluate environmental impact of operational or development activities,2.5
evaluate logistics methods to reduce environmental impact,2.45
evaluate new technologies or methods,2.25
evaluate plans or specifications to determine technological or environmental implications,2.2
"evaluate potential of products, technologies, or resources",2.5
evaluate quality of materials or products,2.2566666666666664
evaluate technical data to determine effect on designs or plans,2.24
examine characteristics or behavior of living organisms,2.43
"explain engineering drawings, specifications, or other technical information",2.17
fabricate devices or components,2.15
fabricate products or components using machine tools,3.38
hire personnel,2.05
identify new applications for existing technologies,2.2
identify opportunities for green initiatives,2.5
identify opportunities to improve operational efficiency,2.45
implement design or process improvements,2.1733333333333333
implement organizational process or policy changes,2.2566666666666664
implement transportation changes to reduce environmental impact,2.5
inspect condition of natural environments,2.43
inspect condition or functioning of facilities or equipment,2.25
inspect facilities or sites to determine if they meet specifications or standards,3.38
inspect finished products to locate flaws,1.89
inspect operational processes,2.04
install production equipment or systems,2.71
instruct college students in physical or life sciences,2.63
interpret design or operational test results,2.7
"interview employees, customers, or others to collect information",2.08
investigate industrial or transportation accidents,2.08
"investigate system, equipment, or product failures",2.45
investigate the environmental impact of projects,2.56
liaise between departments or other groups to improve function or communication,2.08
maintain data in information systems or databases,2.45
maintain electromechanical equipment,3.38
"maintain inventories of materials, equipment, or products",3.38
maintain knowledge of current developments in area of expertise,2.1166666666666667
maintain laboratory or technical equipment,2.02
maintain operational records or records systems,2.335
maintain personnel records,2.05
maintain regulatory or compliance documentation,2.02
maintain test equipment,1.89
manage control system activities in organizations,2.135
manage human resources activities,2.08
manage inventories of products or organizational resources,2.5
"manage operations, research, or logistics projects",2.5
manage scientific or technical project resources,2.02
monitor activities affecting environmental quality,2.19
monitor environmental impacts of production or development activities,2.43
monitor external affairs or events affecting business operations,2.26
monitor facilities or operational systems,2.25
monitor operational procedures in technical environments to ensure conformance to standards,2.02
monitor organizational procedures to ensure proper functioning,2.135
monitor performance of organizational members or partners,2.5
monitor processes for compliance with standards,2.19
monitor the productivity or efficiency of industrial operations,2.2475
"negotiate contracts for transportation, distribution, or logistics services",2.5
negotiate labor disputes,2.08
negotiate sales or lease agreements for products or services,2.05
operate computer systems,1.89
operate industrial equipment,2.7566666666666664
operate laboratory or field equipment,2.43
perform human resources activities,2.08
perform marketing activities,2.2
plan facility layouts or designs,2.45
prepare biological samples for testing or analysis,2.43
prepare compounds or solutions for products or testing,2.325
