onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
17-2141.02,"Automotive Engineers",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.a.4.I12.D01,"Conduct quantitative failure analyses of operational data.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.4.a.2.I11.D07,"Coordinate activities with suppliers, contractors, clients, or other departments.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.2.I21.D01,"Create models of engineering designs or methods.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.2.I14.D06,"Design control systems for mechanical or other equipment.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.2.I16.D05,"Design energy-efficient vehicles or vehicle components.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.2.I07.D01,"Determine design criteria or specifications.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.2.I07.D06,"Determine operational criteria or specifications.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
17-2141.02,"Automotive Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",2.90,3.86,3.80,1.85,3.14,1.45,2.40,2.24,5.00,2.15,1.05,1.80,2.38,1.24,1.62,1.00,1.43,1.75,4.70,4.00,2.70,3.33,4.43,2.67,3.00,1.48,4.40,2.65,3.25,3.52,2.29,2.33,1.67,3.14,2.90,3.35,3.50,2.62,1.76,1.24,1.29,1.62,3.95,2.45,2.33,2.21,4.19,4.65,2.10,3.24,1.95,4.65
