onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.b.6.I02.D03,"Advise customers on the use of products or services.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.a.4.I07.D03,"Analyze operational data to evaluate operations, processes or products.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.a.2.I11.D02,"Communicate technical information to suppliers, contractors, or regulatory agencies.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I21.D01,"Create models of engineering designs or methods.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I13.D04,"Design medical devices or appliances.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I20.D05,"Develop operational methods or processes that use green materials or emphasize sustainability.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I02.D01,"Develop software or computer applications.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I23.D01,"Devise research or testing protocols.",3.07,4.03,3.36,1.48,2.70,1.21,2.21,1.97,5.00,2.04,2.27,2.43,1.72,1.03,1.20,1.77,1.03,1.37,4.62,4.10,2.50,3.57,4.03,2.60,1.60,1.14,4.93,1.63,3.68,3.43,1.28,1.33,1.37,2.97,2.50,3.28,3.10,2.23,1.20,1.10,1.10,1.23,4.10,2.13,2.37,1.73,4.07,4.39,1.28,2.67,1.90,4.55
