onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
17-2041.00,"Chemical Engineers",4.A.1.b.2.I07.D09,"Conduct validation tests of equipment or processes.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.2.b.2.I14.D06,"Design control systems for mechanical or other equipment.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.2.b.1.I04.D03,"Determine operational methods.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.4.b.4.I12.D24,"Direct industrial production activities.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.1.b.3.I02.D04,"Estimate operational costs.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
17-2041.00,"Chemical Engineers",4.A.1.a.2.I02.D15,"Monitor the productivity or efficiency of industrial operations.",3.77,3.95,3.64,1.81,2.59,1.18,2.05,2.82,5.00,2.95,1.45,3.09,2.55,2.05,1.48,1.50,1.14,1.76,4.82,4.09,2.82,4.18,4.27,2.45,2.38,1.14,4.45,3.00,3.77,3.50,2.23,2.57,1.27,2.81,2.59,3.45,4.36,3.00,1.32,1.67,1.19,1.57,3.95,2.29,2.15,1.95,4.14,4.55,2.33,3.91,2.45,4.50
