onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
19-2031.00,Chemists,4.A.2.a.4.I10.D06,"Analyze chemical compounds or substances.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.4.a.2.I02.D01,"Collaborate on research activities with scientists or technical specialists.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.2.b.4.I03.D12,"Develop new or advanced products or production methods.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.2.b.4.I03.D17,"Establish standards for products, processes, or procedures.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.3.b.4.I04.D05,"Maintain laboratory or technical equipment.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.4.b.4.I06.D08,"Manage scientific or technical project resources.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.1.a.2.I02.D16,"Monitor operational procedures in technical environments to ensure conformance to standards.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.3.a.2.I47.D04,"Prepare compounds or solutions for products or testing.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
19-2031.00,Chemists,4.A.1.a.1.I20.D10,"Research methods to improve food products.",3.42,3.82,3.55,1.20,2.98,1.25,2.43,2.02,4.92,3.11,1.15,3.65,1.44,1.08,1.41,1.00,1.00,1.21,4.74,4.44,2.45,3.55,4.67,3.48,1.41,1.06,4.80,1.61,2.70,3.51,1.13,1.13,2.12,3.09,1.82,3.47,3.78,2.89,1.62,1.24,1.21,1.39,3.09,2.90,2.58,2.16,4.14,3.82,1.14,4.76,1.70,3.96
