onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
11-3121.00,"Human Resources Managers",4.A.4.c.2.I02.D02,"Administer compensation or benefits programs.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.4.c.2.I02.D03,"Administer standardized physical or psychological tests.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.4.b.6.I07.D06,"Advise others on career or personal development.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.4.b.6.I08.D04,"Advise others on legal or regulatory compliance matters.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.2.a.4.I07.D11,"Analyze data to inform personnel decisions.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.4.a.1.I02.D03,"Communicate organizational policies and procedures.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.2.a.2.I03.D01,"Compile operational data.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.4.b.3.I04.D16,"Conduct employee training programs.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
11-3121.00,"Human Resources Managers",4.A.4.b.4.I11.D03,"Coordinate special events or programs.",3.42,4.62,3.88,1.08,2.88,2.00,3.29,2.08,5.00,1.33,1.21,1.00,1.12,1.04,1.17,1.04,1.00,1.17,4.96,4.79,3.92,4.33,4.04,3.04,2.46,1.04,4.58,1.79,4.21,3.21,1.29,1.33,1.12,2.62,2.88,3.83,3.67,1.96,1.35,1.00,1.12,1.21,4.48,2.04,2.54,1.88,4.71,5.00,1.21,1.46,1.00,4.25
