onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
11-3051.00,"Industrial Production Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.2.b.1.I03.D04,"Approve expenditures.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.4.b.3.I04.D16,"Conduct employee training programs.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.2.a.3.I02.D03,"Conduct environmental audits.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.2.b.2.I07.D02,"Develop specifications for new products or processes.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I12.D27,"Direct facility maintenance or repair activities.",3.02,4.69,4.14,1.97,2.88,1.44,3.00,2.02,4.87,3.47,1.22,2.20,3.35,2.04,2.57,1.06,1.45,2.21,4.79,4.39,3.18,4.27,4.47,3.16,2.38,1.86,3.49,3.85,3.10,3.04,2.32,1.97,3.22,3.24,2.79,4.48,4.54,3.76,1.71,1.38,1.54,1.55,2.73,3.47,2.71,3.05,4.54,4.55,2.70,4.59,1.61,4.52
