onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
13-1081.01,"Logistics Engineers",4.A.4.b.6.I05.D02,"Advise others on logistics topics.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.a.4.I09.D02,"Analyze environmental regulations to ensure organizational compliance.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.a.4.I07.D10,"Analyze jobs using observation, survey, or interview techniques.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.a.4.I07.D07,"Analyze logistics processes.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.a.4.I11.D03,"Apply mathematical models of financial or business conditions.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.a.1.I07.D01,"Assess the cost effectiveness of products, projects, or services.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.b.4.I03.D04,"Develop business or financial information systems.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.b.2.I03.D01,"Develop business or market strategies.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.b.2.I20.D02,"Develop sustainable business strategies or practices.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
13-1081.01,"Logistics Engineers",4.A.2.b.2.I07.D04,"Develop technical specifications for systems or equipment.",1.79,4.35,3.68,1.30,3.40,1.21,2.47,2.45,5.00,1.45,1.00,1.30,1.55,1.30,1.15,1.10,1.10,1.50,4.65,3.79,2.63,3.68,4.15,3.30,1.75,1.55,4.47,2.47,3.45,3.45,2.00,1.85,1.55,3.10,2.40,3.11,3.00,2.45,1.32,1.21,1.10,1.20,4.20,2.00,1.70,1.90,4.05,4.65,1.70,2.11,1.32,4.30
