onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I05.D04,"Analyze green technology design requirements.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I12.D04,"Analyze test or validation data.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.a.2.I04.D02,"Assemble equipment or components.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.a.2.I04.D12,"Assemble mechanical components or machine parts.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.a.2.I02.D03,"Assist engineers or scientists with research.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.a.2.I09.D04,"Collaborate with others to develop or refine designs.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I12.D01,"Conduct quantitative failure analyses of operational data.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.2.I18.D18,"Create graphical representations of mechanical equipment.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.2.I14.D03,"Design industrial equipment.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.b.6.I09.D07,"Document design or operational test results.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.b.6.I09.D02,"Document technical design details.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.1.b.3.I02.D04,"Estimate operational costs.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.b.1.I08.D01,"Estimate technical or resource requirements for development or production projects.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.4.a.1.I01.D04,"Explain engineering drawings, specifications, or other technical information.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
17-3027.00,"Mechanical Engineering Technologists and Technicians",4.A.3.a.2.I27.D01,"Fabricate devices or components.",3.85,4.56,3.76,2.70,3.14,1.40,2.76,2.15,4.54,3.24,1.14,3.07,3.54,2.02,2.56,1.28,1.35,2.53,4.71,4.04,2.77,3.91,4.17,3.27,1.64,1.88,4.28,2.95,3.10,2.93,2.19,1.93,2.63,3.73,2.15,3.74,3.69,3.77,2.22,1.75,1.82,2.07,3.10,3.25,3.27,2.81,3.88,4.32,2.69,4.34,1.88,4.02
