onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
17-2141.00,"Mechanical Engineers",4.A.4.b.6.I02.D03,"Advise customers on the use of products or services.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.4.b.6.I03.D02,"Advise others regarding green practices or environmental concerns.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.2.a.4.I05.D06,"Analyze design or requirements information for mechanical equipment or systems.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.4.a.2.I04.D02,"Confer with other personnel to resolve design or operational problems.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.4.b.4.I14.D02,"Coordinate safety or regulatory compliance activities.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I21.D01,"Create models of engineering designs or methods.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I24.D03,"Design electronic or computer equipment or instrumentation.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I14.D03,"Design industrial equipment.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
17-2141.00,"Mechanical Engineers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",3.07,4.45,3.81,1.87,3.02,1.65,2.95,2.20,4.30,2.44,1.26,2.15,2.88,1.86,2.01,1.06,1.33,1.82,4.93,4.48,3.05,3.86,4.36,3.49,2.34,1.59,4.17,2.88,3.12,3.56,1.97,1.78,2.32,3.33,2.50,3.35,2.97,3.49,2.27,1.74,1.49,1.96,3.43,2.74,2.98,2.40,4.60,4.73,2.31,4.44,1.62,4.20
