onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
19-1022.00,Microbiologists,4.A.2.a.4.I10.D05,"Analyze biological samples.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.2.a.4.I10.D06,"Analyze chemical compounds or substances.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.1.a.1.I16.D05,"Classify organisms based on their characteristics or behavior.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.3.a.2.I47.D01,"Cultivate micro-organisms for study, testing, or medical preparations.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.2.b.4.I03.D12,"Develop new or advanced products or production methods.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.1.a.1.I16.D06,"Examine characteristics or behavior of living organisms.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.1.a.2.I09.D06,"Inspect condition of natural environments.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.1.a.1.I10.D04,"Monitor environmental impacts of production or development activities.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.3.a.3.I09.D01,"Operate laboratory or field equipment.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.3.a.2.I47.D03,"Prepare biological samples for testing or analysis.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
19-1022.00,Microbiologists,4.A.1.a.1.I16.D02,"Research diseases or parasites.",3.87,3.87,3.48,1.22,2.61,1.04,2.35,2.43,4.96,3.39,4.26,3.35,1.48,1.04,1.74,1.22,1.00,1.57,4.73,3.70,2.48,3.83,4.87,3.83,1.26,1.05,5.00,1.57,3.39,3.39,1.39,1.35,1.48,3.43,2.52,3.32,4.17,2.91,1.65,1.04,1.19,1.33,3.73,2.65,3.90,1.87,3.61,4.50,1.70,4.74,2.65,4.17
