onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
11-3051.01,"Quality Control Systems Managers",4.A.4.b.6.I02.D02,"Advise customers on technical or procedural issues.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.2.a.4.I07.D09,"Analyze data to assess operational or project effectiveness.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.4.a.1.I02.D05,"Communicate organizational information to customers or other stakeholders.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.4.a.1.I02.D03,"Communicate organizational policies and procedures.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.4.b.3.I04.D16,"Conduct employee training programs.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
11-3051.01,"Quality Control Systems Managers",4.A.2.b.2.I07.D02,"Develop specifications for new products or processes.",2.76,4.83,4.45,1.27,3.57,1.42,2.99,2.25,5.00,2.88,1.66,2.59,2.01,1.43,1.28,1.00,1.00,1.42,4.76,4.23,3.58,4.43,4.33,3.55,1.25,1.00,4.72,2.08,3.73,3.84,1.90,1.23,1.50,2.92,2.76,4.13,4.13,2.47,1.26,1.18,1.16,1.37,3.60,2.67,1.78,2.31,4.49,4.62,2.09,3.43,1.35,4.80
