onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
17-3024.01,"Robotics Technicians",4.A.3.a.2.I04.D02,"Assemble equipment or components.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.b.6.I09.D07,"Document design or operational test results.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.a.2.I27.D03,"Fabricate products or components using machine tools.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.1.b.2.I05.D12,"Inspect facilities or sites to determine if they meet specifications or standards.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.a.2.I20.D04,"Install production equipment or systems.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.b.4.I02.D18,"Maintain electromechanical equipment.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.4.c.3.I01.D05,"Maintain inventories of materials, equipment, or products.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.b.6.I08.D21,"Maintain operational records or records systems.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.a.3.I06.D13,"Operate industrial equipment.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.b.6.I09.D01,"Prepare procedural documents.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.b.1.I01.D04,"Program robotic equipment.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.3.b.4.I03.D03,"Repair electronic equipment.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
17-3024.01,"Robotics Technicians",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures.",4.05,3.91,3.23,2.95,2.82,1.09,2.10,3.38,4.95,3.32,1.50,3.77,3.59,2.41,2.77,1.32,1.27,2.73,4.73,4.23,2.50,3.59,4.59,2.82,2.41,1.50,4.14,3.45,2.82,3.10,2.64,2.36,2.45,3.14,2.18,3.27,4.05,3.77,2.29,1.77,1.77,2.41,2.77,3.09,3.82,2.36,4.14,4.45,2.73,4.68,2.59,4.14
