onetsoc_code,title,dwa_id,dwa_title,consequence_of_error,contact_with_others,coordinate_or_lead_others,cramped_work_space,deal_with_external_customers,deal_with_physically_aggressive_people,deal_with_unpleasant_or_angry_people,degree_of_automation,electronic_mail,exposed_to_contaminants,exposed_to_disease_or_infections,exposed_to_hazardous_conditions,exposed_to_hazardous_equipment,exposed_to_high_places,exposed_to_minor_burns_cuts_bites_stings,exposed_to_radiation,exposed_to_whole_body_vibration,bright_or_inadequate_lighting,face_to_face_discussions,freedom_to_make_decisions,frequency_of_conflict_situations,impact_of_decisions,importance_of_being_exact_or_accurate,importance_of_repeating_same_tasks,in_enclosed_vehicle_or_equipment,in_open_vehicle_or_equipment,indoors_environmentally_controlled,indoors_not_environmentally_controlled,letters_and_memos,level_of_competition,outdoors_exposed_to_weather,outdoors_under_cover,pace_determined_by_equipment,physical_proximity,public_speaking,responsibility_for_outcomes,responsible_for_others_health_and_safety,noise_levels_distracting,spend_time_bending_or_twisting,spend_time_climbing_ladders,spend_time_keeping_balance,spend_time_kneeling_crouching,spend_time_sitting,spend_time_standing,spend_time_using_hands,spend_time_walking_running,structured_vs_unstructured_work,telephone,very_hot_or_cold_temperatures,wear_common_protective_equipment,wear_specialized_protective_equipment,work_with_team
11-3071.04,"Supply Chain Managers",4.A.2.a.4.I07.D09,"Analyze data to assess operational or project effectiveness.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.4.a.2.I11.D04,"Coordinate with external parties to exchange information.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.2.I27.D02,"Develop organizational goals or objectives.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.4.I03.D13,"Develop procedures to evaluate organizational activities.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.2.I20.D03,"Develop sustainable organizational policies or practices.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.3.b.6.I08.D30,"Document organizational or operational procedures.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I08.D08,"Estimate cost or material requirements.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I08.D03,"Estimate labor requirements.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.1.a.1.I10.D07,"Evaluate environmental impact of operational or development activities.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.a.1.I07.D03,"Evaluate potential of products, technologies, or resources.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.1.b.1.I02.D01,"Identify opportunities for green initiatives.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I09.D02,"Implement transportation changes to reduce environmental impact.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
11-3071.04,"Supply Chain Managers",4.A.4.c.3.I01.D03,"Manage inventories of products or organizational resources.",2.35,4.57,4.10,1.33,3.71,1.30,3.35,2.50,5.00,1.65,1.10,1.25,1.29,1.52,1.15,1.10,1.20,1.95,4.90,4.05,3.81,3.67,4.00,2.70,2.38,1.53,4.25,3.05,3.74,3.55,2.10,1.81,2.00,3.05,2.76,4.20,3.95,3.00,1.30,1.19,1.10,1.14,3.95,2.30,1.81,1.95,4.19,5.00,2.20,2.95,1.62,4.60
