onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-2141.02,"Automotive Engineers",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment.",2.24
17-2141.02,"Automotive Engineers",4.A.2.a.4.I12.D01,"Conduct quantitative failure analyses of operational data.",2.24
17-2141.02,"Automotive Engineers",4.A.4.a.2.I11.D07,"Coordinate activities with suppliers, contractors, clients, or other departments.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I21.D01,"Create models of engineering designs or methods.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I14.D06,"Design control systems for mechanical or other equipment.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I16.D05,"Design energy-efficient vehicles or vehicle components.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I07.D01,"Determine design criteria or specifications.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I07.D06,"Determine operational criteria or specifications.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.2.I23.D01,"Devise research or testing protocols.",2.24
17-2141.02,"Automotive Engineers",4.A.4.b.4.I06.D10,"Direct design or development activities.",2.24
17-2141.02,"Automotive Engineers",4.A.1.b.3.I02.D04,"Estimate operational costs.",2.24
17-2141.02,"Automotive Engineers",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",2.24
17-2141.02,"Automotive Engineers",4.A.2.a.4.I05.D01,"Evaluate technical data to determine effect on designs or plans.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.1.I09.D06,"Implement design or process improvements.",2.24
17-2141.02,"Automotive Engineers",4.A.3.b.6.I08.D21,"Maintain operational records or records systems.",2.24
17-2141.02,"Automotive Engineers",4.A.3.b.6.I15.D04,"Prepare operational reports.",2.24
17-2141.02,"Automotive Engineers",4.A.3.b.6.I03.D09,"Prepare technical reports for internal use.",2.24
17-2141.02,"Automotive Engineers",4.A.4.b.6.I04.D01,"Provide technical guidance to other personnel.",2.24
17-2141.02,"Automotive Engineers",4.A.1.a.1.I20.D05,"Research advanced engineering designs or applications.",2.24
17-2141.02,"Automotive Engineers",4.A.1.a.1.I20.D03,"Research design or application of green technologies.",2.24
17-2141.02,"Automotive Engineers",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",2.24
17-2141.02,"Automotive Engineers",4.A.2.b.3.I01.D20,"Update technical knowledge.",2.24
