onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
19-1021.00,"Biochemists and Biophysicists",4.A.2.a.4.I10.D05,"Analyze biological samples.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.2.b.2.I23.D04,"Design research studies to obtain scientific information.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.2.b.2.I23.D02,"Develop biological research methods.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.2.b.4.I03.D12,"Develop new or advanced products or production methods.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.4.b.3.I02.D09,"Instruct college students in physical or life sciences.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.3.a.2.I47.D04,"Prepare compounds or solutions for products or testing.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.1.a.1.I16.D02,"Research diseases or parasites.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.1.a.1.I16.D01,"Research genetic characteristics or expression.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.1.a.1.I20.D10,"Research methods to improve food products.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.3.a.2.I46.D10,"Set up laboratory or field equipment.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.4.b.4.I01.D10,"Supervise scientific or technical personnel.",2.63
19-1021.00,"Biochemists and Biophysicists",4.A.3.b.6.I07.D02,"Write grant proposals.",2.63
