onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.b.6.I02.D03,"Advise customers on the use of products or services.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.a.4.I07.D03,"Analyze operational data to evaluate operations, processes or products.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.a.2.I11.D02,"Communicate technical information to suppliers, contractors, or regulatory agencies.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I21.D01,"Create models of engineering designs or methods.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I13.D04,"Design medical devices or appliances.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I20.D05,"Develop operational methods or processes that use green materials or emphasize sustainability.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I02.D01,"Develop software or computer applications.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.2.I23.D01,"Devise research or testing protocols.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.1.b.3.I02.D04,"Estimate operational costs.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.1.I08.D10,"Estimate time requirements for development or production projects.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.3.b.6.I08.D21,"Maintain operational records or records systems.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.3.b.6.I13.D06,"Prepare contracts, disclosures, or applications.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.6.I02.D07,"Prepare detailed work plans.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.3.b.6.I09.D01,"Prepare procedural documents.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.3.b.6.I03.D09,"Prepare technical reports for internal use.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.1.a.1.I20.D01,"Research engineering aspects of biological or chemical processes.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.b.4.I01.D02,"Supervise engineering or other technical personnel.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures.",1.97
17-2031.00,"Bioengineers and Biomedical Engineers",4.A.2.b.3.I01.D20,"Update technical knowledge.",1.97
