onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-2041.00,"Chemical Engineers",4.A.1.b.2.I07.D09,"Conduct validation tests of equipment or processes.",2.82
17-2041.00,"Chemical Engineers",4.A.2.b.2.I14.D06,"Design control systems for mechanical or other equipment.",2.82
17-2041.00,"Chemical Engineers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",2.82
17-2041.00,"Chemical Engineers",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures.",2.82
17-2041.00,"Chemical Engineers",4.A.2.b.1.I04.D03,"Determine operational methods.",2.82
17-2041.00,"Chemical Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",2.82
17-2041.00,"Chemical Engineers",4.A.4.b.4.I12.D24,"Direct industrial production activities.",2.82
17-2041.00,"Chemical Engineers",4.A.1.b.3.I02.D04,"Estimate operational costs.",2.82
17-2041.00,"Chemical Engineers",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",2.82
17-2041.00,"Chemical Engineers",4.A.1.a.2.I02.D15,"Monitor the productivity or efficiency of industrial operations.",2.82
17-2041.00,"Chemical Engineers",4.A.3.b.6.I15.D04,"Prepare operational reports.",2.82
17-2041.00,"Chemical Engineers",4.A.1.a.1.I20.D01,"Research engineering aspects of biological or chemical processes.",2.82
17-2041.00,"Chemical Engineers",4.A.1.a.1.I09.D02,"Research industrial processes or operations.",2.82
