onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
19-2031.00,Chemists,4.A.2.a.4.I10.D06,"Analyze chemical compounds or substances.",2.02
19-2031.00,Chemists,4.A.4.a.2.I02.D01,"Collaborate on research activities with scientists or technical specialists.",2.02
19-2031.00,Chemists,4.A.2.b.4.I03.D12,"Develop new or advanced products or production methods.",2.02
19-2031.00,Chemists,4.A.2.b.4.I03.D17,"Establish standards for products, processes, or procedures.",2.02
19-2031.00,Chemists,4.A.3.b.4.I04.D05,"Maintain laboratory or technical equipment.",2.02
19-2031.00,Chemists,4.A.4.b.4.I06.D08,"Manage scientific or technical project resources.",2.02
19-2031.00,Chemists,4.A.1.a.2.I02.D16,"Monitor operational procedures in technical environments to ensure conformance to standards.",2.02
19-2031.00,Chemists,4.A.3.a.2.I47.D04,"Prepare compounds or solutions for products or testing.",2.02
19-2031.00,Chemists,4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations.",2.02
19-2031.00,Chemists,4.A.1.a.1.I20.D10,"Research methods to improve food products.",2.02
19-2031.00,Chemists,4.A.4.b.4.I01.D10,"Supervise scientific or technical personnel.",2.02
19-2031.00,Chemists,4.A.1.b.2.I03.D07,"Test quality of materials or finished products.",2.02
