onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
11-3121.00,"Human Resources Managers",4.A.4.c.2.I02.D02,"Administer compensation or benefits programs.",2.08
11-3121.00,"Human Resources Managers",4.A.4.c.2.I02.D03,"Administer standardized physical or psychological tests.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.6.I07.D06,"Advise others on career or personal development.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.6.I08.D04,"Advise others on legal or regulatory compliance matters.",2.08
11-3121.00,"Human Resources Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",2.08
11-3121.00,"Human Resources Managers",4.A.2.a.4.I07.D11,"Analyze data to inform personnel decisions.",2.08
11-3121.00,"Human Resources Managers",4.A.4.a.1.I02.D03,"Communicate organizational policies and procedures.",2.08
11-3121.00,"Human Resources Managers",4.A.2.a.2.I03.D01,"Compile operational data.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.3.I04.D16,"Conduct employee training programs.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.4.I11.D03,"Coordinate special events or programs.",2.08
11-3121.00,"Human Resources Managers",4.A.2.b.1.I08.D03,"Estimate labor requirements.",2.08
11-3121.00,"Human Resources Managers",4.A.4.c.2.I01.D03,"Hire personnel.",2.08
11-3121.00,"Human Resources Managers",4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information.",2.08
11-3121.00,"Human Resources Managers",4.A.1.a.1.I21.D04,"Investigate industrial or transportation accidents.",2.08
11-3121.00,"Human Resources Managers",4.A.4.a.2.I03.D09,"Liaise between departments or other groups to improve function or communication.",2.08
11-3121.00,"Human Resources Managers",4.A.2.b.3.I01.D08,"Maintain knowledge of current developments in area of expertise.",2.08
11-3121.00,"Human Resources Managers",4.A.3.b.6.I08.D10,"Maintain personnel records.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.4.I07.D04,"Manage human resources activities.",2.08
11-3121.00,"Human Resources Managers",4.A.4.a.7.I02.D03,"Negotiate labor disputes.",2.08
11-3121.00,"Human Resources Managers",4.A.4.a.7.I02.D01,"Negotiate sales or lease agreements for products or services.",2.08
11-3121.00,"Human Resources Managers",4.A.4.c.2.I02.D01,"Perform human resources activities.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.4.I09.D04,"Prepare operational budgets.",2.08
11-3121.00,"Human Resources Managers",4.A.3.b.6.I14.D02,"Prepare reports related to compliance matters.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.6.I05.D07,"Recommend organizational process or policy changes.",2.08
11-3121.00,"Human Resources Managers",4.A.4.c.2.I01.D05,"Recruit personnel.",2.08
11-3121.00,"Human Resources Managers",4.A.4.a.2.I11.D09,"Represent the organization in external relations.",2.08
11-3121.00,"Human Resources Managers",4.A.4.b.4.I01.D13,"Supervise employees.",2.08
