onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
11-3051.00,"Industrial Production Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.1.I03.D04,"Approve expenditures.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.3.I04.D16,"Conduct employee training programs.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.a.3.I02.D03,"Conduct environmental audits.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.2.I07.D02,"Develop specifications for new products or processes.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I12.D27,"Direct facility maintenance or repair activities.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I12.D01,"Direct operational or production activities.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I12.D39,"Direct organizational operations, projects, or services.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I12.D03,"Direct sales, marketing, or customer service activities.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.a.1.I04.D04,"Evaluate employee performance.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.c.2.I01.D03,"Hire personnel.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.1.I09.D06,"Implement design or process improvements.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes.",2.02
11-3051.00,"Industrial Production Managers",4.A.2.b.3.I01.D08,"Maintain knowledge of current developments in area of expertise.",2.02
11-3051.00,"Industrial Production Managers",4.A.3.b.6.I08.D10,"Maintain personnel records.",2.02
11-3051.00,"Industrial Production Managers",4.A.3.b.6.I14.D04,"Maintain regulatory or compliance documentation.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I08.D03,"Manage control system activities in organizations.",2.02
11-3051.00,"Industrial Production Managers",4.A.1.a.2.I08.D03,"Monitor external affairs or events affecting business operations.",2.02
11-3051.00,"Industrial Production Managers",4.A.1.a.2.I02.D05,"Monitor organizational procedures to ensure proper functioning.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.a.7.I02.D01,"Negotiate sales or lease agreements for products or services.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I09.D04,"Prepare operational budgets.",2.02
11-3051.00,"Industrial Production Managers",4.A.3.b.6.I15.D06,"Prepare operational progress or status reports.",2.02
11-3051.00,"Industrial Production Managers",4.A.3.b.6.I15.D04,"Prepare operational reports.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.6.I05.D07,"Recommend organizational process or policy changes.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.a.5.I05.D02,"Respond to emergencies to provide assistance.",2.02
11-3051.00,"Industrial Production Managers",4.A.4.b.4.I01.D13,"Supervise employees.",2.02
