onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-2112.03,"Manufacturing Engineers",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.a.4.I07.D03,"Analyze operational data to evaluate operations, processes or products.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.a.1.I07.D05,"Assess product or process usefulness.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.2.I14.D03,"Design industrial equipment.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.1.I04.D03,"Determine operational methods.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.2.I20.D05,"Develop operational methods or processes that use green materials or emphasize sustainability.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.4.I03.D14,"Develop technical methods or processes.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.2.I23.D01,"Devise research or testing protocols.",2.56
17-2112.03,"Manufacturing Engineers",4.A.1.b.3.I02.D04,"Estimate operational costs.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.1.I08.D01,"Estimate technical or resource requirements for development or production projects.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.1.I08.D10,"Estimate time requirements for development or production projects.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.1.I09.D06,"Implement design or process improvements.",2.56
17-2112.03,"Manufacturing Engineers",4.A.3.a.2.I20.D04,"Install production equipment or systems.",2.56
17-2112.03,"Manufacturing Engineers",4.A.1.a.1.I10.D03,"Investigate the environmental impact of projects.",2.56
17-2112.03,"Manufacturing Engineers",4.A.3.b.6.I15.D04,"Prepare operational reports.",2.56
17-2112.03,"Manufacturing Engineers",4.A.3.b.6.I09.D01,"Prepare procedural documents.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.b.6.I04.D01,"Provide technical guidance to other personnel.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.c.3.I05.D03,"Purchase materials, equipment, or other resources.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.a.7.I03.D02,"Resolve operational performance problems.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.b.4.I01.D05,"Supervise production or support personnel.",2.56
17-2112.03,"Manufacturing Engineers",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures.",2.56
17-2112.03,"Manufacturing Engineers",4.A.2.b.3.I01.D20,"Update technical knowledge.",2.56
