onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
11-3051.01,"Quality Control Systems Managers",4.A.4.b.6.I02.D02,"Advise customers on technical or procedural issues.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.a.4.I07.D09,"Analyze data to assess operational or project effectiveness.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.a.1.I02.D05,"Communicate organizational information to customers or other stakeholders.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.a.1.I02.D03,"Communicate organizational policies and procedures.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.3.I04.D16,"Conduct employee training programs.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.b.2.I07.D02,"Develop specifications for new products or processes.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.4.I12.D01,"Direct operational or production activities.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.4.I12.D39,"Direct organizational operations, projects, or services.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.3.b.6.I08.D30,"Document organizational or operational procedures.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.a.1.I07.D02,"Evaluate new technologies or methods.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.1.b.2.I05.D15,"Inspect condition or functioning of facilities or equipment.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.b.3.I01.D08,"Maintain knowledge of current developments in area of expertise.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.4.I08.D03,"Manage control system activities in organizations.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.1.a.2.I02.D02,"Monitor facilities or operational systems.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.1.a.2.I02.D05,"Monitor organizational procedures to ensure proper functioning.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.4.I09.D04,"Prepare operational budgets.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.3.b.6.I15.D06,"Prepare operational progress or status reports.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.6.I05.D07,"Recommend organizational process or policy changes.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.1.a.1.I02.D15,"Review details of technical drawings or specifications.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.2.a.3.I01.D04,"Review documents or materials for compliance with policies or regulations.",2.25
11-3051.01,"Quality Control Systems Managers",4.A.4.b.4.I01.D13,"Supervise employees.",2.25
