onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-2199.08,"Robotics Engineers",4.A.4.b.6.I02.D03,"Advise customers on the use of products or services.",2.70
17-2199.08,"Robotics Engineers",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment.",2.70
17-2199.08,"Robotics Engineers",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems.",2.70
17-2199.08,"Robotics Engineers",4.A.2.b.2.I14.D03,"Design industrial equipment.",2.70
17-2199.08,"Robotics Engineers",4.A.2.b.2.I14.D01,"Design industrial processing systems.",2.70
17-2199.08,"Robotics Engineers",4.A.2.b.2.I20.D05,"Develop operational methods or processes that use green materials or emphasize sustainability.",2.70
17-2199.08,"Robotics Engineers",4.A.2.b.2.I02.D01,"Develop software or computer applications.",2.70
17-2199.08,"Robotics Engineers",4.A.3.b.6.I09.D02,"Document technical design details.",2.70
17-2199.08,"Robotics Engineers",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",2.70
17-2199.08,"Robotics Engineers",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality.",2.70
17-2199.08,"Robotics Engineers",4.A.3.a.2.I20.D04,"Install production equipment or systems.",2.70
17-2199.08,"Robotics Engineers",4.A.2.a.4.I12.D03,"Interpret design or operational test results.",2.70
17-2199.08,"Robotics Engineers",4.A.1.a.1.I22.D01,"Investigate system, equipment, or product failures.",2.70
17-2199.08,"Robotics Engineers",4.A.3.b.6.I08.D21,"Maintain operational records or records systems.",2.70
17-2199.08,"Robotics Engineers",4.A.3.a.3.I06.D13,"Operate industrial equipment.",2.70
17-2199.08,"Robotics Engineers",4.A.3.b.6.I15.D04,"Prepare operational reports.",2.70
17-2199.08,"Robotics Engineers",4.A.3.b.1.I01.D04,"Program robotic equipment.",2.70
17-2199.08,"Robotics Engineers",4.A.1.a.1.I20.D05,"Research advanced engineering designs or applications.",2.70
17-2199.08,"Robotics Engineers",4.A.4.b.4.I01.D02,"Supervise engineering or other technical personnel.",2.70
17-2199.08,"Robotics Engineers",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",2.70
