onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
17-3024.01,"Robotics Technicians",4.A.3.a.2.I04.D02,"Assemble equipment or components.",3.38
17-3024.01,"Robotics Technicians",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment.",3.38
17-3024.01,"Robotics Technicians",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems.",3.38
17-3024.01,"Robotics Technicians",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems.",3.38
17-3024.01,"Robotics Technicians",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures.",3.38
17-3024.01,"Robotics Technicians",4.A.3.b.6.I09.D07,"Document design or operational test results.",3.38
17-3024.01,"Robotics Technicians",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems.",3.38
17-3024.01,"Robotics Technicians",4.A.3.a.2.I27.D03,"Fabricate products or components using machine tools.",3.38
17-3024.01,"Robotics Technicians",4.A.1.b.2.I05.D12,"Inspect facilities or sites to determine if they meet specifications or standards.",3.38
17-3024.01,"Robotics Technicians",4.A.3.a.2.I20.D04,"Install production equipment or systems.",3.38
17-3024.01,"Robotics Technicians",4.A.3.b.4.I02.D18,"Maintain electromechanical equipment.",3.38
17-3024.01,"Robotics Technicians",4.A.4.c.3.I01.D05,"Maintain inventories of materials, equipment, or products.",3.38
17-3024.01,"Robotics Technicians",4.A.3.b.6.I08.D21,"Maintain operational records or records systems.",3.38
17-3024.01,"Robotics Technicians",4.A.3.a.3.I06.D13,"Operate industrial equipment.",3.38
17-3024.01,"Robotics Technicians",4.A.3.b.6.I09.D01,"Prepare procedural documents.",3.38
17-3024.01,"Robotics Technicians",4.A.3.b.1.I01.D04,"Program robotic equipment.",3.38
17-3024.01,"Robotics Technicians",4.A.3.b.4.I03.D03,"Repair electronic equipment.",3.38
17-3024.01,"Robotics Technicians",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",3.38
17-3024.01,"Robotics Technicians",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures.",3.38
