onetsoc_code,title,dwa_id,dwa_title,degree_of_automation
11-3071.04,"Supply Chain Managers",4.A.2.a.4.I07.D09,"Analyze data to assess operational or project effectiveness.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities.",2.50
11-3071.04,"Supply Chain Managers",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities.",2.50
11-3071.04,"Supply Chain Managers",4.A.4.a.2.I11.D04,"Coordinate with external parties to exchange information.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.2.I27.D02,"Develop organizational goals or objectives.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.4.I03.D13,"Develop procedures to evaluate organizational activities.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.2.I20.D03,"Develop sustainable organizational policies or practices.",2.50
11-3071.04,"Supply Chain Managers",4.A.3.b.6.I08.D30,"Document organizational or operational procedures.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I08.D08,"Estimate cost or material requirements.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I08.D03,"Estimate labor requirements.",2.50
11-3071.04,"Supply Chain Managers",4.A.1.a.1.I10.D07,"Evaluate environmental impact of operational or development activities.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.a.1.I07.D03,"Evaluate potential of products, technologies, or resources.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products.",2.50
11-3071.04,"Supply Chain Managers",4.A.1.b.1.I02.D01,"Identify opportunities for green initiatives.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes.",2.50
11-3071.04,"Supply Chain Managers",4.A.2.b.1.I09.D02,"Implement transportation changes to reduce environmental impact.",2.50
11-3071.04,"Supply Chain Managers",4.A.4.c.3.I01.D03,"Manage inventories of products or organizational resources.",2.50
11-3071.04,"Supply Chain Managers",4.A.4.b.4.I12.D12,"Manage operations, research, or logistics projects.",2.50
11-3071.04,"Supply Chain Managers",4.A.1.a.2.I08.D03,"Monitor external affairs or events affecting business operations.",2.50
11-3071.04,"Supply Chain Managers",4.A.1.a.2.I06.D01,"Monitor performance of organizational members or partners.",2.50
11-3071.04,"Supply Chain Managers",4.A.4.a.7.I02.D04,"Negotiate contracts for transportation, distribution, or logistics services.",2.50
