dwa_title,automation_quartile
administer compensation or benefits programs,Bajo
administer standardized physical or psychological tests,Bajo
advise customers on technical or procedural issues,Alto
advise customers on the use of products or services,Alto
advise others on career or personal development,Bajo
advise others on legal or regulatory compliance matters,Bajo
advise others on logistics topics,Alto
advise others regarding green practices or environmental concerns,Bajo
analyze biological samples,Alto
analyze chemical compounds or substances,Bajo
analyze costs and benefits of proposed designs or projects,Alto
analyze data to assess operational or project effectiveness,Alto
analyze data to inform operational decisions or activities,Bajo
analyze data to inform personnel decisions,Bajo
analyze design or requirements information for mechanical equipment or systems,Bajo
analyze environmental regulations to ensure organizational compliance,Alto
analyze green technology design requirements,Bajo
"analyze jobs using observation, survey, or interview techniques",Alto
analyze logistics processes,Alto
"analyze operational data to evaluate operations, processes or products",Alto
analyze test or validation data,Bajo
apply mathematical models of financial or business conditions,Alto
approve expenditures,Bajo
assemble equipment or components,Alto
assemble mechanical components or machine parts,Bajo
assess product or process usefulness,Alto
"assess the cost effectiveness of products, projects, or services",Alto
assist engineers or scientists with research,Bajo
calibrate scientific or technical equipment,Alto
classify organisms based on their characteristics or behavior,Alto
collaborate on research activities with scientists or technical specialists,Bajo
collaborate with others to develop or refine designs,Bajo
collect samples of raw materials or finished products,Bajo
communicate organizational information to customers or other stakeholders,Alto
communicate organizational policies and procedures,Bajo
"communicate technical information to suppliers, contractors, or regulatory agencies",Bajo
compile operational data,Bajo
conduct employee training programs,Bajo
conduct environmental audits,Bajo
conduct quantitative failure analyses of operational data,Bajo
conduct validation tests of equipment or processes,Alto
confer with organizational members to accomplish work activities,Alto
confer with other personnel to resolve design or operational problems,Bajo
confer with technical personnel to prepare designs or operational plans,Bajo
"coordinate activities with suppliers, contractors, clients, or other departments",Bajo
coordinate safety or regulatory compliance activities,Bajo
coordinate special events or programs,Bajo
coordinate with external parties to exchange information,Alto
create graphical representations of industrial production systems,Alto
create graphical representations of mechanical equipment,Bajo
create models of engineering designs or methods,Bajo
create physical models or prototypes,Bajo
"cultivate micro-organisms for study, testing, or medical preparations",Alto
design control systems for mechanical or other equipment,Alto
design electromechanical equipment or systems,Alto
design electronic or computer equipment or instrumentation,Bajo
design energy-efficient vehicles or vehicle components,Bajo
design environmental control systems,Bajo
design industrial equipment,Alto
design industrial processing systems,Alto
design medical devices or appliances,Bajo
design research studies to obtain scientific information,Alto
design structures or facilities,Bajo
determine causes of operational problems or failures,Alto
determine design criteria or specifications,Bajo
determine operational criteria or specifications,Bajo
determine operational methods,Alto
develop biological research methods,Alto
develop business or financial information systems,Alto
develop business or market strategies,Alto
develop new or advanced products or production methods,Alto
"develop operating strategies, plans, or procedures",Alto
develop operational methods or processes that use green materials or emphasize sustainability,Alto
develop organizational goals or objectives,Alto
develop organizational methods or procedures,Alto
develop procedures to evaluate organizational activities,Alto
develop software or computer applications,Bajo
develop specifications for new products or processes,Bajo
develop sustainable business strategies or practices,Alto
develop sustainable organizational policies or practices,Alto
develop technical methods or processes,Alto
develop technical specifications for systems or equipment,Alto
devise research or testing protocols,Bajo
direct design or development activities,Bajo
direct equipment maintenance or repair activities,Bajo
direct facility maintenance or repair activities,Bajo
direct industrial production activities,Alto
direct installation activities,Bajo
direct operational or production activities,Bajo
"direct organizational operations, projects, or services",Bajo
direct quality control activities,Bajo
"direct sales, marketing, or customer service activities",Bajo
document design or operational test results,Alto
document organizational or operational procedures,Alto
