onetsoc_code,title,task_id,task,dwa_id,dwa_title
19-1021.00,"Biochemists and Biophysicists",12929,"Prepare reports or recommendations, based upon research outcomes.",4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations."
19-1021.00,"Biochemists and Biophysicists",12930,"Develop new methods to study the mechanisms of biological processes.",4.A.2.b.2.I23.D02,"Develop biological research methods."
19-1021.00,"Biochemists and Biophysicists",12931,"Manage laboratory teams or monitor the quality of a team's work.",4.A.4.b.4.I01.D10,"Supervise scientific or technical personnel."
19-1021.00,"Biochemists and Biophysicists",12932,"Share research findings by writing scientific articles or by making presentations at scientific conferences.",4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations."
19-1021.00,"Biochemists and Biophysicists",12933,"Develop or execute tests to detect diseases, genetic disorders, or other abnormalities.",4.A.1.a.1.I16.D02,"Research diseases or parasites."
19-1021.00,"Biochemists and Biophysicists",12933,"Develop or execute tests to detect diseases, genetic disorders, or other abnormalities.",4.A.2.b.2.I23.D02,"Develop biological research methods."
19-1021.00,"Biochemists and Biophysicists",12934,"Develop or test new drugs or medications intended for commercial distribution.",4.A.2.b.4.I03.D12,"Develop new or advanced products or production methods."
19-1021.00,"Biochemists and Biophysicists",12935,"Study the mutations in organisms that lead to cancer or other diseases.",4.A.1.a.1.I16.D02,"Research diseases or parasites."
19-1021.00,"Biochemists and Biophysicists",12936,"Study spatial configurations of submicroscopic molecules, such as proteins, using x-rays or electron microscopes.",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures."
19-1021.00,"Biochemists and Biophysicists",12937,"Study the chemistry of living processes, such as cell development, breathing and digestion, or living energy changes, such as growth, aging, or death.",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures."
19-1021.00,"Biochemists and Biophysicists",12938,"Determine the three-dimensional structure of biological macromolecules.",4.A.2.a.4.I10.D05,"Analyze biological samples."
19-1021.00,"Biochemists and Biophysicists",12939,"Prepare pharmaceutical compounds for commercial distribution.",4.A.3.a.2.I47.D04,"Prepare compounds or solutions for products or testing."
19-1021.00,"Biochemists and Biophysicists",12940,"Research the chemical effects of substances, such as drugs, serums, hormones, or food, on tissues or vital processes.",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures."
19-1021.00,"Biochemists and Biophysicists",12941,"Research how characteristics of plants or animals are carried through successive generations.",4.A.1.a.1.I16.D01,"Research genetic characteristics or expression."
19-1021.00,"Biochemists and Biophysicists",12942,"Develop methods to process, store, or use foods, drugs, or chemical compounds.",4.A.1.a.1.I20.D10,"Research methods to improve food products."
19-1021.00,"Biochemists and Biophysicists",12943,"Investigate the nature, composition, or expression of genes or research how genetic engineering can impact these processes.",4.A.1.a.1.I16.D01,"Research genetic characteristics or expression."
19-1021.00,"Biochemists and Biophysicists",12944,"Study physical principles of living cells or organisms and their electrical or mechanical energy, applying methods and knowledge of mathematics, physics, chemistry, or biology.",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures."
19-1021.00,"Biochemists and Biophysicists",12945,"Produce pharmaceutically or industrially useful proteins, using recombinant DNA technology.",4.A.3.a.2.I47.D04,"Prepare compounds or solutions for products or testing."
19-1021.00,"Biochemists and Biophysicists",12946,"Isolate, analyze, or synthesize vitamins, hormones, allergens, minerals, or enzymes and determine their effects on body functions.",4.A.2.a.4.I10.D05,"Analyze biological samples."
19-1021.00,"Biochemists and Biophysicists",12947,"Design or perform experiments with equipment, such as lasers, accelerators, or mass spectrometers.",4.A.2.b.2.I23.D04,"Design research studies to obtain scientific information."
19-1021.00,"Biochemists and Biophysicists",12948,"Teach or advise undergraduate or graduate students or supervise their research.",4.A.4.b.3.I02.D09,"Instruct college students in physical or life sciences."
19-1021.00,"Biochemists and Biophysicists",12949,"Research transformations of substances in cells, using atomic isotopes.",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures."
19-1021.00,"Biochemists and Biophysicists",12950,"Examine the molecular or chemical aspects of immune system functioning.",4.A.1.a.1.I16.D04,"Research microbiological or chemical processes or structures."
19-1021.00,"Biochemists and Biophysicists",12951,"Design or build laboratory equipment needed for special research projects.",4.A.3.a.2.I46.D10,"Set up laboratory or field equipment."
19-1021.00,"Biochemists and Biophysicists",21168,"Write grant proposals to obtain funding for research.",4.A.3.b.6.I07.D02,"Write grant proposals."
