onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-2031.00,"Bioengineers and Biomedical Engineers",18603,"Conduct training or in-services to educate clinicians and other personnel on proper use of equipment.",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures."
17-2031.00,"Bioengineers and Biomedical Engineers",18604,"Write documents describing protocols, policies, standards for use, maintenance, and repair of medical equipment.",4.A.3.b.6.I09.D01,"Prepare procedural documents."
17-2031.00,"Bioengineers and Biomedical Engineers",21839,"Advise manufacturing staff regarding problems with fermentation, filtration, or other bioproduction processes.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-2031.00,"Bioengineers and Biomedical Engineers",21840,"Collaborate with manufacturing or quality assurance staff to prepare product specification or safety sheets, standard operating procedures, user manuals, or qualification and validation reports.",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans."
17-2031.00,"Bioengineers and Biomedical Engineers",21841,"Communicate with bioregulatory authorities regarding licensing or compliance responsibilities.",4.A.4.a.2.I11.D02,"Communicate technical information to suppliers, contractors, or regulatory agencies."
17-2031.00,"Bioengineers and Biomedical Engineers",21842,"Communicate with suppliers regarding the design or specifications of bioproduction equipment, instrumentation, or materials.",4.A.4.a.2.I11.D02,"Communicate technical information to suppliers, contractors, or regulatory agencies."
17-2031.00,"Bioengineers and Biomedical Engineers",21843,"Confer with research and biomanufacturing personnel to ensure the compatibility of design and production.",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans."
17-2031.00,"Bioengineers and Biomedical Engineers",21844,"Consult with chemists or biologists to develop or evaluate novel technologies.",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans."
17-2031.00,"Bioengineers and Biomedical Engineers",21845,"Design and deliver technology, such as prosthetic devices, to assist people with disabilities.",4.A.2.b.2.I13.D04,"Design medical devices or appliances."
17-2031.00,"Bioengineers and Biomedical Engineers",21846,"Design or conduct follow-up experimentation, based on generated data, to meet established process objectives.",4.A.1.a.1.I20.D01,"Research engineering aspects of biological or chemical processes."
