onetsoc_code,title,task_id,task,dwa_id,dwa_title
19-2031.00,Chemists,1505,"Analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",4.A.2.a.4.I10.D06,"Analyze chemical compounds or substances."
19-2031.00,Chemists,1506,"Develop, improve, or customize products, equipment, formulas, processes, or analytical methods.",4.A.2.b.4.I03.D12,"Develop new or advanced products or production methods."
19-2031.00,Chemists,1508,"Confer with scientists or engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests.",4.A.4.a.2.I02.D01,"Collaborate on research activities with scientists or technical specialists."
19-2031.00,Chemists,1509,"Direct, coordinate, or advise personnel in test procedures for analyzing components or physical properties of materials.",4.A.4.b.4.I01.D10,"Supervise scientific or technical personnel."
19-2031.00,Chemists,1510,"Induce changes in composition of substances by introducing heat, light, energy, or chemical catalysts for quantitative or qualitative analysis.",4.A.2.a.4.I10.D06,"Analyze chemical compounds or substances."
19-2031.00,Chemists,1511,"Write technical papers or reports or prepare standards and specifications for processes, facilities, products, or tests.",4.A.2.b.4.I03.D17,"Establish standards for products, processes, or procedures."
19-2031.00,Chemists,1511,"Write technical papers or reports or prepare standards and specifications for processes, facilities, products, or tests.",4.A.3.b.6.I03.D04,"Prepare scientific or technical reports or presentations."
19-2031.00,Chemists,1512,"Study effects of various methods of processing, preserving, or packaging on composition or properties of foods.",4.A.1.a.1.I20.D10,"Research methods to improve food products."
19-2031.00,Chemists,1513,"Prepare test solutions, compounds, or reagents for laboratory personnel to conduct tests.",4.A.3.a.2.I47.D04,"Prepare compounds or solutions for products or testing."
19-2031.00,Chemists,18474,"Maintain laboratory instruments to ensure proper working order and troubleshoot malfunctions when needed.",4.A.3.b.4.I04.D05,"Maintain laboratory or technical equipment."
19-2031.00,Chemists,18475,"Conduct quality control tests.",4.A.1.b.2.I03.D07,"Test quality of materials or finished products."
19-2031.00,Chemists,20388,"Evaluate laboratory safety procedures to ensure compliance with standards or to make improvements as needed.",4.A.1.a.2.I02.D16,"Monitor operational procedures in technical environments to ensure conformance to standards."
19-2031.00,Chemists,20389,"Purchase laboratory supplies, such as chemicals, when supplies are low or near their expiration date.",4.A.4.b.4.I06.D08,"Manage scientific or technical project resources."
