onetsoc_code,title,task_id,task,dwa_id,dwa_title
11-3121.00,"Human Resources Managers",1000,"Prepare personnel forecast to project employment needs.",4.A.2.b.1.I08.D03,"Estimate labor requirements."
11-3121.00,"Human Resources Managers",1001,"Prepare and follow budgets for personnel operations.",4.A.4.b.4.I09.D04,"Prepare operational budgets."
11-3121.00,"Human Resources Managers",1002,"Develop, administer, and evaluate applicant tests.",4.A.4.c.2.I02.D01,"Perform human resources activities."
11-3121.00,"Human Resources Managers",1002,"Develop, administer, and evaluate applicant tests.",4.A.4.c.2.I02.D03,"Administer standardized physical or psychological tests."
11-3121.00,"Human Resources Managers",1003,"Oversee the evaluation, classification, and rating of occupations and job positions.",4.A.4.b.4.I07.D04,"Manage human resources activities."
11-3121.00,"Human Resources Managers",1004,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",4.A.2.b.3.I01.D08,"Maintain knowledge of current developments in area of expertise."
11-3121.00,"Human Resources Managers",1005,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",4.A.4.b.4.I07.D04,"Manage human resources activities."
11-3121.00,"Human Resources Managers",1005,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",4.A.4.b.4.I11.D03,"Coordinate special events or programs."
11-3121.00,"Human Resources Managers",1006,"Provide terminated employees with outplacement or relocation assistance.",4.A.4.b.6.I07.D06,"Advise others on career or personal development."
11-3121.00,"Human Resources Managers",1007,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service.",4.A.4.a.7.I02.D01,"Negotiate sales or lease agreements for products or services."
11-3121.00,"Human Resources Managers",982,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",4.A.4.b.4.I07.D04,"Manage human resources activities."
11-3121.00,"Human Resources Managers",982,"Administer compensation, benefits, and performance management systems, and safety and recreation programs.",4.A.4.c.2.I02.D02,"Administer compensation or benefits programs."
11-3121.00,"Human Resources Managers",983,"Identify staff vacancies and recruit, interview, and select applicants.",4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information."
11-3121.00,"Human Resources Managers",983,"Identify staff vacancies and recruit, interview, and select applicants.",4.A.4.c.2.I01.D03,"Hire personnel."
11-3121.00,"Human Resources Managers",983,"Identify staff vacancies and recruit, interview, and select applicants.",4.A.4.c.2.I01.D05,"Recruit personnel."
11-3121.00,"Human Resources Managers",984,"Allocate human resources, ensuring appropriate matches between personnel.",4.A.4.b.4.I07.D04,"Manage human resources activities."
11-3121.00,"Human Resources Managers",985,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits.",4.A.4.a.1.I02.D03,"Communicate organizational policies and procedures."
