onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-3026.00,"Industrial Engineering Technologists and Technicians",19692,"Evaluate industrial operations for compliance with permits or regulations related to the generation, storage, treatment, transportation, or disposal of hazardous materials or waste.",4.A.1.a.2.I11.D06,"Monitor processes for compliance with standards."
17-3026.00,"Industrial Engineering Technologists and Technicians",20516,"Test selected products at specified stages in the production process for performance characteristics or adherence to specifications.",4.A.1.b.2.I03.D02,"Test products for functionality or quality."
17-3026.00,"Industrial Engineering Technologists and Technicians",20518,"Verify that equipment is being operated and maintained according to quality assurance standards by observing worker performance.",4.A.1.a.2.I02.D09,"Inspect operational processes."
17-3026.00,"Industrial Engineering Technologists and Technicians",22022,"Adhere to all applicable regulations, policies, and procedures for health, safety, and environmental compliance.",4.A.1.a.2.I09.D04,"Monitor activities affecting environmental quality."
17-3026.00,"Industrial Engineering Technologists and Technicians",22023,"Analyze, estimate, or report production costs.",4.A.1.b.3.I02.D04,"Estimate operational costs."
17-3026.00,"Industrial Engineering Technologists and Technicians",22023,"Analyze, estimate, or report production costs.",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects."
17-3026.00,"Industrial Engineering Technologists and Technicians",22024,"Assist engineers in developing, building, or testing prototypes or new products, processes, or procedures.",4.A.2.b.2.I21.D03,"Create physical models or prototypes."
17-3026.00,"Industrial Engineering Technologists and Technicians",22024,"Assist engineers in developing, building, or testing prototypes or new products, processes, or procedures.",4.A.2.b.4.I03.D14,"Develop technical methods or processes."
17-3026.00,"Industrial Engineering Technologists and Technicians",22025,"Calibrate or adjust equipment to ensure quality production, using tools such as calipers, micrometers, height gauges, protractors, or ring gauges.",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment."
17-3026.00,"Industrial Engineering Technologists and Technicians",22026,"Conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs.",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects."
