onetsoc_code,title,task_id,task,dwa_id,dwa_title
11-3051.00,"Industrial Production Managers",21332,"Conduct site audits to ensure adherence to safety and environmental regulations.",4.A.2.a.3.I02.D03,"Conduct environmental audits."
11-3051.00,"Industrial Production Managers",21333,"Develop or enforce procedures for normal operation of manufacturing systems.",4.A.2.b.2.I14.D01,"Design industrial processing systems."
11-3051.00,"Industrial Production Managers",21333,"Develop or enforce procedures for normal operation of manufacturing systems.",4.A.4.b.4.I12.D01,"Direct operational or production activities."
11-3051.00,"Industrial Production Managers",21334,"Implement operational and emergency procedures.",4.A.4.a.5.I05.D02,"Respond to emergencies to provide assistance."
11-3051.00,"Industrial Production Managers",21335,"Maintain records to demonstrate compliance with safety and environmental laws, regulations, or policies.",4.A.3.b.6.I14.D04,"Maintain regulatory or compliance documentation."
11-3051.00,"Industrial Production Managers",21336,"Monitor permit requirements for updates.",4.A.1.a.2.I08.D03,"Monitor external affairs or events affecting business operations."
11-3051.00,"Industrial Production Managers",21337,"Optimize operational costs and productivity consistent with safety and environmental rules and regulations.",4.A.2.b.1.I09.D06,"Implement design or process improvements."
11-3051.00,"Industrial Production Managers",21338,"Prepare reports on operations and system productivity or efficiency.",4.A.3.b.6.I15.D04,"Prepare operational reports."
11-3051.00,"Industrial Production Managers",21339,"Supervise subordinate employees.",4.A.4.b.4.I01.D13,"Supervise employees."
11-3051.00,"Industrial Production Managers",32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",4.A.4.b.4.I12.D03,"Direct sales, marketing, or customer service activities."
11-3051.00,"Industrial Production Managers",32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",4.A.4.b.4.I12.D39,"Direct organizational operations, projects, or services."
11-3051.00,"Industrial Production Managers",33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",4.A.2.b.1.I03.D04,"Approve expenditures."
11-3051.00,"Industrial Production Managers",33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",4.A.4.b.4.I09.D04,"Prepare operational budgets."
11-3051.00,"Industrial Production Managers",34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities."
11-3051.00,"Industrial Production Managers",35,"Review operations and confer with technical or administrative staff to resolve production or processing problems.",4.A.1.a.2.I02.D05,"Monitor organizational procedures to ensure proper functioning."
11-3051.00,"Industrial Production Managers",35,"Review operations and confer with technical or administrative staff to resolve production or processing problems.",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities."
11-3051.00,"Industrial Production Managers",36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",4.A.2.a.1.I04.D04,"Evaluate employee performance."
11-3051.00,"Industrial Production Managers",36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",4.A.4.b.3.I04.D16,"Conduct employee training programs."
11-3051.00,"Industrial Production Managers",36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",4.A.4.c.2.I01.D03,"Hire personnel."
11-3051.00,"Industrial Production Managers",37,"Initiate or coordinate inventory or cost control programs.",4.A.4.b.4.I08.D03,"Manage control system activities in organizations."
11-3051.00,"Industrial Production Managers",38,"Prepare and maintain production reports or personnel records.",4.A.3.b.6.I08.D10,"Maintain personnel records."
11-3051.00,"Industrial Production Managers",38,"Prepare and maintain production reports or personnel records.",4.A.3.b.6.I15.D06,"Prepare operational progress or status reports."
11-3051.00,"Industrial Production Managers",39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products."
11-3051.00,"Industrial Production Managers",39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures."
11-3051.00,"Industrial Production Managers",40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities."
11-3051.00,"Industrial Production Managers",40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3051.00,"Industrial Production Managers",40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports to detect production problems.",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures."
11-3051.00,"Industrial Production Managers",41,"Review plans and confer with research or support staff to develop new products or processes.",4.A.2.b.2.I07.D02,"Develop specifications for new products or processes."
11-3051.00,"Industrial Production Managers",41,"Review plans and confer with research or support staff to develop new products or processes.",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities."
11-3051.00,"Industrial Production Managers",43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",4.A.4.b.4.I12.D27,"Direct facility maintenance or repair activities."
11-3051.00,"Industrial Production Managers",43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",4.A.4.b.6.I05.D07,"Recommend organizational process or policy changes."
11-3051.00,"Industrial Production Managers",44,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",4.A.2.b.3.I01.D08,"Maintain knowledge of current developments in area of expertise."
11-3051.00,"Industrial Production Managers",45,"Negotiate materials prices with suppliers.",4.A.4.a.7.I02.D01,"Negotiate sales or lease agreements for products or services."
