onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-2112.03,"Manufacturing Engineers",18167,"Apply continuous improvement methods, such as lean manufacturing, to enhance manufacturing quality, reliability, or cost-effectiveness.",4.A.2.b.1.I04.D03,"Determine operational methods."
17-2112.03,"Manufacturing Engineers",18168,"Design layout of equipment or workspaces to achieve maximum efficiency.",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems."
17-2112.03,"Manufacturing Engineers",18170,"Communicate manufacturing capabilities, production schedules, or other information to facilitate production processes.",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans."
17-2112.03,"Manufacturing Engineers",18172,"Design, install, or troubleshoot manufacturing equipment.",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures."
17-2112.03,"Manufacturing Engineers",18172,"Design, install, or troubleshoot manufacturing equipment.",4.A.2.b.2.I14.D03,"Design industrial equipment."
17-2112.03,"Manufacturing Engineers",18172,"Design, install, or troubleshoot manufacturing equipment.",4.A.3.a.2.I20.D04,"Install production equipment or systems."
17-2112.03,"Manufacturing Engineers",18174,"Estimate costs, production times, or staffing requirements for new designs.",4.A.1.b.3.I02.D04,"Estimate operational costs."
17-2112.03,"Manufacturing Engineers",18174,"Estimate costs, production times, or staffing requirements for new designs.",4.A.2.b.1.I08.D01,"Estimate technical or resource requirements for development or production projects."
17-2112.03,"Manufacturing Engineers",18174,"Estimate costs, production times, or staffing requirements for new designs.",4.A.2.b.1.I08.D10,"Estimate time requirements for development or production projects."
17-2112.03,"Manufacturing Engineers",18175,"Evaluate manufactured products according to specifications and quality standards.",4.A.2.a.1.I07.D05,"Assess product or process usefulness."
17-2112.03,"Manufacturing Engineers",18177,"Investigate or resolve operational problems, such as material use variances or bottlenecks.",4.A.2.a.4.I07.D03,"Analyze operational data to evaluate operations, processes or products."
17-2112.03,"Manufacturing Engineers",18177,"Investigate or resolve operational problems, such as material use variances or bottlenecks.",4.A.4.a.7.I03.D02,"Resolve operational performance problems."
17-2112.03,"Manufacturing Engineers",18178,"Prepare documentation for new manufacturing processes or engineering procedures.",4.A.3.b.6.I09.D01,"Prepare procedural documents."
17-2112.03,"Manufacturing Engineers",18179,"Purchase equipment, materials, or parts.",4.A.4.c.3.I05.D03,"Purchase materials, equipment, or other resources."
17-2112.03,"Manufacturing Engineers",18180,"Review product designs for manufacturability or completeness.",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality."
17-2112.03,"Manufacturing Engineers",18181,"Troubleshoot new or existing product problems involving designs, materials, or processes.",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures."
17-2112.03,"Manufacturing Engineers",18182,"Prepare reports summarizing information or trends related to manufacturing performance.",4.A.3.b.6.I15.D04,"Prepare operational reports."
17-2112.03,"Manufacturing Engineers",18183,"Provide technical expertise or support related to manufacturing.",4.A.4.b.6.I04.D01,"Provide technical guidance to other personnel."
17-2112.03,"Manufacturing Engineers",18184,"Read current literature, talk with colleagues, participate in educational programs, attend meetings or workshops, or participate in professional organizations or conferences to keep abreast of developments in the manufacturing field.",4.A.2.b.3.I01.D20,"Update technical knowledge."
17-2112.03,"Manufacturing Engineers",18185,"Supervise technicians, technologists, analysts, administrative staff, or other engineers.",4.A.4.b.4.I01.D05,"Supervise production or support personnel."
17-2112.03,"Manufacturing Engineers",18186,"Train production personnel in new or existing methods.",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures."
17-2112.03,"Manufacturing Engineers",19649,"Analyze the financial impacts of sustainable manufacturing processes or sustainable product manufacturing.",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects."
17-2112.03,"Manufacturing Engineers",19650,"Develop sustainable manufacturing technologies to reduce greenhouse gas emissions, minimize raw material use, replace toxic materials with non-toxic materials, replace non-renewable materials with renewable materials, or reduce waste.",4.A.2.b.2.I14.D01,"Design industrial processing systems."
17-2112.03,"Manufacturing Engineers",19651,"Evaluate current or proposed manufacturing processes or practices for environmental sustainability, considering factors such as greenhouse gas emissions, air pollution, water pollution, energy use, or waste creation.",4.A.1.a.1.I10.D03,"Investigate the environmental impact of projects."
17-2112.03,"Manufacturing Engineers",19652,"Redesign packaging for manufactured products to minimize raw material use or waste.",4.A.2.b.2.I20.D05,"Develop operational methods or processes that use green materials or emphasize sustainability."
17-2112.03,"Manufacturing Engineers",20960,"Identify opportunities or implement changes to improve manufacturing processes or products or to reduce costs, using knowledge of fabrication processes, tooling and production equipment, assembly methods, quality control standards, or product design, materials and parts.",4.A.2.b.1.I09.D06,"Implement design or process improvements."
17-2112.03,"Manufacturing Engineers",20960,"Identify opportunities or implement changes to improve manufacturing processes or products or to reduce costs, using knowledge of fabrication processes, tooling and production equipment, assembly methods, quality control standards, or product design, materials and parts.",4.A.2.b.4.I03.D14,"Develop technical methods or processes."
17-2112.03,"Manufacturing Engineers",20961,"Incorporate new manufacturing methods or processes to improve existing operations.",4.A.2.b.2.I14.D01,"Design industrial processing systems."
17-2112.03,"Manufacturing Engineers",20962,"Determine root causes of failures or recommend changes in designs, tolerances, or processing methods, using statistical procedures.",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures."
17-2112.03,"Manufacturing Engineers",20962,"Determine root causes of failures or recommend changes in designs, tolerances, or processing methods, using statistical procedures.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-2112.03,"Manufacturing Engineers",20963,"Design tests of finished products or process capabilities to establish standards or validate process requirements.",4.A.2.b.2.I23.D01,"Devise research or testing protocols."
