onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-3027.00,"Mechanical Engineering Technologists and Technicians",1474,"Prepare parts sketches and write work orders and purchase requests to be furnished by outside contractors.",4.A.2.b.2.I18.D18,"Create graphical representations of mechanical equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1474,"Prepare parts sketches and write work orders and purchase requests to be furnished by outside contractors.",4.A.3.b.6.I13.D06,"Prepare contracts, disclosures, or applications."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1475,"Draft detail drawing or sketch for drafting room completion or to request parts fabrication by machine, sheet or wood shops.",4.A.2.b.2.I18.D18,"Create graphical representations of mechanical equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1476,"Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign.",4.A.1.a.1.I02.D08,"Review technical documents to plan work."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1477,"Review project instructions and specifications to identify, modify and plan requirements fabrication, assembly and testing.",4.A.1.a.1.I02.D08,"Review technical documents to plan work."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1480,"Set up and conduct tests of complete units and components under operational conditions to investigate proposals for improving equipment performance.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1482,"Analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications.",4.A.2.a.4.I12.D04,"Analyze test or validation data."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1483,"Evaluate tool drawing designs by measuring drawing dimensions and comparing with original specifications for form and function using engineering skills.",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1485,"Calculate required capacities for equipment of proposed system to obtain specified performance and submit data to engineering personnel for approval.",4.A.2.b.1.I08.D01,"Estimate technical or resource requirements for development or production projects."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1486,"Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods.",4.A.3.b.6.I09.D07,"Document design or operational test results."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1487,"Read dials and meters to determine amperage, voltage, electrical output and input at specific operating temperature to analyze parts performance.",4.A.1.a.2.I02.D15,"Monitor the productivity or efficiency of industrial operations."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1488,"Estimate cost factors including labor and material for purchased and fabricated parts and costs for assembly, testing, or installing.",4.A.1.b.3.I02.D04,"Estimate operational costs."
17-3027.00,"Mechanical Engineering Technologists and Technicians",1489,"Set up prototype and test apparatus and operate test controlling equipment to observe and record prototype test results.",4.A.1.b.2.I03.D02,"Test products for functionality or quality."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22070,"Analyze energy requirements and distribution systems to maximize the use of intermittent or inflexible renewable energy sources, such as wind or nuclear.",4.A.2.a.4.I05.D04,"Analyze green technology design requirements."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22071,"Analyze or estimate production costs, such as labor, equipment, and plant space.",4.A.1.b.3.I02.D04,"Estimate operational costs."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22072,"Assemble or disassemble complex mechanical systems.",4.A.3.a.2.I04.D02,"Assemble equipment or components."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22073,"Assist engineers to design, develop, test, or manufacture industrial machinery, consumer products, or other equipment.",4.A.1.b.2.I03.D02,"Test products for functionality or quality."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22073,"Assist engineers to design, develop, test, or manufacture industrial machinery, consumer products, or other equipment.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22073,"Assist engineers to design, develop, test, or manufacture industrial machinery, consumer products, or other equipment.",4.A.2.b.2.I14.D03,"Design industrial equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22074,"Assist mechanical engineers in product testing through activities such as setting up instrumentation for automobile crash tests.",4.A.4.a.2.I02.D03,"Assist engineers or scientists with research."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22075,"Conduct failure analyses, document results, and recommend corrective actions.",4.A.2.a.4.I12.D01,"Conduct quantitative failure analyses of operational data."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22075,"Conduct failure analyses, document results, and recommend corrective actions.",4.A.3.b.6.I09.D07,"Document design or operational test results."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22075,"Conduct failure analyses, document results, and recommend corrective actions.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22076,"Conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs.",4.A.2.a.4.I05.D08,"Analyze costs and benefits of proposed designs or projects."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22077,"Design molds, tools, dies, jigs, or fixtures for use in manufacturing processes.",4.A.2.b.2.I14.D03,"Design industrial equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22078,"Design specialized or customized equipment, machines, or structures.",4.A.2.b.2.I14.D03,"Design industrial equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22079,"Devise, fabricate, or assemble new or modified mechanical components for products such as industrial machinery or equipment, and measuring instruments.",4.A.2.b.2.I14.D03,"Design industrial equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22079,"Devise, fabricate, or assemble new or modified mechanical components for products such as industrial machinery or equipment, and measuring instruments.",4.A.3.a.2.I04.D12,"Assemble mechanical components or machine parts."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22079,"Devise, fabricate, or assemble new or modified mechanical components for products such as industrial machinery or equipment, and measuring instruments.",4.A.3.a.2.I27.D01,"Fabricate devices or components."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22080,"Discuss changes in design, method of manufacture and assembly, or drafting techniques and procedures with staff and coordinate corrections.",4.A.4.a.2.I09.D04,"Collaborate with others to develop or refine designs."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22082,"Interpret engineering sketches, specifications, or drawings.",4.A.4.a.1.I01.D04,"Explain engineering drawings, specifications, or other technical information."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22083,"Prepare equipment inspection schedules, reliability schedules, work plans, or other records.",4.A.2.b.5.I02.D07,"Schedule operational activities."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22084,"Prepare layouts of machinery, tools, plants, or equipment.",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22085,"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",4.A.2.b.2.I18.D18,"Create graphical representations of mechanical equipment."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22085,"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",4.A.3.b.6.I09.D02,"Document technical design details."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22086,"Provide technical support to other employees regarding mechanical design, fabrication, testing, or documentation.",4.A.4.b.6.I04.D01,"Provide technical guidance to other personnel."
17-3027.00,"Mechanical Engineering Technologists and Technicians",22087,"Test machines, components, materials, or products to determine characteristics such as performance, strength, or response to stress.",4.A.1.b.2.I03.D04,"Test characteristics of materials or structures."
17-3027.00,"Mechanical Engineering Technologists and Technicians",23944,"Monitor, inspect, or test mechanical equipment.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
