onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-2141.00,"Mechanical Engineers",1411,"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",4.A.1.a.1.I02.D08,"Review technical documents to plan work."
17-2141.00,"Mechanical Engineers",1412,"Confer with engineers or other personnel to implement operating procedures, resolve system malfunctions, or provide technical information.",4.A.4.a.2.I04.D02,"Confer with other personnel to resolve design or operational problems."
17-2141.00,"Mechanical Engineers",1412,"Confer with engineers or other personnel to implement operating procedures, resolve system malfunctions, or provide technical information.",4.A.4.a.2.I09.D03,"Confer with technical personnel to prepare designs or operational plans."
17-2141.00,"Mechanical Engineers",1413,"Research and analyze customer design proposals, specifications, manuals, or other data to evaluate the feasibility, cost, or maintenance requirements of designs or applications.",4.A.2.a.4.I05.D06,"Analyze design or requirements information for mechanical equipment or systems."
17-2141.00,"Mechanical Engineers",1418,"Provide feedback to design engineers on customer problems or needs.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-2141.00,"Mechanical Engineers",1419,"Oversee installation, operation, maintenance, or repair to ensure that machines or equipment are installed and functioning according to specifications.",4.A.4.b.4.I10.D04,"Direct installation activities."
17-2141.00,"Mechanical Engineers",1419,"Oversee installation, operation, maintenance, or repair to ensure that machines or equipment are installed and functioning according to specifications.",4.A.4.b.4.I12.D04,"Direct equipment maintenance or repair activities."
17-2141.00,"Mechanical Engineers",1420,"Conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
17-2141.00,"Mechanical Engineers",1421,"Recommend design modifications to eliminate machine or system malfunctions.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-2141.00,"Mechanical Engineers",1423,"Develop, coordinate, or monitor all aspects of production, including selection of manufacturing methods, fabrication, or operation of product designs.",4.A.4.b.4.I12.D24,"Direct industrial production activities."
