onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-2199.05,"Mechatronics Engineers",16464,"Publish engineering reports documenting design details or qualification test results.",4.A.3.b.6.I09.D07,"Document design or operational test results."
17-2199.05,"Mechatronics Engineers",16465,"Provide consultation or training on topics such as mechatronics or automated control.",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures."
17-2199.05,"Mechatronics Engineers",16465,"Provide consultation or training on topics such as mechatronics or automated control.",4.A.4.b.6.I04.D01,"Provide technical guidance to other personnel."
17-2199.05,"Mechatronics Engineers",16465,"Provide consultation or training on topics such as mechatronics or automated control.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-2199.05,"Mechatronics Engineers",16466,"Oversee the work of contractors in accordance with project requirements.",4.A.4.b.4.I01.D02,"Supervise engineering or other technical personnel."
17-2199.05,"Mechatronics Engineers",16467,"Create mechanical design documents for parts, assemblies, or finished products.",4.A.2.b.2.I18.D18,"Create graphical representations of mechanical equipment."
17-2199.05,"Mechatronics Engineers",16468,"Maintain technical project files.",4.A.3.b.6.I08.D21,"Maintain operational records or records systems."
17-2199.05,"Mechatronics Engineers",16469,"Analyze existing development or manufacturing procedures and suggest improvements.",4.A.4.b.6.I05.D09,"Recommend technical design or process changes to improve efficiency, quality, or performance."
17-2199.05,"Mechatronics Engineers",16470,"Implement or test design solutions.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
17-2199.05,"Mechatronics Engineers",16470,"Implement or test design solutions.",4.A.2.b.1.I09.D06,"Implement design or process improvements."
17-2199.05,"Mechatronics Engineers",16471,"Research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.",4.A.1.a.1.I20.D02,"Research engineering applications of emerging technologies."
17-2199.05,"Mechatronics Engineers",16471,"Research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.",4.A.2.b.1.I10.D01,"Select tools, equipment, or technologies for use in operations or projects."
17-2199.05,"Mechatronics Engineers",16473,"Design, develop, or implement control circuits or algorithms for electromechanical or pneumatic devices or systems.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.05,"Mechatronics Engineers",16474,"Design engineering systems for the automation of industrial tasks.",4.A.2.b.2.I14.D01,"Design industrial processing systems."
17-2199.05,"Mechatronics Engineers",16475,"Design advanced electronic control systems for mechanical systems.",4.A.2.b.2.I14.D06,"Design control systems for mechanical or other equipment."
17-2199.05,"Mechatronics Engineers",16476,"Create embedded software design programs.",4.A.2.b.2.I02.D01,"Develop software or computer applications."
17-2199.05,"Mechatronics Engineers",16479,"Upgrade the design of existing devices by adding mechatronic elements.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.05,"Mechatronics Engineers",16480,"Develop electronic, mechanical, or computerized processes to perform tasks in dangerous situations, such as underwater exploration or extraterrestrial mining.",4.A.2.b.4.I03.D14,"Develop technical methods or processes."
17-2199.05,"Mechatronics Engineers",16481,"Design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.05,"Mechatronics Engineers",16482,"Design advanced precision equipment for accurate or controlled applications.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.05,"Mechatronics Engineers",16483,"Apply mechatronic or automated solutions to the transfer of materials, components, or finished goods.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.05,"Mechatronics Engineers",19653,"Design or develop automated control systems for environmental applications, such as waste processing, air quality, or water quality systems.",4.A.2.b.2.I16.D04,"Design environmental control systems."
17-2199.05,"Mechatronics Engineers",19654,"Design self-monitoring mechanical systems, such as gear systems that monitor loading or condition of systems to detect and prevent failures.",4.A.2.b.2.I14.D06,"Design control systems for mechanical or other equipment."
17-2199.05,"Mechatronics Engineers",19655,"Monitor or calibrate automated systems, industrial control systems, or system components to maximize efficiency of production.",4.A.1.a.2.I02.D15,"Monitor the productivity or efficiency of industrial operations."
17-2199.05,"Mechatronics Engineers",19655,"Monitor or calibrate automated systems, industrial control systems, or system components to maximize efficiency of production.",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment."
17-2199.05,"Mechatronics Engineers",23946,"Identify materials appropriate for mechatronic system designs.",4.A.2.b.1.I08.D01,"Estimate technical or resource requirements for development or production projects."
17-2199.05,"Mechatronics Engineers",23946,"Identify materials appropriate for mechatronic system designs.",4.A.2.b.1.I10.D02,"Select project materials."
17-2199.05,"Mechatronics Engineers",23947,"Create mechanical models to simulate mechatronic design concepts.",4.A.2.a.4.I05.D06,"Analyze design or requirements information for mechanical equipment or systems."
17-2199.05,"Mechatronics Engineers",23947,"Create mechanical models to simulate mechatronic design concepts.",4.A.2.b.2.I21.D03,"Create physical models or prototypes."
17-2199.05,"Mechatronics Engineers",23948,"Determine the feasibility, costs, or performance benefits of new mechatronic equipment.",4.A.1.b.3.I02.D04,"Estimate operational costs."
