onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-2199.08,"Robotics Engineers",16509,"Supervise technologists, technicians, or other engineers.",4.A.4.b.4.I01.D02,"Supervise engineering or other technical personnel."
17-2199.08,"Robotics Engineers",16510,"Integrate robotics with peripherals, such as welders, controllers, or other equipment.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.08,"Robotics Engineers",16511,"Provide technical support for robotic systems.",4.A.4.b.6.I02.D03,"Advise customers on the use of products or services."
17-2199.08,"Robotics Engineers",16512,"Review or approve designs, calculations, or cost estimates.",4.A.2.a.4.I05.D03,"Evaluate designs or specifications to ensure quality."
17-2199.08,"Robotics Engineers",16513,"Make system device lists or event timing charts.",4.A.3.b.6.I09.D02,"Document technical design details."
17-2199.08,"Robotics Engineers",16514,"Document robotic application development, maintenance, or changes.",4.A.3.b.6.I15.D04,"Prepare operational reports."
17-2199.08,"Robotics Engineers",16515,"Write algorithms or programming code for ad hoc robotic applications.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-2199.08,"Robotics Engineers",16516,"Create back-ups of robot programs or parameters.",4.A.3.b.6.I08.D21,"Maintain operational records or records systems."
17-2199.08,"Robotics Engineers",16517,"Process or interpret signals or sensor data.",4.A.2.a.4.I12.D03,"Interpret design or operational test results."
17-2199.08,"Robotics Engineers",16518,"Plan mobile robot paths and teach path plans to robots.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-2199.08,"Robotics Engineers",16519,"Investigate mechanical failures or unexpected maintenance problems.",4.A.1.a.1.I22.D01,"Investigate system, equipment, or product failures."
17-2199.08,"Robotics Engineers",16520,"Install, calibrate, operate, or maintain robots.",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment."
17-2199.08,"Robotics Engineers",16520,"Install, calibrate, operate, or maintain robots.",4.A.3.a.2.I20.D04,"Install production equipment or systems."
17-2199.08,"Robotics Engineers",16520,"Install, calibrate, operate, or maintain robots.",4.A.3.a.3.I06.D13,"Operate industrial equipment."
17-2199.08,"Robotics Engineers",16521,"Debug robotics programs.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-2199.08,"Robotics Engineers",16522,"Design end-of-arm tooling.",4.A.2.b.2.I14.D03,"Design industrial equipment."
17-2199.08,"Robotics Engineers",16523,"Conduct research on robotic technology to create new robotic systems or system capabilities.",4.A.1.a.1.I20.D05,"Research advanced engineering designs or applications."
17-2199.08,"Robotics Engineers",16524,"Automate assays on laboratory robotics.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-2199.08,"Robotics Engineers",16525,"Conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions.",4.A.1.a.1.I20.D05,"Research advanced engineering designs or applications."
17-2199.08,"Robotics Engineers",16527,"Design automated robotic systems to increase production volume or precision in high-throughput operations, such as automated ribonucleic acid (RNA) analysis or sorting, moving, or stacking production materials.",4.A.2.b.2.I14.D01,"Design industrial processing systems."
17-2199.08,"Robotics Engineers",16528,"Design software to control robotic systems for applications, such as military defense or manufacturing.",4.A.2.b.2.I02.D01,"Develop software or computer applications."
17-2199.08,"Robotics Engineers",16530,"Design robotic systems, such as automatic vehicle control, autonomous vehicles, advanced displays, advanced sensing, robotic platforms, computer vision, or telematics systems.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.08,"Robotics Engineers",19667,"Design or program robotics systems for environmental clean-up applications to minimize human exposure to toxic or hazardous materials or to improve the quality or speed of clean-up operations.",4.A.2.b.2.I20.D05,"Develop operational methods or processes that use green materials or emphasize sustainability."
17-2199.08,"Robotics Engineers",19668,"Design robotics applications for manufacturers of green products, such as wind turbines or solar panels, to increase production time, eliminate waste, or reduce costs.",4.A.2.b.2.I14.D01,"Design industrial processing systems."
17-2199.08,"Robotics Engineers",21057,"Build, configure, or test robots or robotic applications.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
17-2199.08,"Robotics Engineers",21057,"Build, configure, or test robots or robotic applications.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-2199.08,"Robotics Engineers",21057,"Build, configure, or test robots or robotic applications.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-2199.08,"Robotics Engineers",21058,"Evaluate robotic systems or prototypes.",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems."
