onetsoc_code,title,task_id,task,dwa_id,dwa_title
17-3024.01,"Robotics Technicians",16576,"Train customers or other personnel to install, use, or maintain robots.",4.A.4.b.3.I04.D02,"Train personnel on proper operational procedures."
17-3024.01,"Robotics Technicians",16577,"Program complex robotic systems, such as vision systems.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-3024.01,"Robotics Technicians",16579,"Maintain service records of robotic equipment or automated production systems.",4.A.3.b.6.I08.D21,"Maintain operational records or records systems."
17-3024.01,"Robotics Technicians",16580,"Fabricate housings, jigs, fittings, or fixtures, using metalworking machines.",4.A.3.a.2.I27.D03,"Fabricate products or components using machine tools."
17-3024.01,"Robotics Technicians",16581,"Document robotics test procedures and results.",4.A.3.b.6.I09.D01,"Prepare procedural documents."
17-3024.01,"Robotics Technicians",16581,"Document robotics test procedures and results.",4.A.3.b.6.I09.D07,"Document design or operational test results."
17-3024.01,"Robotics Technicians",16582,"Develop three-dimensional simulations of automation systems.",4.A.2.b.2.I18.D21,"Create graphical representations of industrial production systems."
17-3024.01,"Robotics Technicians",16583,"Inspect installation sites.",4.A.1.b.2.I05.D12,"Inspect facilities or sites to determine if they meet specifications or standards."
17-3024.01,"Robotics Technicians",16584,"Modify computer-controlled robot movements.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-3024.01,"Robotics Technicians",16585,"Develop robotic path motions to maximize efficiency, safety, and quality.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-3024.01,"Robotics Technicians",16586,"Attach wires between controllers.",4.A.3.a.2.I04.D02,"Assemble equipment or components."
17-3024.01,"Robotics Technicians",16587,"Assist engineers in the design, configuration, or application of robotic systems.",4.A.2.b.2.I24.D01,"Design electromechanical equipment or systems."
17-3024.01,"Robotics Technicians",16588,"Align, fit, or assemble components, using hand tools, power tools, fixtures, templates, or microscopes.",4.A.3.a.2.I04.D02,"Assemble equipment or components."
17-3024.01,"Robotics Technicians",16589,"Troubleshoot robotic systems, using knowledge of microprocessors, programmable controllers, electronics, circuit analysis, mechanics, sensor or feedback systems, hydraulics, or pneumatics.",4.A.2.b.1.I02.D01,"Determine causes of operational problems or failures."
17-3024.01,"Robotics Technicians",16590,"Train robots, using artificial intelligence software or interactive training techniques, to perform simple or complex tasks, such as designing and carrying out a series of iterative tests of chemical samples.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-3024.01,"Robotics Technicians",16591,"Test performance of robotic assemblies, using instruments such as oscilloscopes, electronic voltmeters, or bridges.",4.A.1.b.2.I12.D02,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
17-3024.01,"Robotics Technicians",16592,"Perform preventive or corrective maintenance on robotic systems or components.",4.A.3.b.4.I02.D18,"Maintain electromechanical equipment."
17-3024.01,"Robotics Technicians",16593,"Install, program, or repair programmable controllers, robot controllers, end-of-arm tools, or conveyors.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-3024.01,"Robotics Technicians",16593,"Install, program, or repair programmable controllers, robot controllers, end-of-arm tools, or conveyors.",4.A.3.b.4.I02.D18,"Maintain electromechanical equipment."
17-3024.01,"Robotics Technicians",16594,"Install new robotic systems in stationary positions or on tracks.",4.A.3.a.2.I20.D04,"Install production equipment or systems."
17-3024.01,"Robotics Technicians",16596,"Build or assemble robotic devices or systems.",4.A.3.a.2.I04.D02,"Assemble equipment or components."
17-3024.01,"Robotics Technicians",19684,"Evaluate the efficiency and reliability of industrial robotic systems, reprogramming or calibrating to achieve maximum quantity and quality.",4.A.2.a.1.I07.D07,"Evaluate characteristics of equipment or systems."
17-3024.01,"Robotics Technicians",19684,"Evaluate the efficiency and reliability of industrial robotic systems, reprogramming or calibrating to achieve maximum quantity and quality.",4.A.3.a.2.I09.D04,"Calibrate scientific or technical equipment."
17-3024.01,"Robotics Technicians",19684,"Evaluate the efficiency and reliability of industrial robotic systems, reprogramming or calibrating to achieve maximum quantity and quality.",4.A.3.b.1.I01.D04,"Program robotic equipment."
17-3024.01,"Robotics Technicians",19685,"Operate robots to perform customized tasks, such as environmental cleanup or explosive detection operations.",4.A.3.a.3.I06.D13,"Operate industrial equipment."
17-3024.01,"Robotics Technicians",21059,"Make repairs to robots or peripheral equipment, such as replacement of defective circuit boards, sensors, controllers, encoders, or servomotors.",4.A.3.a.2.I04.D02,"Assemble equipment or components."
17-3024.01,"Robotics Technicians",21059,"Make repairs to robots or peripheral equipment, such as replacement of defective circuit boards, sensors, controllers, encoders, or servomotors.",4.A.3.b.4.I02.D18,"Maintain electromechanical equipment."
17-3024.01,"Robotics Technicians",21059,"Make repairs to robots or peripheral equipment, such as replacement of defective circuit boards, sensors, controllers, encoders, or servomotors.",4.A.3.b.4.I03.D03,"Repair electronic equipment."
17-3024.01,"Robotics Technicians",21060,"Maintain inventories of robotic production supplies, such as sensors or cables.",4.A.4.c.3.I01.D05,"Maintain inventories of materials, equipment, or products."
