onetsoc_code,title,task_id,task,dwa_id,dwa_title
11-3071.04,"Supply Chain Managers",15680,"Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.",4.A.2.b.1.I09.D02,"Implement transportation changes to reduce environmental impact."
11-3071.04,"Supply Chain Managers",15681,"Diagram supply chain models to help facilitate discussions with customers.",4.A.3.b.6.I08.D30,"Document organizational or operational procedures."
11-3071.04,"Supply Chain Managers",15685,"Negotiate prices and terms with suppliers, vendors, or freight forwarders.",4.A.4.a.7.I02.D04,"Negotiate contracts for transportation, distribution, or logistics services."
11-3071.04,"Supply Chain Managers",15688,"Meet with suppliers to discuss performance metrics, to provide performance feedback, or to discuss production forecasts or changes.",4.A.4.a.2.I11.D04,"Coordinate with external parties to exchange information."
11-3071.04,"Supply Chain Managers",15691,"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",4.A.3.b.6.I08.D30,"Document organizational or operational procedures."
11-3071.04,"Supply Chain Managers",15692,"Develop or implement procedures or systems to evaluate or select suppliers.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3071.04,"Supply Chain Managers",15692,"Develop or implement procedures or systems to evaluate or select suppliers.",4.A.2.b.4.I03.D13,"Develop procedures to evaluate organizational activities."
11-3071.04,"Supply Chain Managers",15693,"Design or implement plant warehousing strategies for production materials or finished products.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3071.04,"Supply Chain Managers",15693,"Design or implement plant warehousing strategies for production materials or finished products.",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures."
11-3071.04,"Supply Chain Managers",15694,"Confer with supply chain planners to forecast demand or create supply plans that ensure availability of materials or products.",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities."
11-3071.04,"Supply Chain Managers",15695,"Define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality.",4.A.2.b.2.I27.D02,"Develop organizational goals or objectives."
11-3071.04,"Supply Chain Managers",15695,"Define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality.",4.A.2.b.4.I03.D13,"Develop procedures to evaluate organizational activities."
11-3071.04,"Supply Chain Managers",15696,"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",4.A.2.a.4.I07.D12,"Analyze data to inform operational decisions or activities."
11-3071.04,"Supply Chain Managers",15697,"Analyze information about supplier performance or procurement program success.",4.A.2.a.4.I07.D09,"Analyze data to assess operational or project effectiveness."
11-3071.04,"Supply Chain Managers",15698,"Participate in the coordination of engineering changes, product line extensions, or new product launches to ensure orderly and timely transitions in material or production flow.",4.A.4.b.4.I12.D12,"Manage operations, research, or logistics projects."
11-3071.04,"Supply Chain Managers",15700,"Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.",4.A.2.b.4.I01.D02,"Develop operating strategies, plans, or procedures."
11-3071.04,"Supply Chain Managers",15701,"Design or implement supply chains that support business strategies adapted to changing market conditions, new business opportunities, or cost reduction strategies.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3071.04,"Supply Chain Managers",15701,"Design or implement supply chains that support business strategies adapted to changing market conditions, new business opportunities, or cost reduction strategies.",4.A.2.b.4.I01.D04,"Develop organizational methods or procedures."
11-3071.04,"Supply Chain Managers",19539,"Conduct or oversee the conduct of life cycle analyses to determine the environmental impacts of products, processes, or systems.",4.A.1.a.1.I10.D07,"Evaluate environmental impact of operational or development activities."
11-3071.04,"Supply Chain Managers",19540,"Design or implement supply chains that support environmental policies.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3071.04,"Supply Chain Managers",19540,"Design or implement supply chains that support environmental policies.",4.A.2.b.2.I20.D03,"Develop sustainable organizational policies or practices."
11-3071.04,"Supply Chain Managers",19541,"Design, implement, or oversee product take back or reverse logistics programs to ensure products are recycled, reused, or responsibly disposed.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3071.04,"Supply Chain Managers",19541,"Design, implement, or oversee product take back or reverse logistics programs to ensure products are recycled, reused, or responsibly disposed.",4.A.2.b.2.I20.D03,"Develop sustainable organizational policies or practices."
11-3071.04,"Supply Chain Managers",19542,"Evaluate and select information or other technology solutions to improve tracking and reporting of materials or products distribution, storage, or inventory.",4.A.2.a.1.I05.D03,"Evaluate quality of materials or products."
11-3071.04,"Supply Chain Managers",19542,"Evaluate and select information or other technology solutions to improve tracking and reporting of materials or products distribution, storage, or inventory.",4.A.2.b.2.I20.D03,"Develop sustainable organizational policies or practices."
11-3071.04,"Supply Chain Managers",19543,"Identify opportunities to reuse or recycle materials to minimize consumption of new materials, minimize waste, or to convert wastes to by-products.",4.A.1.b.1.I02.D01,"Identify opportunities for green initiatives."
11-3071.04,"Supply Chain Managers",19544,"Investigate or review the carbon footprints and environmental performance records of current or potential storage and distribution service providers.",4.A.1.a.1.I10.D07,"Evaluate environmental impact of operational or development activities."
11-3071.04,"Supply Chain Managers",19545,"Locate or select biodegradable, non-toxic, or other environmentally friendly raw materials for manufacturing processes.",4.A.1.b.1.I02.D01,"Identify opportunities for green initiatives."
11-3071.04,"Supply Chain Managers",19546,"Review or update supply chain practices in accordance with new or changing environmental policies, standards, regulations, or laws.",4.A.2.b.1.I09.D01,"Implement organizational process or policy changes."
11-3071.04,"Supply Chain Managers",20942,"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",4.A.2.b.1.I08.D03,"Estimate labor requirements."
11-3071.04,"Supply Chain Managers",20942,"Determine appropriate equipment and staffing levels to load, unload, move, or store materials.",4.A.2.b.1.I08.D08,"Estimate cost or material requirements."
11-3071.04,"Supply Chain Managers",20943,"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",4.A.4.c.3.I01.D03,"Manage inventories of products or organizational resources."
11-3071.04,"Supply Chain Managers",20944,"Implement new or improved supply chain processes to improve efficiency or performance.",4.A.4.b.4.I12.D12,"Manage operations, research, or logistics projects."
11-3071.04,"Supply Chain Managers",20945,"Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.",4.A.1.a.2.I06.D01,"Monitor performance of organizational members or partners."
11-3071.04,"Supply Chain Managers",20946,"Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.",4.A.1.a.2.I08.D03,"Monitor external affairs or events affecting business operations."
11-3071.04,"Supply Chain Managers",20947,"Identify or qualify new suppliers in collaboration with other departments, such as procurement, engineering, or quality assurance.",4.A.4.a.2.I03.D14,"Confer with organizational members to accomplish work activities."
11-3071.04,"Supply Chain Managers",20948,"Forecast material costs or develop standard cost lists.",4.A.2.b.1.I08.D08,"Estimate cost or material requirements."
11-3071.04,"Supply Chain Managers",20949,"Appraise vendor manufacturing capabilities through on-site observations or other measurements.",4.A.2.a.1.I07.D03,"Evaluate potential of products, technologies, or resources."
