title,dwa_title
Automotive Engineers,Update technical knowledge.
Automotive Engineers,Determine operational criteria or specifications.
Automotive Engineers,Prepare operational reports.
Automotive Engineers,Implement design or process improvements.
Automotive Engineers,Develop technical methods or processes.
Automotive Engineers,Prepare technical reports for internal use.
Automotive Engineers,Maintain operational records or records systems.
Automotive Engineers,Research advanced engineering designs or applications.
Automotive Engineers,"Coordinate activities with suppliers, contractors, clients, or other departments."
Automotive Engineers,Provide technical guidance to other personnel.
Automotive Engineers,Conduct quantitative failure analyses of operational data.
Automotive Engineers,Determine design criteria or specifications.
Automotive Engineers,Estimate operational costs.
Automotive Engineers,Determine design criteria or specifications.
Automotive Engineers,Devise research or testing protocols.
Automotive Engineers,Evaluate technical data to determine effect on designs or plans.
Automotive Engineers,Calibrate scientific or technical equipment.
Automotive Engineers,Create models of engineering designs or methods.
Automotive Engineers,Design electromechanical equipment or systems.
Automotive Engineers,Evaluate characteristics of equipment or systems.
Automotive Engineers,Design electromechanical equipment or systems.
Automotive Engineers,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
Automotive Engineers,Direct design or development activities.
Automotive Engineers,Design control systems for mechanical or other equipment.
Automotive Engineers,Design energy-efficient vehicles or vehicle components.
Automotive Engineers,Design energy-efficient vehicles or vehicle components.
Automotive Engineers,Design energy-efficient vehicles or vehicle components.
Automotive Engineers,Determine design criteria or specifications.
Automotive Engineers,Research advanced engineering designs or applications.
Automotive Engineers,Research design or application of green technologies.
Manufacturing Engineers,Determine operational methods.
Manufacturing Engineers,Create graphical representations of industrial production systems.
Manufacturing Engineers,Confer with technical personnel to prepare designs or operational plans.
Manufacturing Engineers,Determine causes of operational problems or failures.
Manufacturing Engineers,Design industrial equipment.
Manufacturing Engineers,Install production equipment or systems.
Manufacturing Engineers,Estimate operational costs.
Manufacturing Engineers,Estimate technical or resource requirements for development or production projects.
Manufacturing Engineers,Estimate time requirements for development or production projects.
Manufacturing Engineers,Assess product or process usefulness.
Manufacturing Engineers,"Analyze operational data to evaluate operations, processes or products."
Manufacturing Engineers,Resolve operational performance problems.
Manufacturing Engineers,Prepare procedural documents.
Manufacturing Engineers,"Purchase materials, equipment, or other resources."
Manufacturing Engineers,Evaluate designs or specifications to ensure quality.
Manufacturing Engineers,Determine causes of operational problems or failures.
Manufacturing Engineers,Prepare operational reports.
Manufacturing Engineers,Provide technical guidance to other personnel.
Manufacturing Engineers,Update technical knowledge.
Manufacturing Engineers,Supervise production or support personnel.
Manufacturing Engineers,Train personnel on proper operational procedures.
Manufacturing Engineers,Analyze costs and benefits of proposed designs or projects.
Manufacturing Engineers,Design industrial processing systems.
Manufacturing Engineers,Investigate the environmental impact of projects.
Manufacturing Engineers,Develop operational methods or processes that use green materials or emphasize sustainability.
Manufacturing Engineers,Implement design or process improvements.
Manufacturing Engineers,Develop technical methods or processes.
Manufacturing Engineers,Design industrial processing systems.
Manufacturing Engineers,Determine causes of operational problems or failures.
Manufacturing Engineers,"Recommend technical design or process changes to improve efficiency, quality, or performance."
Manufacturing Engineers,Devise research or testing protocols.
Bioengineers and Biomedical Engineers,Train personnel on proper operational procedures.
Bioengineers and Biomedical Engineers,Prepare procedural documents.
Bioengineers and Biomedical Engineers,"Recommend technical design or process changes to improve efficiency, quality, or performance."
Bioengineers and Biomedical Engineers,Confer with technical personnel to prepare designs or operational plans.
Bioengineers and Biomedical Engineers,"Communicate technical information to suppliers, contractors, or regulatory agencies."
