q_idx,missing_pos_id
0,e9b74766edff
0,bf9b319f230f
1,948d1f30a0fa
1,0c3e5c7f3c75
2,66fe44b4fefa
2,a96098f6c7a8
3,11a7a5d55a91
3,d9855438ae33
4,e60a652c0c30
4,4fee59e1593e
5,d8cc89ea7c7f
5,1b5ccb54e2a7
6,5d554bc5f3d2
7,cb43f67955db
7,966cd618091d
10,b097340fc897
11,f1344be432ed
17,ac79098e2790
18,6af8ce579757
45,f2efeea27410
150,a3d51b184318
150,c3a7f01ec4d8
56,ca6117ea05ac
158,cbfb2fae0fb5
158,ee4c582ea4cf
22,6822a076bcdc
22,b0c3695dbca5
24,a633d2f5670e
24,cdccc9909802
131,e7376168da13
131,a269083067d8
174,af64042459da
186,c538af615e86
186,2fc25984711e
23,d5543f5402aa
23,ab3b66f24ad9
30,241f0bc96df2
31,e971ba7ddc85
31,ecb4a2b5f0d9
35,2bf6a78010f9
35,bcda8539ae90
36,b533dbad15df
36,36ebd3a61503
67,88303ab448fe
67,a4eb6e826bda
60,205d64ff9b58
112,ec658754cf27
108,14936b3ee32f
20,2d77c69cd997
20,bf7260cb8678
72,4becab71a8fa
187,62506be34d57
190,b54736456520
52,94f3c42259fb
155,24817736836a
51,ff91e5a07d45
172,d8ed544e2272
172,46f86faa6bbf
39,c05f6c233521
59,1deda399136a
203,b4b65dd80416
203,8e4d0a700359
178,4faf806bf7de
121,5ea97cc0076e
25,13b806836f86
26,7dd99b8b52cd
26,55eefefd8307
28,02d9739e2d83
28,8ae65227e23c
32,13785ae146a1
32,2fa81bcbcae8
33,1b6f29f96686
33,8121f0ee7677
37,c30ebd0088ed
38,21fdcf45e55f
38,78631aa89d4e
42,32756aab54ad
42,0cd7d0305380
43,8e961a62908c
53,af4e4e4c03d7
53,dbbd592a2319
49,3893cbb4049e
49,77bb92ac8bda
41,0536dfcb9bba
41,f113b0022b54
44,db0984f51ac5
44,9c9d0d864b1c
46,b76fc4fc73f8
46,6c7a4bf54759
86,6a85e9004fc5
86,765277df1294
87,c42ea18ff73d
54,e09245effc62
54,bb12a82d8dc0
55,bf4c259437e1
101,5371441504ea
101,93aa88d53279
201,3c87def9324a
74,b586590b0fe9
74,f0ad7971f1ce
154,23f7245fccee
159,54e8c9a3cca8
159,7e243ce316f8
132,385212acc665
132,40288309aa1d
98,425785ffe51d
98,ef889e43eeed
220,cefdec315735
220,1b45811985d9
