model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.0083909511566163,0.49103808403015137,3.2887485027313232,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.5754302144050598,0.24469280242919922,0.9199404716491699,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,3,0.46038808226585387,0.20079709589481354,0.49784791469573975,0.0,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1532,5a51b1832006,4,0.465969043970108,0.42883962392807007,2.690660238265991,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1207,cde3daee3654,5,0.45447399020195006,0.4107245206832886,2.5164690017700195,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,789,0185cf91ab80,6,0.4720863401889801,0.23828482627868652,0.8583226203918457,0.0,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4394,3110ca79819b,7,0.467697936296463,0.41862940788269043,2.5924808979034424,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1891,50173787ddd0,8,0.5774057388305665,0.5461413860321045,3.8186111450195312,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3127,1df2bc055e00,9,0.4622486412525177,0.4219158887863159,2.6240830421447754,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,5200,df29e1beb2ab,10,0.44842382073402404,0.41037094593048096,2.5130691528320312,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0686338424682618,0.5178601741790771,4.811087608337402,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.947798240184784,0.48066186904907227,4.361941337585449,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,3,0.6838086724281311,0.35268634557724,2.8167176246643066,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.795449185371399,0.47521519660949707,4.296176433563232,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,5,0.4205739676952362,0.36902523040771484,3.0139994621276855,0.0,1.0,0.0,1
