model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.3383949947357179,0.8426713943481445,3.6782193183898926,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,2,1.101382727622986,0.7810699939727783,1.3048959970474243,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,3,1.0281952619552612,0.7387539148330688,-0.32541969418525696,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4073,9a99b459aa08,4,1.0980154824256898,0.7894152402877808,1.626414179801941,0.0,1.0,0.36591723561286926,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4203,e223a6935cb5,5,0.9487237286567688,0.7670775651931763,0.7658083438873291,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3890,1a65db798a29,6,0.9562004160881042,0.7749477624893188,1.0690242052078247,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4092,13573f8171ba,7,0.9489085030555725,0.7672721147537231,0.7733038067817688,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4420,6bc76a3eb886,8,0.9401569366455078,0.7463321089744568,-0.033453866839408875,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1274,1a56873afe24,9,0.9424115371704102,0.7754707932472229,1.0891751050949097,0.0,0.8571428656578064,0.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,10,0.9465752840042114,0.7530882358551025,0.2268400937318802,0.0,0.7142857313156128,0.45632249116897583,0
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.4104200553894044,0.884652853012085,4.9232258796691895,0.3333333432674408,0.5,1.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.3432543230056764,0.8612399697303772,4.063077449798584,0.25,0.75,0.8359322547912598,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,3,1.1711258840560914,0.8340372443199158,3.06369686126709,0.1666666716337204,0.5714285969734192,0.5047074556350708,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,1.2050079059600831,0.8429921865463257,3.392685890197754,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,5,1.2958898496627809,0.8363687992095947,3.1493542194366455,0.20000000298023224,1.0,0.7181130647659302,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,6,1.1736190271377565,0.8061919212341309,2.040708303451538,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,7,1.208157892227173,0.8425486087799072,3.376389503479004,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,4310,506583358173,8,1.1453283977508546,0.8106414675712585,2.204176902770996,0.1428571492433548,0.5714285969734192,0.5047074556350708,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,233,81861c829fa0,9,0.9809070777893066,0.8009548187255859,1.84830641746521,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,1,06d678da6c8d,prepare procedural documents,3848,1e481416071f,10,0.9815930676460266,0.801676869392395,1.8748332262039185,0.0,1.0,0.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.3421646308898927,0.8586888909339905,3.648521900177002,0.2222222238779068,0.23076923191547394,1.0,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3310,1b5b70c37d4d,2,1.2310397577285768,0.794519305229187,1.6196633577346802,0.10000000149011612,0.23076923191547394,0.9090558886528015,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4045,3837c62f004b,3,1.1743278455734254,0.7871891260147095,1.3879040479660034,0.0833333358168602,0.38461539149284363,0.730104386806488,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,4,1.213355417251587,0.7906153798103333,1.4962323904037476,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4130,a7c4c4994d02,5,1.220607991218567,0.8686175346374512,3.962437152862549,0.10000000149011612,0.23076923191547394,0.6781270503997803,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1337,284a65d8619b,6,1.1495536518096925,0.8062349557876587,1.9900786876678467,0.0,0.9230769276618958,0.4894934892654419,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4450,58319ec211bf,7,1.0900264930725099,0.8113501667976379,2.1518070697784424,0.07692307978868484,0.5384615659713745,0.38245493173599243,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,8,1.2414851140975953,0.8202255964279175,2.432422637939453,0.10000000149011612,0.23076923191547394,0.8691253662109375,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4453,d9ea7797e0d6,9,1.1730805587768556,0.8247010111808777,2.5739223957061768,0.0714285746216774,0.7692307829856873,0.519934892654419,1
sentence-transformers/sentence-t5-base,G_mnn_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3567,b9a61efec89c,10,1.1120693039894105,0.842525839805603,3.1374924182891846,0.0714285746216774,0.692307710647583,0.319213330745697,1
