model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries
embedding-data/deberta-sentence-transformer,A_semantic_only,1,0.0,0.0,0.0,0.0,0.0,0.0047619047619047615,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,3,0.0,0.0,0.0,0.0,0.0,0.0047619047619047615,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,5,0.0,0.0,0.0,0.0,0.0,0.0047619047619047615,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,10,0.003488372093023256,0.01744186046511628,0.005813953488372093,0.006977082804543001,0.0023809523809523807,0.0047619047619047615,0.03488372093023256,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,1,0.11627906976744186,0.05813953488372093,0.07751937984496124,0.11627906976744186,0.11627906976744186,0.1937153931339978,0.11627906976744186,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,3,0.08914728682170542,0.13953488372093023,0.10813953488372095,0.12887812237945687,0.09980620155038758,0.1937153931339978,0.2441860465116279,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,5,0.06511627906976745,0.1686046511627907,0.09357696566998895,0.1432935803265856,0.10620155038759689,0.1937153931339978,0.3023255813953488,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,10,0.04186046511627907,0.21511627906976744,0.06994362226920368,0.1620973385321535,0.1159468438538206,0.1937153931339978,0.3488372093023256,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,1,0.16279069767441862,0.08139534883720931,0.10852713178294572,0.16279069767441862,0.16279069767441862,0.23123385012919895,0.16279069767441862,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,3,0.10077519379844961,0.1569767441860465,0.12209302325581398,0.15289830800535562,0.11724806201550386,0.23123385012919895,0.29069767441860467,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,5,0.06976744186046513,0.18023255813953487,0.10022148394241419,0.16424320638768677,0.12335271317829459,0.23123385012919895,0.32558139534883723,1.0,86
embedding-data/deberta-sentence-transformer,C_lex_sem_strong,10,0.04302325581395349,0.22093023255813954,0.07188160676532772,0.1804044280391167,0.13287882982650426,0.23123385012919895,0.3488372093023256,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,1,0.1511627906976744,0.0755813953488372,0.10077519379844961,0.1511627906976744,0.1511627906976744,0.21976282761166482,0.1511627906976744,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,3,0.10077519379844961,0.1569767441860465,0.12209302325581395,0.15026697794104263,0.11918604651162791,0.21976282761166482,0.26744186046511625,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,5,0.06976744186046513,0.18023255813953487,0.10022148394241419,0.16129942969775407,0.125,0.21976282761166482,0.3023255813953488,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,10,0.04418604651162791,0.23255813953488372,0.0739957716701903,0.18091247106378172,0.13402085640457734,0.21976282761166482,0.36046511627906974,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,1,0.11627906976744186,0.05813953488372093,0.07751937984496124,0.11627906976744186,0.11627906976744186,0.1875138427464009,0.11627906976744186,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,3,0.10077519379844961,0.1569767441860465,0.12209302325581395,0.14237298774810367,0.11724806201550386,0.1875138427464009,0.2441860465116279,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,5,0.06976744186046512,0.18023255813953487,0.10022148394241422,0.15403033275605452,0.12393410852713178,0.1875138427464009,0.27906976744186046,1.0,86
embedding-data/deberta-sentence-transformer,E_diversity,10,0.04534883720930233,0.23255813953488372,0.07575757575757577,0.17492702531835408,0.13535437430786265,0.1875138427464009,0.313953488372093,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,1,0.10465116279069768,0.05232558139534884,0.06976744186046512,0.10465116279069768,0.10465116279069768,0.16973052787006274,0.10465116279069768,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,3,0.07364341085271317,0.12209302325581395,0.09069767441860466,0.11202522171340625,0.08430232558139535,0.16973052787006274,0.22093023255813954,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,5,0.04883720930232558,0.13372093023255813,0.070874861572536,0.11816634084300137,0.08866279069767442,0.16973052787006274,0.23255813953488372,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,10,0.033720930232558136,0.18604651162790697,0.05673009161381255,0.1375256995535965,0.09610557401255077,0.16973052787006274,0.313953488372093,1.0,86
embedding-data/deberta-sentence-transformer,G_mnn_heavy,1,0.09302325581395349,0.046511627906976744,0.06201550387596899,0.09302325581395349,0.09302325581395349,0.16511627906976745,0.09302325581395349,1.0,86
embedding-data/deberta-sentence-transformer,G_mnn_heavy,3,0.0813953488372093,0.12209302325581395,0.09767441860465116,0.11271426050717757,0.08914728682170542,0.16511627906976745,0.20930232558139536,1.0,86
embedding-data/deberta-sentence-transformer,G_mnn_heavy,5,0.06046511627906977,0.1511627906976744,0.08637873754152825,0.12712971845430632,0.09670542635658914,0.16511627906976745,0.2558139534883721,1.0,86
embedding-data/deberta-sentence-transformer,G_mnn_heavy,10,0.038372093023255824,0.19767441860465115,0.06412966878083158,0.1439844820250208,0.10355297157622738,0.16511627906976745,0.313953488372093,1.0,86
