model,preset,thr,precision,recall,f1,coverage,queries
embedding-data/deberta-sentence-transformer,A_semantic_only,-1.0,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.95,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.9,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.85,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.8,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.75,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.7,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.6499999999999999,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.6,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.55,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.5,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.44999999999999996,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.3999999999999999,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.35,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.29999999999999993,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.25,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.19999999999999996,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.1499999999999999,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.09999999999999998,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,-0.04999999999999993,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.0,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.050000000000000044,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.10000000000000009,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.15000000000000013,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.20000000000000018,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.25,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.30000000000000004,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.3500000000000001,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.40000000000000013,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.4500000000000002,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.5,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.55,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.6000000000000001,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.6500000000000001,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.7000000000000002,0.0,0.0,0.0,1.0,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.75,0.0,0.0,0.0,0.9883720930232558,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.8,0.0,0.0,0.0,0.9069767441860465,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.8500000000000001,0.0,0.0,0.0,0.7441860465116279,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.9000000000000001,0.0,0.0,0.0,0.5,86
embedding-data/deberta-sentence-transformer,A_semantic_only,0.9500000000000002,0.0,0.0,0.0,0.1744186046511628,86
embedding-data/deberta-sentence-transformer,A_semantic_only,1.0,0.0,0.0,0.0,0.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-1.0,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.95,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.9,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.85,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.8,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.75,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.7,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.6499999999999999,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.6,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.55,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.5,0.11627906976744186,1.0,0.20833333333333334,1.0,86
embedding-data/deberta-sentence-transformer,B_hybrid_light,-0.44999999999999996,0.11627906976744186,1.0,0.20833333333333334,1.0,86
