model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,1,1.0380405187606812,0.8339077234268188,1.9068517684936523,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,1692,31d24bb1ddd1,2,0.8754928112030029,0.8317428231239319,1.8877025842666626,0.0,0.875,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,501,7e5e0cba4215,3,0.8793562054634094,0.8436419367790222,1.992954134941101,0.0,0.7142857313156128,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,3782,0d6b3a3f8dee,4,0.9091467261314392,0.7939053177833557,1.5530171394348145,0.0,0.7777777910232544,0.3054102659225464,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,4994,a86a05ff465e,5,0.8987560868263245,0.8598672151565552,2.136472225189209,0.0,0.7777777910232544,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,6,0.9643480181694031,0.6762527823448181,0.5123410820960999,0.1666666716337204,0.4285714328289032,1.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,7,0.8794141411781311,0.7641726732254028,1.2900220155715942,0.0,0.7777777910232544,0.3054102659225464,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,4507,4308d262ba90,8,0.8795347213745117,0.8366775512695312,1.931351900100708,0.0,0.8571428656578064,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,5127,afe8fed27705,9,0.8816753625869751,0.8388181924819946,1.9502865076065063,0.0,0.8571428656578064,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,0,d52ebdd6c51c,train personnel on proper operational procedures,4392,3a094fbefb49,10,0.9033924341201782,0.8605352640151978,2.142381429672241,0.0,0.8571428656578064,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,1,1.2407259941101074,0.9692428708076477,0.9995666146278381,0.25,0.75,0.8359322547912598,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,4310,506583358173,2,1.0332947969436646,0.8642607927322388,0.1665257066488266,0.1428571492433548,0.5714285969734192,0.5047074556350708,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,3,1.0290021896362305,0.8413331508636475,-0.015406915917992592,0.1428571492433548,0.6666666865348816,0.560200035572052,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,4,1.0830779075622559,0.8930279016494751,0.39479494094848633,0.1666666716337204,0.6666666865348816,0.560200035572052,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,5,1.136744499206543,0.8872162699699402,0.34867918491363525,0.20000000298023224,1.0,0.7181130647659302,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,6,1.1976827383041382,0.8893495202064514,0.3656066954135895,0.3333333432674408,0.5,1.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,2664,f14a60909863,7,1.002341628074646,0.9523416757583618,0.865454375743866,0.0,1.0,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,1416,c47791817739,8,1.0030096769332886,0.9530097246170044,0.8707553744316101,0.0,1.0,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,4156,c89108a28908,9,1.012669563293457,0.9626696109771729,0.9474073052406311,0.0,1.0,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,1,06d678da6c8d,prepare procedural documents,2366,078c62a4ef11,10,1.015843152999878,0.9658432006835938,0.9725899696350098,0.0,1.0,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4454,bfc3dbee3d73,1,0.87602299451828,0.7080608606338501,3.9012205600738525,0.05882352963089943,0.8666666746139526,0.4749854803085327,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1207,cde3daee3654,2,0.7042695879936218,0.5574689507484436,2.756131172180176,0.0833333358168602,0.38461539149284363,0.47694605588912964,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",151,1ac23fe60e17,3,0.7540728449821472,0.6555043458938599,3.501584768295288,0.05263157933950424,0.5909090638160706,0.2550397217273712,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2728,b12a99169d3e,4,0.7462384700775146,0.6209110617637634,3.2385401725769043,0.0,1.0,0.30130964517593384,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",149,a1be0f01fcf6,5,0.7128933668136597,0.6257908940315247,3.2756459712982178,0.0,0.692307710647583,0.20994827151298523,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5214,4d29d09f4c1d,6,0.7436341047286987,0.616524875164032,3.205188035964966,0.0714285746216774,0.7692307829856873,0.3260192573070526,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2623,5b9cd334c378,7,0.7613385319709778,0.5879754424095154,2.988100290298462,0.0,0.8461538553237915,0.5242215394973755,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",966,902230e0e377,8,0.6775733232498169,0.6369483470916748,3.3604865074157715,0.0,0.8125,0.0,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1337,284a65d8619b,9,0.8539082407951355,0.6853809952735901,3.728764533996582,0.0,0.9230769276618958,0.4894934892654419,0
embedding-data/deberta-sentence-transformer,F_recall_first,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2622,62c0405486a6,10,0.8125326633453369,0.6477624773979187,3.442716360092163,0.0,1.0,0.4590807855129242,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4453,d9ea7797e0d6,1,1.1442086696624756,0.89769446849823,2.8490657806396484,0.0833333358168602,0.9090909361839294,0.7709056735038757,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1607,6544768291be,2,0.9149162769317627,0.7134307622909546,1.2371279001235962,0.125,0.27272728085517883,0.7013967037200928,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3766,94c75e9264bf,3,0.9315518140792847,0.7794719934463501,1.8148562908172607,0.0,0.6363636255264282,0.48104679584503174,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2382,2c9191489a0d,4,0.8998409509658813,0.8280432820320129,2.239757537841797,0.0,0.7333333492279053,0.1405239850282669,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,770,d89aa43263e2,5,0.9077250361442566,0.7975172996520996,1.9727164506912231,0.0,0.7272727489471436,0.2953762710094452,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2592,bf659a897a82,6,0.9165906310081482,0.8145047426223755,2.1213226318359375,0.0,0.7857142686843872,0.2512005865573883,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4310,506583358173,7,1.0170013904571533,0.8492347002029419,2.425140142440796,0.09090909361839294,0.6363636255264282,0.5074306130409241,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,751,2a63b9d3beeb,8,0.9113163948059082,0.8165270090103149,2.1390132904052734,0.0,0.6363636255264282,0.2518847584724426,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3734,ce2b24a76bd2,9,0.9796420931816101,0.8374195098876953,2.3217809200286865,0.0,0.9166666865348816,0.38555702567100525,0
embedding-data/deberta-sentence-transformer,F_recall_first,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4312,e1d150ca0e67,10,0.9194827675819397,0.8258235454559326,2.220339298248291,0.0,0.7272727489471436,0.22918228805065155,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3214,38264b2c039c,1,0.9064552783966064,0.7478743195533752,3.6794939041137695,0.06666667014360428,0.8333333134651184,0.44099047780036926,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2622,62c0405486a6,2,0.7563694715499878,0.596538782119751,2.4708874225616455,0.0,0.7692307829856873,0.4854765832424164,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2623,5b9cd334c378,3,0.8230478167533875,0.6390025615692139,2.8100147247314453,0.0,0.9090909361839294,0.5543627142906189,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4676,54c6ed2210a9,4,0.7629014849662781,0.6698178052902222,3.0561134815216064,0.0,0.9090909361839294,0.19051644206047058,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1337,284a65d8619b,5,0.9029913544654846,0.7319151759147644,3.552039861679077,0.0,0.8333333134651184,0.5176379084587097,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",5214,4d29d09f4c1d,6,0.867572009563446,0.7230475544929504,3.4812207221984863,0.0833333358168602,1.0,0.3447644114494324,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3213,e73f40d83ac6,7,0.8267078399658203,0.6295362710952759,2.7344143390655518,0.0714285746216774,0.8333333134651184,0.5934482216835022,0
embedding-data/deberta-sentence-transformer,F_recall_first,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4707,e509e322d71a,8,0.7735522389411926,0.728097677230835,3.521552324295044,0.0,0.9090909361839294,0.0,0
