model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,1,1.1220417022705078,0.8339077234268188,1.9068517684936523,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3056,4b76c705aa42,2,0.9561588644981385,0.8186588883399963,1.7719707489013672,0.0,0.875,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1692,31d24bb1ddd1,3,0.969242799282074,0.8317428231239319,1.8877025842666626,0.0,0.875,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3782,0d6b3a3f8dee,4,1.013306188583374,0.7939053177833557,1.5530171394348145,0.0,0.7777777910232544,0.3054102659225464,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,5,1.052443265914917,0.6762527823448181,0.5123410820960999,0.1666666716337204,0.4285714328289032,1.0,0
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,6,0.9835735440254212,0.7641726732254028,1.2900220155715942,0.0,0.7777777910232544,0.3054102659225464,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,437,3170a26b09e0,7,1.0558798789978028,0.9281021356582642,2.740032911300659,0.0,0.7777777910232544,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1690,437398d5198d,8,0.9396093368530274,0.8021093606948853,1.625584602355957,0.0,0.875,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,5127,afe8fed27705,9,0.9745324730873108,0.8388181924819946,1.9502865076065063,0.0,0.8571428656578064,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,5277,3d26f42de07f,10,0.9742377877235413,0.8367378115653992,1.9318848848342896,0.0,0.875,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,1,1.3950225591659546,0.9692428708076477,0.9995666146278381,0.25,0.75,0.8359322547912598,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,1310,dee03d615f1d,2,1.0983039617538453,0.9483039379119873,0.833414614200592,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,4835,5a0ef39818c8,3,1.0957314252853394,0.9457314610481262,0.8130017518997192,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,3595,8639c05835d2,4,1.1003886938095093,0.9503886699676514,0.8499571084976196,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,80,5402ba93471c,5,1.0969903945922852,0.946990430355072,0.8229917883872986,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,2649,b21cfc0fb42f,6,1.1005695343017579,0.9505695700645447,0.8513925671577454,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,4489,91f41a9ddfae,7,1.0966500520706177,0.9466500878334045,0.8202911615371704,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,1089,766934966e97,8,1.09605233669281,0.9460523128509521,0.8155477643013,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,4499,a7b7131295ef,9,1.1196876049041748,0.9696875810623169,1.0030955076217651,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,1,06d678da6c8d,prepare procedural documents,2331,ed9db89f4fae,10,1.0992472648620606,0.9492472410202026,0.8408997654914856,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3213,e73f40d83ac6,1,0.9997328400611878,0.6765705943107605,3.661771059036255,0.0625,0.9230769276618958,0.561181902885437,1
embedding-data/deberta-sentence-transformer,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2623,5b9cd334c378,2,0.8298572897911072,0.5879754424095154,2.988100290298462,0.0,0.8461538553237915,0.5242215394973755,0
embedding-data/deberta-sentence-transformer,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5214,4d29d09f4c1d,3,0.8055394887924194,0.616524875164032,3.205188035964966,0.0714285746216774,0.7692307829856873,0.3260192573070526,0
embedding-data/deberta-sentence-transformer,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2620,89d5c7b39619,4,0.8084762096405029,0.6611448526382446,3.5444748401641846,0.0,1.0,0.15777114033699036,0
embedding-data/deberta-sentence-transformer,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1337,284a65d8619b,5,0.9245367050170898,0.6853809952735901,3.728764533996582,0.0,0.9230769276618958,0.4894934892654419,0
embedding-data/deberta-sentence-transformer,H_zfilter,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2622,62c0405486a6,6,0.9354867219924927,0.6477624773979187,3.442716360092163,0.0,1.0,0.4590807855129242,1
