model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.158433632850647,0.49103808403015137,3.2887485027313232,0.1320754736661911,0.4285714328289032,1.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.7754932808876037,0.24469280242919922,0.9199404716491699,0.15625,0.7142857313156128,0.6748585104942322,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,461,74295bd1e6b4,3,0.5483979153633117,0.14405128359794617,-0.04780874028801918,0.01666666753590107,0.5714285969734192,0.5206381678581238,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,4,0.6190881896018982,0.21875764429569244,0.6705530285835266,0.145454540848732,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4515,4a1caf119652,5,0.5690089035034179,0.20079709589481354,0.49784791469573975,0.029411764815449715,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3762,3f9e06094af7,6,0.5434996056556701,0.20306436717510223,0.5196495652198792,0.014492753893136978,0.8571428656578064,0.40614983439445496,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,7,0.5987358260154724,0.20236733555793762,0.5129470229148865,0.01923076994717121,0.5714285969734192,0.5206381678581238,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4171,0ea00d86baf8,8,0.47972597360610963,0.43665239214897156,2.7657864093780518,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,9,0.5719557273387909,0.3054039776325226,1.5037271976470947,0.034090910106897354,0.7777777910232544,0.3054102659225464,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,610,8e727206b35b,10,0.49778796911239626,0.4289722144603729,2.6919353008270264,0.08196721225976944,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.2171811628341676,0.5178601741790771,4.811087608337402,0.23999999463558197,0.5,1.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.079346137046814,0.48066186904907227,4.361941337585449,0.17241379618644714,0.75,0.8359322547912598,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,3,0.7881257104873657,0.35268634557724,2.8167176246643066,0.12962962687015533,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.8872572946548462,0.47521519660949707,4.296176433563232,0.11290322244167328,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,5,0.6504168081283569,0.16756093502044678,0.5814449787139893,0.19512194395065308,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3473,622bfb61ce83,6,0.41541086316108705,0.27854377031326294,1.9214928150177002,0.1621621549129486,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2093,bc30fde7977a,7,0.47700478315353395,0.36902523040771484,3.0139994621276855,0.1111111119389534,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,8,0.7679230141639709,0.38229191303253174,3.1741862297058105,0.10526315867900848,0.5714285969734192,0.5047074556350708,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,233,81861c829fa0,9,0.41278170228004457,0.28343671560287476,1.980571985244751,0.13953489065170288,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4519,5b705c94c97e,10,0.4481135177612305,0.38895708322525024,3.2546639442443848,0.0,0.75,0.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.210481481552124,0.574009895324707,4.2056708335876465,0.1034482792019844,0.23076923191547394,1.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3310,1b5b70c37d4d,2,0.8415528106689453,0.22190974652767181,0.751765251159668,0.05319149047136307,0.23076923191547394,0.9090558886528015,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4045,3837c62f004b,3,0.8006099033355712,0.2866945266723633,1.3872677087783813,0.06542056053876877,0.38461539149284363,0.730104386806488,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1719,2af2d91166d4,4,0.7498154044151306,0.22403304278850555,0.77259361743927,0.08791209012269974,0.23076923191547394,0.8691253662109375,0
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2912,65b13af81036,5,0.7464999127388,0.24803698062896729,1.008058786392212,0.07954545319080353,0.23076923191547394,0.7004439830780029,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",988,3b90c12a006f,6,0.7445432114601135,0.33044570684432983,1.8164423704147339,0.0625,0.3076923191547394,0.582549512386322,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5097,b18de4af858c,7,0.8930741715431213,0.5119863748550415,3.597254753112793,0.11999999731779099,0.3076923191547394,0.5441684722900391,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4130,a7c4c4994d02,8,0.9851407575607299,0.5338341593742371,3.8115692138671875,0.10989011079072952,0.23076923191547394,0.6781270503997803,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2899,02494e9ed104,9,0.7644274997711181,0.3390576243400574,1.9009205102920532,0.06603773683309555,0.3076923191547394,0.6017209887504578,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4558,7b0342e1d11a,10,0.7619391250610351,0.41088777780532837,2.605534076690674,0.09322033822536469,0.4615384638309479,0.4694025218486786,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,1.1004219818115235,0.40166211128234863,2.2479982376098633,0.15730337798595428,0.6363636255264282,1.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,2,1.0860054063796998,0.44999808073043823,2.697035551071167,0.09090909361839294,0.27272728085517883,0.9709965586662292,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3331,bd1098fcfc05,3,0.9079879689216613,0.35050493478775024,1.7727521657943726,0.037974681705236435,0.3636363744735718,0.8341408967971802,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4059,966ff254f415,4,0.6485801339149475,0.23363623023033142,0.687050998210907,0.11363636702299118,0.4545454680919647,0.6552852392196655,0
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2686,2e522a60ddc9,5,0.612790048122406,0.1260235458612442,-0.3126624524593353,0.060975611209869385,0.3636363744735718,0.7819926142692566,0
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,226,7e56613a2ebc,6,0.8881083297729492,0.2899187207221985,1.2099109888076782,0.09574468433856964,0.5454545617103577,0.8428020477294922,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1694,d6c8c0983834,7,0.5661742091178894,0.08763711154460907,-0.6692694425582886,0.0,0.27272728085517883,0.7967438697814941,0
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4558,7b0342e1d11a,8,0.8188025522232055,0.4584815204143524,2.775846242904663,0.13265305757522583,0.5454545617103577,0.47004103660583496,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3248,e9ec0a2c6e6d,9,0.8994081783294677,0.4215899705886841,2.433126449584961,0.08860759437084198,0.27272728085517883,0.7013967037200928,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1789,ae7063b42971,10,0.5461056697368621,0.2505386173725128,0.8440728783607483,0.032258063554763794,0.5454545617103577,0.3603295087814331,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1555,5f8ae87ccde0,1,0.9958872365951538,0.3073139190673828,1.6970824003219604,0.09890110045671463,0.5,1.0,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2027,25cf50b99247,2,0.8264061975479126,0.2963636517524719,1.59159517288208,0.10000000149011612,0.4000000059604645,0.7408285140991211,1
sentence-transformers/all-distilroberta-v1,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1694,d6c8c0983834,3,0.5748170018196106,0.06467194110155106,-0.6403608918190002,0.0,0.30000001192092896,0.8414097428321838,0
sentence-transformers/all-distilroberta-v1,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2899,02494e9ed104,4,0.7943139839172363,0.3263726234436035,1.8806806802749634,0.11702127754688263,0.4000000059604645,0.6363181471824646,1
