model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3729,1871e097b0a5,1,0.5776360034942627,0.5776360034942627,4.23992395401001,0.0,0.5714285969734192,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,2,0.5774698257446289,0.5774698257446289,4.2383246421813965,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2865,7d2643cf69e1,3,0.5493672490119934,0.5493672490119934,3.967874050140381,0.0,0.5714285969734192,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,4,0.545176088809967,0.545176088809967,3.927539587020874,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,402,b7acc0bf3a51,5,0.5451024770736694,0.5451024770736694,3.926831007003784,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,42,02d9739e2d83,6,0.5328372716903687,0.5328372716903687,3.8087942600250244,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,2100,4becab71a8fa,7,0.5257256031036377,0.5257256031036377,3.74035382270813,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,8,0.5245956778526306,0.5245956778526306,3.7294797897338867,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,9,0.5237560868263245,0.5237560868263245,3.7213997840881348,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,0,d52ebdd6c51c,train personnel on proper operational procedures,4319,3f76e8c7700b,10,0.520563006401062,0.520563006401062,3.6906704902648926,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,0.5652313232421875,0.5652313232421875,4.823812961578369,0.3333333432674408,0.5,1.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,3757,0c29bb383513,2,0.5262792110443115,0.5262792110443115,4.401161193847656,0.0,0.75,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,758,077b37efd178,3,0.470342755317688,0.470342755317688,3.794219493865967,0.0,1.0,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1300,b510e0f063cc,4,0.4674673080444336,0.4674673080444336,3.763019323348999,0.0,0.75,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4925,d3e5bde64705,5,0.4624840021133423,0.4624840021133423,3.7089476585388184,0.0,0.75,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4856,8854c5efcfea,6,0.45866286754608154,0.45866286754608154,3.6674861907958984,0.0,0.75,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,3251,fb35d872b6ae,7,0.44829028844833374,0.44829028844833374,3.5549380779266357,0.0,0.75,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,1786,c538af615e86,8,0.4472752809524536,0.4472752809524536,3.543924570083618,0.0,0.75,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,4502,98c2bfc7d4aa,9,0.446039080619812,0.446039080619812,3.5305111408233643,0.0,0.4444444477558136,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,1,06d678da6c8d,prepare procedural documents,2899,02494e9ed104,10,0.4435088038444519,0.4435088038444519,3.503056287765503,0.0,1.0,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4793,ecfb3bfe17da,1,0.6923736333847046,0.6923736333847046,5.572754383087158,0.07692307978868484,0.4615384638309479,0.3802230656147003,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3413,0c3e5c7f3c75,2,0.6853159666061401,0.6853159666061401,5.5015482902526855,0.10000000149011612,0.23076923191547394,0.5673700571060181,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3891,6579f5e89913,3,0.6165793538093567,0.6165793538093567,4.808055877685547,0.0833333358168602,0.4615384638309479,0.4245058596134186,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4130,a7c4c4994d02,4,0.6125128269195557,0.6125128269195557,4.767028331756592,0.10000000149011612,0.23076923191547394,0.6781270503997803,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2714,d9855438ae33,5,0.5199432969093323,0.5199432969093323,3.8330821990966797,0.10000000149011612,0.23076923191547394,0.43262994289398193,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5134,29c1e14899e6,6,0.5186251401901245,0.5186251401901245,3.8197832107543945,0.09090909361839294,0.3076923191547394,0.582549512386322,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2479,8cee47cceb1c,7,0.5165524482727051,0.5165524482727051,3.7988715171813965,0.10000000149011612,0.23076923191547394,0.5673700571060181,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3303,8dee13915ca0,8,0.5134937763214111,0.5134937763214111,3.768012285232544,0.07692307978868484,0.6153846383094788,0.3116838037967682,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3280,381a707f2810,9,0.510671079158783,0.510671079158783,3.7395336627960205,0.10000000149011612,0.23076923191547394,0.6781270503997803,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",614,f2efeea27410,10,0.5086764097213745,0.5086764097213745,3.719409227371216,0.10000000149011612,0.23076923191547394,0.6781270503997803,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1653,046a98743dea,1,0.5941213965415955,0.5941213965415955,4.124325752258301,0.0,0.27272728085517883,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,5121,ff58dfe7d5e6,2,0.5904653072357178,0.5904653072357178,4.091114521026611,0.0,0.27272728085517883,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4896,1d892e09d5fd,3,0.574782133102417,0.574782133102417,3.948650598526001,0.0,0.3636363744735718,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3572,d456d74f6ecb,4,0.5518068075180054,0.5518068075180054,3.739945650100708,0.0,0.3636363744735718,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4129,c0c66eb294df,5,0.5457080602645874,0.5457080602645874,3.6845455169677734,0.0,0.27272728085517883,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3586,f77f2bcecc27,6,0.5429523587226868,0.5429523587226868,3.659512996673584,0.0,0.7272727489471436,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,5183,5059ae6018ee,7,0.532855749130249,0.532855749130249,3.5677967071533203,0.0,0.27272728085517883,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1175,1779a7c04aa8,8,0.5293176174163818,0.5293176174163818,3.5356569290161133,0.0,0.27272728085517883,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3373,f8d0bd176b39,9,0.5250405073165894,0.5250405073165894,3.4968042373657227,0.0,0.4545454680919647,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1224,791cb55f196f,10,0.5220522880554199,0.5220522880554199,3.4696595668792725,0.0,0.27272728085517883,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1175,1779a7c04aa8,1,0.5478895902633667,0.5478895902633667,4.066644668579102,0.0,0.30000001192092896,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3872,4e4ff7039f22,2,0.5039157867431641,0.5039157867431641,3.645092487335205,0.125,0.30000001192092896,0.8623746037483215,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1218,b9b3e925b818,3,0.5034635066986084,0.5034635066986084,3.640756845474243,0.0,0.30000001192092896,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4225,78631aa89d4e,4,0.4818984270095825,0.4818984270095825,3.4340245723724365,0.0,0.30000001192092896,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2890,5371441504ea,5,0.4781017303466797,0.4781017303466797,3.397627830505371,0.0,0.30000001192092896,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2658,a55b33933d49,6,0.4748136103153229,0.4748136103153229,3.3661062717437744,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2889,a00bf34f22b4,7,0.4675945043563843,0.4675945043563843,3.296900987625122,0.0,0.30000001192092896,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2887,93aa88d53279,8,0.462749719619751,0.462749719619751,3.2504568099975586,0.0,0.20000000298023224,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3621,917bf810d271,9,0.4539725184440613,0.4539725184440613,3.1663148403167725,0.1111111119389534,0.5,0.6493121981620789,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4749,0ec0a74e2a34,10,0.4525739252567291,0.4525739252567291,3.152906894683838,0.0,0.30000001192092896,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,1421,c88a10398d0d,1,0.6443085074424744,0.6443085074424744,5.873063564300537,0.20000000298023224,0.5,0.7869473099708557,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,3379,baa41401a00d,2,0.5556012988090515,0.5556012988090515,4.871449947357178,0.20000000298023224,0.5,0.7869473099708557,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,3824,9d2687be732d,3,0.5446642637252808,0.5446642637252808,4.747957706451416,0.20000000298023224,0.5,0.7869473099708557,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,499,f04339266623,4,0.5374404191970825,0.5374404191970825,4.666391372680664,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,2714,d9855438ae33,5,0.5304932594299316,0.5304932594299316,4.587949275970459,0.20000000298023224,0.5,0.4802444577217102,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,2280,e6339098bb30,6,0.5225499868392944,0.5225499868392944,4.498260021209717,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,729,5d554bc5f3d2,7,0.49659228324890137,0.49659228324890137,4.205165863037109,0.0,0.3333333432674408,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,3143,4f60ac427abf,8,0.49230828881263733,0.49230828881263733,4.15679407119751,0.0,0.3333333432674408,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,53,ef889e43eeed,9,0.4797249734401703,0.4797249734401703,4.014712810516357,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,5,abdac161e57b,design medical devices or appliances,733,813e418f098e,10,0.47740066051483154,0.47740066051483154,3.988468647003174,0.20000000298023224,0.5,0.4802444577217102,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3142,ed60f88fd612,1,0.7681218981742859,0.7681218981742859,8.174278259277344,0.1428571492433548,0.3333333432674408,0.4009232223033905,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3797,74f3fd3bb3da,2,0.6822901964187622,0.6822901964187622,7.181450843811035,0.3333333432674408,0.3333333432674408,1.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3143,4f60ac427abf,3,0.5303545594215393,0.5303545594215393,5.423989772796631,0.0,0.2222222238779068,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,4573,ab8abbf29b89,4,0.5170456767082214,0.5170456767082214,5.270043849945068,0.1428571492433548,0.3333333432674408,0.4009232223033905,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3405,9bae1fa01d73,5,0.46910953521728516,0.46910953521728516,4.715559959411621,0.1428571492433548,0.3333333432674408,0.4009232223033905,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3303,8dee13915ca0,6,0.46230441331863403,0.46230441331863403,4.636844158172607,0.0,0.8888888955116272,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,2279,efe0b1246e9e,7,0.4616714119911194,0.4616714119911194,4.62952184677124,0.0,0.3333333432674408,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,1025,332081e0745e,8,0.44612330198287964,0.44612330198287964,4.449674606323242,0.0,0.2222222238779068,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3144,19c6d540fe6c,9,0.44401228427886963,0.44401228427886963,4.425256252288818,0.0,0.2222222238779068,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,6,75e527217c38,research engineering aspects of biological or chemical processes,3306,1e9422ec7cfe,10,0.4424762427806854,0.4424762427806854,4.407488822937012,0.0,0.3333333432674408,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,3306,1e9422ec7cfe,1,0.6687922477722168,0.6687922477722168,5.179332256317139,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,2969,d7b75427e092,2,0.6611509919166565,0.6611509919166565,5.106480121612549,0.20000000298023224,0.5,0.660946786403656,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,3304,ecdd6aedb4c3,3,0.6307051181793213,0.6307051181793213,4.816209316253662,0.0,0.6666666865348816,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,332,444510b9c3c3,4,0.6241982579231262,0.6241982579231262,4.754172325134277,0.20000000298023224,0.5,0.660946786403656,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,2094,63cb0dc76a3b,5,0.622201681137085,0.622201681137085,4.735136985778809,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,997,67e7de747dcc,6,0.6100436449050903,0.6100436449050903,4.619222164154053,0.20000000298023224,0.5,0.660946786403656,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,3305,566422be97ea,7,0.609470009803772,0.609470009803772,4.613752841949463,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,1422,5ead8f447a6a,8,0.6076891422271729,0.6076891422271729,4.596774101257324,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,4895,d9ed0b19f811,9,0.6018102169036865,0.6018102169036865,4.540724277496338,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,7,bfcc3cdee21d,devise research or testing protocols,3844,9d3455eb929f,10,0.5964990258216858,0.5964990258216858,4.490087509155273,0.1428571492433548,1.0,0.6701500415802002,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,4871,1ec141c3fc74,1,0.6447307467460632,0.6447307467460632,5.183249473571777,0.0,0.23076923191547394,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,127,975c4e764bff,2,0.6369774341583252,0.6369774341583252,5.1059041023254395,0.0,0.23076923191547394,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,2875,38cb82650562,3,0.6179066896438599,0.6179066896438599,4.9156575202941895,0.09090909361839294,0.23076923191547394,0.7015606164932251,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,3294,b5a76b93b6d3,4,0.612647533416748,0.612647533416748,4.863193035125732,0.0,0.23076923191547394,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,4869,e7cc1deecd7a,5,0.5727927684783936,0.5727927684783936,4.465609073638916,0.09090909361839294,0.23076923191547394,0.7490102648735046,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,331,ab3b66f24ad9,6,0.5656173229217529,0.5656173229217529,4.394028186798096,0.10000000149011612,0.1538461595773697,0.8960179090499878,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,2753,ee5a1da0570c,7,0.5572983026504517,0.5572983026504517,4.311038970947266,0.0,0.23076923191547394,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,4868,4d414f6fd118,8,0.5527501106262207,0.5527501106262207,4.26566743850708,0.09090909361839294,0.23076923191547394,0.7015606164932251,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,1177,8ef1306520ed,9,0.5488756895065308,0.5488756895065308,4.227016925811768,0.09090909361839294,0.23076923191547394,0.7015606164932251,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,129,dcc7f926782e,10,0.5227044224739075,0.5227044224739075,3.9659368991851807,0.0,0.23076923191547394,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,1226,bc7f96ddc87c,1,0.5749324560165405,0.5749324560165405,3.669506311416626,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,4501,7e31f9e44f69,2,0.5624250173568726,0.5624250173568726,3.556574583053589,0.0,0.6000000238418579,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,600,45509ca3caf2,3,0.5605183243751526,0.5605183243751526,3.539358615875244,0.0,0.3333333432674408,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,80,5402ba93471c,4,0.5597490072250366,0.5597490072250366,3.532412528991699,0.1666666716337204,0.6666666865348816,0.7678654789924622,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,2463,3de86f6e4731,5,0.5501036643981934,0.5501036643981934,3.4453229904174805,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,3327,7fab491d7371,6,0.5455203056335449,0.5455203056335449,3.4039392471313477,0.0,0.6666666865348816,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,3413,0c3e5c7f3c75,7,0.5399633646011353,0.5399633646011353,3.353764772415161,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,3359,c0ffa7fcb6a8,8,0.5302184224128723,0.5302184224128723,3.2657761573791504,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,2364,e7f8b2c6810a,9,0.5299501419067383,0.5299501419067383,3.2633538246154785,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,9,3cdbc3929112,develop technical methods or processes,1629,a9ac5a6cc3cb,10,0.5291010141372681,0.5291010141372681,3.2556867599487305,0.25,0.3333333432674408,1.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,2714,d9855438ae33,1,0.6856357455253601,0.6856357455253601,5.416765213012695,0.1666666716337204,0.375,0.669235110282898,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,295,873d3c697489,2,0.6508714556694031,0.6508714556694031,5.077768325805664,0.0,0.625,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,2732,787c9983bd1c,3,0.5956845283508301,0.5956845283508301,4.539623737335205,0.0,0.375,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,3314,5ccae7640253,4,0.5956599712371826,0.5956599712371826,4.539384365081787,0.125,0.625,0.5038906931877136,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,3963,91bd8992e298,5,0.5925209522247314,0.5925209522247314,4.508774757385254,0.125,0.625,0.5038906931877136,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,1625,bae9b3e0e5fe,6,0.5733591318130493,0.5733591318130493,4.3219218254089355,0.0,0.375,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,1478,74af9c11434d,7,0.565349817276001,0.565349817276001,4.243820667266846,0.0,0.375,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,3919,b81d3a27898d,8,0.55525803565979,0.55525803565979,4.145412921905518,0.0,0.5,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,3961,ad1f98678bd4,9,0.5488394498825073,0.5488394498825073,4.082823276519775,0.0,0.375,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,10,365ec2897755,create models of engineering designs or methods,2102,11c46a6000d3,10,0.5460187792778015,0.5460187792778015,4.0553178787231445,0.1666666716337204,0.375,0.669235110282898,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,11,810124c49b5c,maintain operational records or records systems,1887,1aa49c50e0e1,1,0.7409464716911316,0.7409464716911316,6.225297451019287,0.0,0.4285714328289032,0.0,0
sentence-transformers/all-mpnet-base-v2,A_semantic_only,11,810124c49b5c,maintain operational records or records systems,519,58019e8728bb,2,0.5555285215377808,0.5555285215377808,4.359720230102539,0.0,0.4285714328289032,0.0,0
