model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9453441381454468,0.5191535949707031,3.6771066188812256,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.6178757548332214,0.318989634513855,1.7507877349853516,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,3,0.637239146232605,0.4449804425239563,2.9632861614227295,0.0,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4077,aa1012ca2dbf,4,0.5789583206176758,0.4432440400123596,2.94657564163208,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3844,9d3455eb929f,5,0.6439784049987793,0.5082641243934631,3.572309732437134,0.0,0.8571428656578064,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,6,0.6703269958496094,0.5774698257446289,4.2383246421813965,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,1675,8335d26464b5,7,0.5289550602436066,0.40752649307250977,2.6028404235839844,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4128,0e5eddee75e1,8,0.5776442766189576,0.48478710651397705,3.3463737964630127,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,9,0.616613256931305,0.5237560868263245,3.7213997840881348,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,10,0.6174528479576111,0.5245956778526306,3.7294797897338867,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0318980097770691,0.5652313232421875,4.823812961578369,0.3333333432674408,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.8620652437210083,0.4362855553627014,3.42467999458313,0.25,0.75,0.8359322547912598,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,3,0.7473026394844056,0.4340045154094696,3.3999295234680176,0.1428571492433548,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,4,0.6507441878318787,0.33268415927886963,2.3005475997924805,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4229,c06fc6b4853b,5,0.48501996994018554,0.3600199818611145,2.597156286239624,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,6,0.5382939577102661,0.29640549421310425,1.906903862953186,0.1666666716337204,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,4519,5b705c94c97e,7,0.4940541863441467,0.3690541982650757,2.6951825618743896,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,5287,2c4e397c0273,8,0.5011605501174927,0.37616053223609924,2.7722902297973633,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,9,0.717925238609314,0.39986518025398254,3.029498815536499,0.1666666716337204,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,H_zfilter,1,06d678da6c8d,prepare procedural documents,1207,cde3daee3654,10,0.5084468305110932,0.3784468173980713,2.797097682952881,0.0,0.800000011920929,0.0,1
