model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.1823318767547608,0.5191535949707031,3.6771066188812256,0.1320754736661911,0.4285714328289032,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.8386455941200256,0.318989634513855,1.7507877349853516,0.15625,0.7142857313156128,0.6748585104942322,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,824,b2b3f57d7c91,3,0.509792149066925,0.1842917799949646,0.4544953405857086,0.145454540848732,0.7142857313156128,0.45632249116897583,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,4,0.6582052278518676,0.4449804425239563,2.9632861614227295,0.036363635212183,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,5,0.6144547629356384,0.25772303342819214,1.161176085472107,0.019607843831181526,0.7142857313156128,0.45632249116897583,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,6,0.502629816532135,0.18341907858848572,0.4460967481136322,0.01923076994717121,0.5714285969734192,0.5206381678581238,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,4073,9a99b459aa08,7,0.4775993525981903,0.2405112236738205,0.9955346584320068,0.012048192322254181,1.0,0.36591723561286926,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,2895,dc0618053a41,8,0.49281801462173463,0.44029009342193604,2.918147563934326,0.03333333507180214,0.5714285969734192,0.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,1602,5ea97cc0076e,9,0.5105649995803833,0.48133695125579834,3.3131704330444336,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,0,d52ebdd6c51c,train personnel on proper operational procedures,5297,c91a5c4b0bdb,10,0.5003664064407348,0.4497307240962982,3.0090012550354004,0.0555555559694767,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.257446722984314,0.5652313232421875,4.823812961578369,0.23999999463558197,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,1.0416262316703797,0.4362855553627014,3.42467999458313,0.17241379618644714,0.75,0.8359322547912598,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,3,0.7907715606689453,0.33268415927886963,2.3005475997924805,0.19512194395065308,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.8522282409667968,0.4340045154094696,3.3999295234680176,0.11290322244167328,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,5,0.6149195432662964,0.29640549421310425,1.906903862953186,0.10526315867900848,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,6,0.8282277154922485,0.39986518025398254,3.029498815536499,0.12962962687015533,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,7,0.9967813062667846,0.4165826737880707,3.210892915725708,0.27272728085517883,1.0,0.7181130647659302,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4310,506583358173,8,0.5823747515678406,0.260667085647583,1.5191223621368408,0.09803921729326248,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,4519,5b705c94c97e,9,0.4311960804462433,0.3690541982650757,2.6951825618743896,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,1,06d678da6c8d,prepare procedural documents,5287,2c4e397c0273,10,0.4372364449501038,0.37616053223609924,2.7722902297973633,0.0,0.75,0.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2365,103eab151086,1,1.1447362470626832,0.4966626763343811,3.598201036453247,0.1034482792019844,0.23076923191547394,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3310,1b5b70c37d4d,2,0.7934033441543579,0.1652633249759674,0.25467026233673096,0.05319149047136307,0.23076923191547394,0.9090558886528015,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",5212,4560445c4d7f,3,0.8436823654174804,0.3876214325428009,2.4980697631835938,0.05263157933950424,0.23076923191547394,0.6781270503997803,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2695,4c29274ab46c,4,0.7613624501228332,0.2655223309993744,1.2661962509155273,0.07954545319080353,0.23076923191547394,0.7004439830780029,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",447,0dbbcd9e85e6,5,0.9171412754058837,0.3283853828907013,1.9004297256469727,0.0833333358168602,0.23076923191547394,0.8691253662109375,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2216,7f54b0ad802f,6,0.7872845101356506,0.3416629433631897,2.034388780593872,0.08421052992343903,0.23076923191547394,0.6334490180015564,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",986,27e506caea6e,7,0.7504335212707519,0.3334280848503113,1.9513061046600342,0.0736842080950737,0.3076923191547394,0.582549512386322,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2899,02494e9ed104,8,0.777822093963623,0.35481593012809753,2.167090892791748,0.06603773683309555,0.3076923191547394,0.6017209887504578,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1897,d330010440a6,9,0.7244878578186035,0.42391520738601685,2.8642425537109375,0.043478261679410934,0.23076923191547394,0.43262994289398193,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3691,683be8b6f028,10,0.7335982489585876,0.33463507890701294,1.9634836912155151,0.09090909361839294,0.3076923191547394,0.5441684722900391,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3215,d4793dfe8103,1,1.0385803747177125,0.3289072513580322,1.7151553630828857,0.15730337798595428,0.6363636255264282,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3331,bd1098fcfc05,2,0.9169110822677612,0.36100268363952637,2.0067059993743896,0.037974681705236435,0.3636363744735718,0.8341408967971802,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3978,6918d9132472,3,0.8819540143013,0.30405527353286743,1.489403247833252,0.09090909361839294,0.27272728085517883,0.9709965586662292,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,1554,ba67eebc2f04,4,0.5870917606353759,0.359865665435791,1.9963774681091309,0.020618556067347527,0.5454545617103577,0.2795794606208801,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4059,966ff254f415,5,0.6373969316482544,0.22047948837280273,0.7302117943763733,0.11363636702299118,0.4545454680919647,0.6552852392196655,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2912,65b13af81036,6,0.6008738279342651,0.16047000885009766,0.18509355187416077,0.10000000149011612,0.27272728085517883,0.7013967037200928,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,751,2a63b9d3beeb,7,0.544321494102478,0.32775843143463135,1.7047195434570312,0.009259259328246117,0.6363636255264282,0.2518847584724426,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,4590,5d45850c5baa,8,0.7880819439888,0.28760677576065063,1.3399872779846191,0.08571428805589676,0.27272728085517883,0.8404425382614136,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,3248,e9ec0a2c6e6d,9,0.9765458273887634,0.5123401284217834,3.3814356327056885,0.08860759437084198,0.27272728085517883,0.7013967037200928,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,2686,2e522a60ddc9,10,0.6285852193832397,0.1446060836315155,0.04098774120211601,0.060975611209869385,0.3636363744735718,0.7819926142692566,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3872,4e4ff7039f22,1,1.0683394241333009,0.5039157867431641,3.645092487335205,0.09195402264595032,0.30000001192092896,0.8623746037483215,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1555,5f8ae87ccde0,2,0.9761091041564941,0.28404557704925537,1.5373212099075317,0.09890110045671463,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3248,e9ec0a2c6e6d,3,0.9418316650390625,0.4369020164012909,3.002669095993042,0.1034482792019844,0.30000001192092896,0.7407174110412598,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2980,b0f01c409733,4,0.6569153833389282,0.1580936312675476,0.3298913240432739,0.12195122241973877,0.30000001192092896,0.6515839695930481,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1873,0084fa936ea8,5,0.6475470829010009,0.2559700012207031,1.2681766748428345,0.10204081982374191,0.5,0.4906005263328552,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",1337,284a65d8619b,6,0.6031458377838135,0.2420983910560608,1.135197401046753,0.15037593245506287,0.8333333134651184,0.5176379084587097,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",3603,d590836dad8c,7,0.8560406732559204,0.21701130270957947,0.8947016596794128,0.09183673560619354,0.6000000238418579,0.8900499939918518,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",4558,7b0342e1d11a,8,0.8134363460540771,0.4383220076560974,3.016282081604004,0.11009174585342407,0.6000000238418579,0.49639177322387695,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2912,65b13af81036,9,0.7538277077674865,0.22134967148303986,0.9362911581993103,0.08749999850988388,0.30000001192092896,0.7407174110412598,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",2119,1be589451f51,10,0.6296618747711181,0.31624341011047363,1.845983624458313,0.08695652335882187,0.800000011920929,0.35794657468795776,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,1421,c88a10398d0d,1,1.2248307037353516,0.6443085074424744,5.873063564300537,0.3333333432674408,0.5,0.7869473099708557,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,3873,09a84053a60b,2,0.6828675436973571,0.32840317487716675,2.3061037063598633,0.1428571492433548,0.6666666865348816,0.4125571548938751,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,3515,171adad99b61,3,0.8328321146965026,0.2176547348499298,1.0556175708770752,0.11363636702299118,0.5,0.8478910326957703,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,4412,a558f59f975e,4,1.1542424726486207,0.441328227519989,3.5811665058135986,0.19148936867713928,0.8333333134651184,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,920,ec2d64edb4bd,5,0.661023097038269,0.2886781692504883,1.8575594425201416,0.07500000298023224,0.5,0.4802444577217102,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,2094,63cb0dc76a3b,6,0.7833583521842956,0.4189656376838684,3.328665256500244,0.11363636702299118,0.5,0.4802444577217102,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,3825,878efe7aaf4d,7,0.9243093299865722,0.36428338289260864,2.711235284805298,0.125,0.5,0.7869473099708557,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,289,09156eaf9ed2,8,0.9114371109008789,0.3049893379211426,2.0417325496673584,0.12820513546466827,0.5,0.8478910326957703,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,2512,5de07ec45ece,9,0.6942854690551757,0.3630637228488922,2.6974639892578125,0.1568627506494522,0.8333333134651184,0.36159297823905945,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,5,abdac161e57b,design medical devices or appliances,92,0981605b5781,10,0.9381848740577697,0.38368555903434753,2.930309772491455,0.11627907305955887,0.5,0.7869473099708557,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,3797,74f3fd3bb3da,1,1.3503838348388673,0.6822901964187622,7.181450843811035,0.24590164422988892,0.3333333432674408,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,1611,3444f93619e5,2,0.7451158928871154,0.32907599210739136,3.0957720279693604,0.11267605423927307,0.4444444477558136,0.5489603877067566,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,2969,d7b75427e092,3,0.49925652146339417,0.27712082862854004,2.4947996139526367,0.0923076942563057,0.3333333432674408,0.3655746877193451,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,2515,d7bcb433bafc,4,0.5487769842147827,0.25106295943260193,2.1933844089508057,0.11594203114509583,0.3333333432674408,0.4732069969177246,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,5270,311596f0b69a,5,0.5667374300956726,0.25799331068992615,2.2735488414764404,0.12857143580913544,0.4444444477558136,0.34441572427749634,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,4899,ee82dbf27ce1,6,0.5168677735328674,0.2095634937286377,1.713354229927063,0.07575757801532745,0.3333333432674408,0.3655746877193451,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,1309,a8e51d116de8,7,0.6936740446090698,0.4412025809288025,4.39275598526001,0.09333333373069763,0.4444444477558136,0.3140493333339691,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,2795,0270e82e5a44,8,0.7492490577697754,0.3883373737335205,3.781256914138794,0.12857143580913544,0.3333333432674408,0.4732069969177246,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,2102,11c46a6000d3,9,0.6356412935256958,0.2976072430610657,2.731768846511841,0.1515151560306549,0.3333333432674408,0.4009232223033905,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,6,75e527217c38,research engineering aspects of biological or chemical processes,1337,284a65d8619b,10,0.4939550030231476,0.2682284116744995,2.391939640045166,0.0714285746216774,0.75,0.21172042191028595,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,2969,d7b75427e092,1,1.10970027923584,0.6611509919166565,5.106480121612549,0.1538461595773697,0.5,0.660946786403656,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,3977,528885dbd49e,2,1.1047703790664674,0.34930962324142456,2.1333796977996826,0.34285715222358704,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,4964,26d1f79da9da,3,0.970760064125061,0.4476102590560913,3.0705795288085938,0.1190476194024086,0.5,0.7492950558662415,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,2021,98c6c79cb397,4,0.9722141790390014,0.26066118478775024,1.2882039546966553,0.15217390656471252,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,931,affe3f6ec267,5,0.8588933515548706,0.39067667722702026,2.527773857116699,0.09090909361839294,0.6666666865348816,0.643686830997467,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,3844,9d3455eb929f,6,1.091745810508728,0.5964990258216858,4.490087509155273,0.17543859779834747,1.0,0.6701500415802002,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,3874,c3a7f01ec4d8,7,0.8627194333076477,0.384910523891449,2.472799062728882,0.11999999731779099,0.6666666865348816,0.643686830997467,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,3334,ffdf4621b0cb,8,0.8149953651428222,0.2653347849845886,1.3327621221542358,0.11627907305955887,0.5,0.7492950558662415,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,4499,a7b7131295ef,9,0.9394775199890136,0.5135178565979004,3.698943614959717,0.16326530277729034,0.6666666865348816,0.567790687084198,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,7,bfcc3cdee21d,devise research or testing protocols,1937,9577cc9be047,10,0.8281308579444885,0.39410892128944397,2.5604968070983887,0.1304347813129425,0.6666666865348816,0.567790687084198,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,331,ab3b66f24ad9,1,1.1435778903961182,0.5656173229217529,4.394028186798096,0.125,0.1538461595773697,0.8960179090499878,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,989,4ec4f7a20f54,2,1.1115457582473756,0.43049800395965576,3.0461020469665527,0.15463916957378387,0.38461539149284363,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,3586,f77f2bcecc27,3,0.7941312193870544,0.3399938941001892,2.14324951171875,0.1111111119389534,0.6153846383094788,0.7350562810897827,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,2043,fd428ffb74e6,4,0.6662389206886291,0.21500106155872345,0.8963433504104614,0.0729166641831398,0.23076923191547394,0.6167908906936646,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,4059,966ff254f415,5,0.6185368895530701,0.24841508269309998,1.2296756505966187,0.0917431190609932,0.38461539149284363,0.601050615310669,0
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,2515,d7bcb433bafc,6,0.7725706267356872,0.31071290373802185,1.8511475324630737,0.07070706784725189,0.23076923191547394,0.6595234274864197,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,3608,6f667a1cbbc5,7,0.8901970553398132,0.4850349426269531,3.5901529788970947,0.054347824305295944,0.23076923191547394,0.6167908906936646,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,4082,c0d48f26a1da,8,0.5413311290740966,0.23158152401447296,1.0617470741271973,0.009009009227156639,0.38461539149284363,0.40425556898117065,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,3802,53580bf7ebf9,9,0.8949147033691406,0.4390135407447815,3.131051540374756,0.030927835032343864,0.23076923191547394,0.7015606164932251,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,3766,94c75e9264bf,10,0.5466642844676971,0.2028929591178894,0.7755550742149353,0.008474576286971569,0.5384615659713745,0.4412330090999603,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,9,3cdbc3929112,develop technical methods or processes,1629,a9ac5a6cc3cb,1,1.1806882190704346,0.5291010141372681,3.2556867599487305,0.11428571492433548,0.3333333432674408,1.0,1
sentence-transformers/all-mpnet-base-v2,J_char_heavy,9,3cdbc3929112,develop technical methods or processes,3248,e9ec0a2c6e6d,2,1.1099794673919678,0.5142889022827148,3.121945858001709,0.1489361673593521,0.5,0.8719217777252197,1
