model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,1.1343448162078857,0.6762527823448181,0.5123410820960999,0.1666666716337204,0.4285714328289032,1.0,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,2,0.9289541721343995,0.7641726732254028,1.2900220155715942,0.0,0.7777777910232544,0.3054102659225464,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2319,defa44749398,3,0.8844104290008545,0.8572741746902466,2.1135358810424805,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4058,74fe0528c27f,4,1.101873517036438,0.8339077234268188,1.9068517684936523,0.1111111119389534,0.8571428656578064,0.6006578207015991,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3782,0d6b3a3f8dee,5,0.9572002172470093,0.7939053177833557,1.5530171394348145,0.0,0.7777777910232544,0.3054102659225464,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2337,421e3510a425,6,0.8806846022605896,0.8563597798347473,2.105447769165039,0.0,0.8571428656578064,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1692,31d24bb1ddd1,7,0.8576556324958802,0.8317428231239319,1.8877025842666626,0.0,0.875,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1184,d3d06761a9d7,8,0.874342429637909,0.852992057800293,2.0756590366363525,0.0,0.699999988079071,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3796,5f5cb9491767,9,0.9854463338851929,0.8061215877532959,1.661074161529541,0.0,0.7142857313156128,0.45632249116897583,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2660,691d02fdc094,10,0.8387563705444336,0.8152322769165039,1.7416611909866333,0.0,0.7142857313156128,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.4215487718582154,0.8893495202064514,0.3656066954135895,0.3333333432674408,0.5,1.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,2,1.0325262546539307,0.8006800413131714,-0.33799248933792114,0.1666666716337204,0.5714285969734192,0.5047074556350708,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,3,1.0932612419128418,0.8413331508636475,-0.015406915917992592,0.1428571492433548,0.6666666865348816,0.560200035572052,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,4,1.1971331119537354,0.8930279016494751,0.39479494094848633,0.1666666716337204,0.6666666865348816,0.560200035572052,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,5,1.411950159072876,0.9692428708076477,0.9995666146278381,0.25,0.75,0.8359322547912598,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,1702,6b306e6c84b1,6,1.276006269454956,0.8872162699699402,0.34867918491363525,0.20000000298023224,1.0,0.7181130647659302,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4310,506583358173,7,1.0881661176681519,0.8642607927322388,0.1665257066488266,0.1428571492433548,0.5714285969734192,0.5047074556350708,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4524,f0e415744ae6,8,0.9826251149177552,0.960658073425293,0.9314455986022949,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2366,078c62a4ef11,9,0.9875510215759278,0.9658432006835938,0.9725899696350098,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4499,a7b7131295ef,10,0.9912031769752503,0.9696875810623169,1.0030955076217651,0.0,1.0,0.0,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",3213,e73f40d83ac6,1,0.9762354373931885,0.6765705943107605,3.661771059036255,0.0625,0.9230769276618958,0.561181902885437,1
embedding-data/deberta-sentence-transformer,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",4045,3837c62f004b,2,0.7781168222427368,0.44759035110473633,1.9206228256225586,0.0833333358168602,0.38461539149284363,0.730104386806488,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",2620,89d5c7b39619,3,0.7190845608711243,0.6611448526382446,3.5444748401641846,0.0,1.0,0.15777114033699036,0
embedding-data/deberta-sentence-transformer,I_short_skills_bias,2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",1337,284a65d8619b,4,0.8898455500602722,0.6853809952735901,3.728764533996582,0.0,0.9230769276618958,0.4894934892654419,0
