model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.967228639125824,0.49103808403015137,3.2887485027313232,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.5773218870162964,0.24469280242919922,0.9199404716491699,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,751,2a63b9d3beeb,3,0.5256630659103394,0.37566307187080383,2.1793248653411865,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,4171,0ea00d86baf8,4,0.543795245885849,0.43665239214897156,2.7657864093780518,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,421,cb5492305996,5,0.5192009389400483,0.3977723717689514,2.391923666000366,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3738,4c75851c265c,6,0.5317530512809754,0.4246101975440979,2.649991035461426,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,1600,e07ea79deb22,7,0.5513970136642456,0.4585398733615875,2.9762520790100098,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3127,1df2bc055e00,8,0.5290587425231934,0.4219158887863159,2.6240830421447754,0.0,0.5714285969734192,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,1333,94e01be7879d,9,0.5092715799808503,0.3592715859413147,2.021707534790039,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,B_hybrid_light,0,d52ebdd6c51c,train personnel on proper operational procedures,3612,4a2adc186b51,10,0.5836953401565552,0.4908381700515747,3.2868261337280273,0.0,0.4285714328289032,0.0,1
