model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9426767110824585,0.49103808403015137,3.2887485027313232,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.5650871992111206,0.24469280242919922,0.9199404716491699,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,751,2a63b9d3beeb,3,0.5068799138069153,0.37566307187080383,2.1793248653411865,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3611,a9cf3208589d,4,0.5798922061920166,0.5126684904098511,3.4967422485351562,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,1891,50173787ddd0,5,0.6116914629936219,0.5461413860321045,3.8186111450195312,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,4062,f5cd1e11c87f,6,0.6293657898902894,0.5647459030151367,3.9975085258483887,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,1333,94e01be7879d,7,0.49130799174308776,0.3592715859413147,2.021707534790039,0.0,1.0,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,433,c662a60ef5d0,8,0.4944420337677002,0.3926457464694977,2.3426270484924316,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,421,cb5492305996,9,0.49931232929229735,0.3977723717689514,2.391923666000366,0.0,0.7142857313156128,0.0,1
sentence-transformers/all-distilroberta-v1,E_diversity,0,d52ebdd6c51c,train personnel on proper operational procedures,3751,f1ce5e300a4c,10,0.5554676532745362,0.4418456256389618,2.815723419189453,0.0,0.8571428656578064,0.0,1
