model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.9786668300628663,0.5191535949707031,3.6771066188812256,0.1599999964237213,0.4285714328289032,1.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,2,0.6378303170204163,0.318989634513855,1.7507877349853516,0.1803278625011444,0.7142857313156128,0.6748585104942322,0
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,3,0.6094075918197632,0.4449804425239563,2.9632861614227295,0.0891089141368866,0.6363636255264282,0.26207441091537476,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,2449,b23da12a1f47,4,0.46615147590637207,0.25772303342819214,1.161176085472107,0.06382978707551956,0.7142857313156128,0.45632249116897583,0
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,2895,dc0618053a41,5,0.4879903972148895,0.44029009342193604,2.918147563934326,0.05263157933950424,0.5714285969734192,0.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,1602,5ea97cc0076e,6,0.5046318352222443,0.48133695125579834,3.3131704330444336,0.0,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,5297,c91a5c4b0bdb,7,0.5011862397193909,0.4497307240962982,3.0090012550354004,0.10000000149011612,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,1412,e63b1bee1602,8,0.5475457191467286,0.4794158935546875,3.294682741165161,0.15000000596046448,0.5714285969734192,0.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,4855,0e550c83c7ff,9,0.5655363082885743,0.5237560868263245,3.7213997840881348,0.09090909361839294,0.4285714328289032,0.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,0,d52ebdd6c51c,train personnel on proper operational procedures,3724,7dd99b8b52cd,10,0.5023162543773652,0.466487318277359,3.1702616214752197,0.015625,0.5714285969734192,0.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.0510159015655518,0.5652313232421875,4.823812961578369,0.26923078298568726,0.5,1.0,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4590,5d45850c5baa,2,0.8645299553871155,0.4362855553627014,3.42467999458313,0.20000000298023224,0.75,0.8359322547912598,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,3498,9e69de35c497,3,0.6604004979133606,0.33268415927886963,2.3005475997924805,0.2142857164144516,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4558,7b0342e1d11a,4,0.7349026679992676,0.4340045154094696,3.3999295234680176,0.14754098653793335,0.6666666865348816,0.560200035572052,1
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,4311,dad8075f10c2,5,0.5323070883750916,0.29640549421310425,1.906903862953186,0.14035087823867798,0.5714285969734192,0.5047074556350708,0
sentence-transformers/all-mpnet-base-v2,D_char_jaccard,1,06d678da6c8d,prepare procedural documents,226,7e56613a2ebc,6,0.7201766848564148,0.39986518025398254,3.029498815536499,0.21153846383094788,0.6666666865348816,0.560200035572052,1
