model,preset,q_idx,q_label,q_text,cand_idx,cand_label,rank,score,sim,z,jacc,lenpen,bm25,mnn
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3978,6918d9132472,1,0.8846039056777955,0.3607358932495117,3.3631303310394287,0.1666666716337204,0.4285714328289032,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,3211,bf363c434df6,2,0.39809951186180115,0.2815144956111908,2.3741064071655273,0.0,0.6363636255264282,0.26207441091537476,0
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,5233,ec49dc539281,3,0.5148949205875397,0.23071494698524475,1.7399094104766846,0.0,0.5714285969734192,0.5206381678581238,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4059,966ff254f415,4,0.6126887202262878,0.2839123010635376,2.4040415287017822,0.125,0.7142857313156128,0.6748585104942322,0
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2479,8cee47cceb1c,5,0.4689759790897369,0.43200480937957764,4.252873420715332,0.0,0.4285714328289032,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,5106,c983325cad2b,6,0.4363740563392639,0.21232768893241882,1.5103572607040405,0.0,1.0,0.36591723561286926,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,398,f60c11ff2b62,7,0.39534180164337157,0.3514876365661621,3.2476723194122314,0.0,0.5714285969734192,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,2450,59d676f6659f,8,0.4378316283226013,0.3901987075805664,3.7309532165527344,0.0,0.8571428656578064,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,1855,20dc1dc3600c,9,0.40429710149765014,0.21190203726291656,1.505043387413025,0.0,0.7777777910232544,0.3054102659225464,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,0,d52ebdd6c51c,train personnel on proper operational procedures,4258,2edf95aa0513,10,0.5950122952461243,0.5616670846939087,5.871616840362549,0.0,0.5714285969734192,0.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,2820,21f64da1e579,1,1.1482517004013062,0.6016684174537659,5.553860664367676,0.3333333432674408,0.5,1.0,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4310,506583358173,2,0.6625215888023377,0.3635823130607605,2.6739563941955566,0.1428571492433548,0.5714285969734192,0.5047074556350708,1
sentence-transformers/distiluse-base-multilingual-cased-v2,I_short_skills_bias,1,06d678da6c8d,prepare procedural documents,4835,5a0ef39818c8,3,0.516714233160019,0.4702255129814148,3.963919162750244,0.0,1.0,0.0,1
